title,source,author,date,length,wordcount,totalsearchresults,relevancescore,contentcomponentid,vendorreportid,docid
"INTERNATIONAL PATENT: APPLE INC. FILES APPLICATION FOR ""USER EQUIPMENT ASSISTANCE INFORMATION FOR VOICE OVER CELLULAR""",US Fed News,,2021-01-01,262 words,262,10,62,282801,USFDNW2021,urn:contentItem:61N5-PKX1-F12F-F1DG-00000-00
"INTERNATIONAL PATENT: APPLE INC. FILES APPLICATION FOR ""METHODS FOR FAST SERVING CELL ACTIVATION WITH SHORT CHANNEL-STATE INFORMATION REPORTING""",US Fed News,,2021-01-01,285 words,285,10,57,282801,USFDNW2021,urn:contentItem:61N8-CWB1-F12F-F3VS-00000-00
"Apple Hospitality REIT, Inc. ( NYSE :APLE) Shares Sold by AQR Capital Management LLC",Zolmax.com,,2021-01-01,795 words,795,10,50,484302,AMCN-116308,urn:contentItem:61NB-DBD1-JCMN-Y0BG-00000-00
"Apple ( NASDAQ :AAPL) Cut to ""Buy"" at BidaskClub",American Banking and Market News,,2021-01-01,995 words,995,10,30,439934,AMBNWS2021,urn:contentItem:61NC-6WB1-JB40-X3PR-00000-00
"Apple, Best Stock Of 2020, Surges Into New Year",24/7 Wall St.,Douglas A. McIntyre,2021-01-01,669 words,669,10,25,484220,TFS-5001,urn:contentItem:61NB-DBD1-JCMN-Y1XM-00000-00
Deep Dive: These are the best-performing Nasdaq and S&P 500 stocks of 2020,Financial Press,Financial Press,2021-01-01,1950 words,1950,10,19,484309,FINP-10009192,urn:contentItem:61NB-DBD1-JCMN-Y1NN-00000-00
"Mobile Cloud Market May See a Big Move | Egnyte, Cloudian, Akamai Technolgies, Oracle , Rackspace",iCrowdNewswire (English),,2021-01-01,1362 words,1362,10,15,433665,ICRWDE2021,urn:contentItem:61NG-VFP1-F08D-54FT-00000-00
Apple Announces Online Movie Rentals,University Wire,,2021-01-01,197 words,197,10,12,172244,UWIRE2021,urn:contentItem:61NG-BPP1-JBSN-3011-00000-00
"Mercado de exibição dobrável para tocar USD 1.549,9 Milhões a 62% CAGR até 2023 | Mercado de olho em crescimento notável devido à crescente indústria eletrônica",iCrowdNewswire (Portuguese),,2021-01-01,943 words,943,10,7,433739,ICRWDP2021,urn:contentItem:61NB-H8S1-F08D-5404-00000-00
"Mercado de pantallas plegables para tocar USD 1.549,9 millones al 62% de CAGR para 2023 El crecimiento notable del mercado se debe a la floreciente industria electrónica",iCrowdNewswire (Spanish),,2021-01-01,995 words,995,10,7,433668,ICRWDS2021,urn:contentItem:61NB-H8S1-F08D-5405-00000-00
