title,source,author,date,length,wordcount,totalsearchresults,relevancescore,contentcomponentid,vendorreportid,docid
Analysts' Recent Ratings Changes for salesforce.com (CRM),American Banking and Market News,,2021-01-01,1542 words,1542,6,55,439934,AMBNWS2021,urn:contentItem:61NG-WK41-JB40-X534-00000-00
US M&A News and Trends,FactSet Flashwire (TM) Monthly,,2021-01-01,457 words,457,6,51,166946,MSTMTH2021,urn:contentItem:6279-BM71-DYRW-V49J-00000-00
"MERGER INVESTIGATION ALERT: Halper Sadeh LLP Encourages CPAH, ANH, TCF , PRVL, and WORK Shareholders to Contact the Firm",PR Newswire,,2021-01-01,547 words,547,6,44,8054,PRNEWS2021,urn:contentItem:61NC-MH61-DXP3-R1YR-00000-00
Top US Deals Scoreboard,FactSet Flashwire (TM) Monthly,,2021-01-01,482 words,482,6,43,166946,MSTMTH2021,urn:contentItem:6279-BM71-DYRW-V49T-00000-00
Deep Dive: These are the best-performing Nasdaq and S&P 500 stocks of 2020,Financial Press,Financial Press,2021-01-01,1950 words,1950,6,27,484309,FINP-10009192,urn:contentItem:61NB-DBD1-JCMN-Y1NN-00000-00
"Mobile Cloud Market May See a Big Move | Egnyte, Cloudian, Akamai Technolgies, Oracle , Rackspace",iCrowdNewswire (English),,2021-01-01,1362 words,1362,6,24,433665,ICRWDE2021,urn:contentItem:61NG-VFP1-F08D-54FT-00000-00
"$5.68 Billion in Sales Expected for salesforce.com, inc. ( NYSE :CRM) This Quarter",American Banking and Market News,,2021-01-02,1016 words,1016,5,110,439934,AMBNWS2021,urn:contentItem:61NK-60Y1-DXK2-M322-00000-00
"salesforce.com, inc. ( NYSE :CRM) Expected to Announce Quarterly Sales of $5.68 Billion",DailyPolitical,,2021-01-02,1156 words,1156,5,105,484233,AMCN-116307,urn:contentItem:61NJ-CP21-JCMN-Y360-00000-00
Jefferies Financial Group Analysts Give salesforce.com ( NYSE :CRM) a $320.00 Price Target,Zolmax.com,,2021-01-02,946 words,946,5,43,484302,AMCN-116308,urn:contentItem:61NJ-CP21-JCMN-Y3R2-00000-00
"$0.75 EPS Expected for salesforce.com, inc. ( NYSE :CRM) This Quarter",DailyPolitical,,2021-01-03,1101 words,1101,4,109,484233,AMCN-116307,urn:contentItem:61NT-MYH1-JCMN-Y3TB-00000-00
salesforce.com ( NYSE :CRM) Given a $320.00 Price Target at Jefferies Financial Group,Ticker Report,,2021-01-03,916 words,916,4,42,484293,AMCN-126392,urn:contentItem:61NS-G5R1-JCMN-Y1W9-00000-00
Reviewing Wix.com ( NASDAQ : WIX ) and Model N ( NYSE :MODN),DailyPolitical,,2021-01-03,966 words,966,4,19,484233,AMCN-116307,urn:contentItem:61NS-G5R1-JCMN-Y0FX-00000-00
"Thomasville National Bank Lowers Stock Position in salesforce.com, inc. ( NYSE :CRM)",American Banking and Market News,,2021-01-04,998 words,998,34,143,439934,AMBNWS2021,urn:contentItem:61P4-TNC1-DXK2-M08J-00000-00
"Boltwood Capital Management Reduces Stock Holdings in salesforce.com, inc. ( NYSE :CRM)",American Banking and Market News,,2021-01-04,969 words,969,34,142,439934,AMBNWS2021,urn:contentItem:61P4-TNB1-DXK2-M45R-00000-00
"Boltwood Capital Management Sells 575 Shares of salesforce.com, inc. ( NYSE :CRM)",American Banking and Market News,,2021-01-04,1031 words,1031,34,126,439934,AMBNWS2021,urn:contentItem:5SFJ-TB51-DXK2-M2WB-00000-00
Technavio Updates on the Global Application Platform Market,Wireless News(Close-up Media),,2021-01-04,518 words,518,34,68,345215,WNCLPM2021,urn:contentItem:61P0-8C11-F06S-P0R3-00000-00
Digital Retail Marketing Market to Grow by Almost $ 439 Billion Despite Pandemic | Technavio,Business Wire,,2021-01-04,944 words,944,34,65,7924,BWIRE2021,urn:contentItem:61P0-WPR1-JBG1-80BP-00000-00
"US Patent Issued to salesforce.com on Dec. 29 for ""Automatic generation of dynamically assigned conditional follow-up tasks"" ( California Inventors)",US Fed News,,2021-01-04,227 words,227,34,53,282801,USFDNW2021,urn:contentItem:61P0-F781-JDKC-R219-00000-00
"US Patent Issued to salesforce.com on Dec. 29 for ""Combining updates of a social network feed"" ( California Inventor)",US Fed News,,2021-01-04,248 words,248,34,51,282801,USFDNW2021,urn:contentItem:61P0-F781-JDKC-R1TH-00000-00
"US Patent Issued to salesforce.com on Dec. 29 for ""Identifier based data replication"" ( California , Texas Inventors)",US Fed News,,2021-01-04,252 words,252,34,51,282801,USFDNW2021,urn:contentItem:61P1-88M1-F12F-F2G9-00000-00
"Enterprise Bank & Trust Co Decreases Stake in salesforce.com, inc. ( NYSE :CRM)",American Banking and Market News,,2021-01-05,901 words,901,19,144,439934,AMBNWS2021,urn:contentItem:61PB-T541-JB40-X0P5-00000-00
"Boltwood Capital Management Reduces Stock Holdings in salesforce.com, inc. ( NYSE :CRM)",DailyPolitical,,2021-01-05,1035 words,1035,19,135,484233,AMCN-116307,urn:contentItem:61P5-1FW1-JCMN-Y0D0-00000-00
"Enterprise Bank & Trust Co Has $3.03 Million Stock Holdings in salesforce.com, inc. ( NYSE :CRM)",American Banking and Market News,,2021-01-05,992 words,992,19,132,439934,AMBNWS2021,urn:contentItem:61PB-T531-JB40-X34S-00000-00
"Private Asset Management Inc. Has $4.90 Million Holdings in salesforce.com, inc. ( NYSE :CRM)",Zolmax.com,,2021-01-05,1056 words,1056,19,131,484302,AMCN-116308,urn:contentItem:61PC-0FG1-JCMN-Y39J-00000-00
"Thomasville National Bank Trims Holdings in salesforce.com, inc. ( NYSE :CRM)",DailyPolitical,,2021-01-05,1022 words,1022,19,119,484233,AMCN-116307,urn:contentItem:61P5-1FW1-JCMN-Y0FN-00000-00
"Insider Selling: salesforce.com, inc. ( NYSE :CRM) Insider Sells 5,000 Shares of Stock",American Banking and Market News,,2021-01-05,786 words,786,19,119,439934,AMBNWS2021,urn:contentItem:61PC-7D81-DXK2-M14J-00000-00
"Private Trust Co. NA Lowers Stock Position in salesforce.com, inc. ( NYSE :CRM)",Transcript Daily,,2021-01-05,915 words,915,19,115,484294,AMCN-10009368,urn:contentItem:61P7-NTM1-F03R-N407-00000-00
"Global Data Preparation Market size, trend, Demand, Key players : Informatica LLC , IBM Corporation , SAS Institute Inc. , Microstrategy Inc. , Salesforce.com Inc. , etc. - The Courier",University Wire,,2021-01-06,618 words,618,21,144,172244,UWIRE2021,urn:contentItem:61PS-V721-DY7P-T0RF-00000-00
"Park National Corp OH Acquires 428 Shares of salesforce.com, inc. ( NYSE :CRM)",Zolmax.com,,2021-01-06,982 words,982,21,136,484302,AMCN-116308,urn:contentItem:61PD-9D91-JCMN-Y34X-00000-00
"SHAREHOLDER ALERT: WeissLaw LLP Reminds ANCN, PRVL, WORK, and GNBF Shareholders About Its Ongoing Investigations",PR Newswire,,2021-01-06,550 words,550,21,61,8054,PRNEWS2021,urn:contentItem:61PF-TS31-DXP3-R058-00000-00
"US Patent Issued to salesforce.com on Jan. 5 for ""Voice endpoint to chatbot bridge interface"" (Australian Inventor)",US Fed News,,2021-01-06,230 words,230,21,53,282801,USFDNW2021,urn:contentItem:61PJ-PT51-JDKC-R0VN-00000-00
"Global Customer Self-service Software Market (2020 to 2026) - by Component, Deployment Type, End-user and Region",GlobeNewswire,,2021-01-06,1907 words,1907,21,52,222091,PRIZNE2021,urn:contentItem:61PC-TGG1-JBKN-D0T4-00000-00
"US Patent Issued to salesforce.com on Jan. 5 for ""Just-in-time user provisioning framework in a multitenant environment"" ( California Inventor)",US Fed News,,2021-01-06,252 words,252,21,51,282801,USFDNW2021,urn:contentItem:61PN-V951-JDKC-R3CJ-00000-00
"US Patent Issued to salesforce.com on Jan. 5 for ""Maintaining templates for index creation and modification"" (Argentinean Inventors)",US Fed News,,2021-01-06,261 words,261,21,51,282801,USFDNW2021,urn:contentItem:61PS-VRD1-JDKC-R0CJ-00000-00
"US Patent Issued to SALESFORCE.COM on Jan. 5 for ""Automated host-based firewall configuration management"" ( California Inventors)",US Fed News,,2021-01-06,294 words,294,21,51,282801,USFDNW2021,urn:contentItem:61PD-CV11-JDKC-R2VW-00000-00
"US Patent Issued to salesforce.com on Jan. 5 for ""Voice-activated events management system"" ( California , Missouri , Washington Inventors)",US Fed News,,2021-01-06,290 words,290,21,50,282801,USFDNW2021,urn:contentItem:61PN-5W61-JDKC-R0F4-00000-00
"US Patent Issued to salesforce.com on Jan. 5 for ""Methods and apparatus for discontinuing the following of records in an on-demand database service environment"" ( California Inventor)",US Fed News,,2021-01-06,261 words,261,21,50,282801,USFDNW2021,urn:contentItem:61PN-NN51-JDKC-R41X-00000-00
"New England Research & Management Inc. Increases Position in salesforce.com, inc. ( NYSE :CRM)",Watchlist News,,2021-01-07,1108 words,1108,19,168,484299,AMCN-135127,urn:contentItem:61PS-Y0J1-F03R-N468-00000-00
"salesforce.com, inc. ( NYSE :CRM) Shares Acquired by Webster Bank N. A.",American Banking and Market News,,2021-01-07,993 words,993,19,123,439934,AMBNWS2021,urn:contentItem:61PS-R8F1-JB40-X51V-00000-00
"salesforce.com, inc. ( NYSE :CRM) Expected to Announce Quarterly Sales of $5.68 Billion",Watchlist News,,2021-01-07,1171 words,1171,19,106,484299,AMCN-135127,urn:contentItem:61PN-N6R1-JCMN-Y265-00000-00
"$0.75 Earnings Per Share Expected for salesforce.com, inc. ( NYSE :CRM) This Quarter",Transcript Daily,,2021-01-07,1116 words,1116,19,105,484294,AMCN-10009368,urn:contentItem:61PS-Y0J1-F03R-N1HD-00000-00
"Digital Marketing Market Is Booming Worldwide: Adobe Systems, SAS Institute, Salesforce , HubSpot , Amazon",ReleaseWire,,2021-01-07,1610 words,1610,19,56,484276,SBWI-7162,urn:contentItem:61PS-XYJ1-F03R-N3S1-00000-00
