title,source,author,date,length,wordcount,totalsearchresults,relevancescore,contentcomponentid,vendorreportid,docid
CRANK SOFTWARE TEAMS WITH APTERA MOTORS,GUI Program News,,2021-01-01,676 words,676,3,23,158946,GUIPNW2021,urn:contentItem:61X3-SV21-DYX0-J054-00000-00
A Blueprint for a Trust-Busting Biden Presidency $HL:The nation's overlapping economic and political crises call for a new crusade against the curse of bigness.,The New Republic,By KimberlŽ Williams Crenshaw,2021-01-01,7261 words,7261,3,9,154997,NEWRPB2021,urn:contentItem:6349-28M1-JBRW-C006-00000-00
Zacks: Analysts Expect Deere & Company ( NYSE :DE) to Announce $2.07 EPS,American Banking and Market News,,2021-01-02,1167 words,1167,3,88,439934,AMBNWS2021,urn:contentItem:61NP-VCS1-DXK2-M1YN-00000-00
Zacks: Brokerages Anticipate Deere & Company ( NYSE :DE) Will Post Earnings of $2.07 Per Share,Zolmax.com,,2021-01-02,1309 words,1309,3,84,484302,AMCN-116308,urn:contentItem:61NR-17J1-F03R-N3FC-00000-00
"Agriculture IoT Market New Project Investments with Impact of COVID-19 by 2027 - Farmers Edge Inc. , PrecisionHawk, Inc. , Raven Industries, Inc. , Trimble - The Courier",University Wire,,2021-01-02,686 words,686,3,26,172244,UWIRE2021,urn:contentItem:61NJ-BCP1-DY7P-T4XC-00000-00
Analysts Set Deere & Company ( NYSE :DE) Target Price at $263.21,Transcript Daily,,2021-01-03,1147 words,1147,1,89,484294,AMCN-10009368,urn:contentItem:61NT-MYH1-JCMN-Y3HS-00000-00
Deere & Company ( NYSE :DE) Hits New 1-Year High at $273.72,American Banking and Market News,,2021-01-04,965 words,965,28,88,439934,AMBNWS2021,urn:contentItem:61P1-4TR1-JB40-X4KP-00000-00
Deere & Company ( NYSE :DE) Shares Sold by Stillwater Investment Management LLC,American Banking and Market News,,2021-01-04,1095 words,1095,28,88,439934,AMBNWS2021,urn:contentItem:61P4-TNB1-DXK2-M2Y9-00000-00
Deere & Company ( NYSE :DE) Hits New 12-Month High at $273.72,Zolmax.com,,2021-01-04,1042 words,1042,28,87,484302,AMCN-116308,urn:contentItem:61P1-NNV1-F03R-N00Y-00000-00
Deere & Company ( NYSE :DE) Expected to Announce Quarterly Sales of $7.06 Billion,American Banking and Market News,,2021-01-04,1121 words,1121,28,87,439934,AMBNWS2021,urn:contentItem:61P1-4TR1-JB40-X2TD-00000-00
