title,source,author,date,length,wordcount,totalsearchresults,relevancescore,contentcomponentid,vendorreportid,docid
"FedEx Co. ( NYSE :FDX) Receives Consensus Rating of ""Buy"" from Brokerages",American Banking and Market News,,2021-01-01,814 words,814,10,63,439934,AMBNWS2021,urn:contentItem:61NC-6WB1-JB40-X2B9-00000-00
FedEx ( NYSE :FDX) Given Sell Rating at DZ Bank,Watchlist News,,2021-01-01,979 words,979,10,59,484299,AMCN-135127,urn:contentItem:61NB-DBD1-JCMN-Y15T-00000-00
FedEx Co. ( NYSE :FDX) Receives Consensus Rating of 'Buy' from Brokerages,Transcript Daily,,2021-01-01,876 words,876,10,32,484294,AMCN-10009368,urn:contentItem:61NC-PWG1-F03R-N0BT-00000-00
FedEx ( NYSE :FDX) Rating Reiterated by DZ Bank,Ticker Report,,2021-01-01,924 words,924,10,31,484293,AMCN-126392,urn:contentItem:61NB-DBD1-JCMN-Y0WN-00000-00
FedEx ( NYSE :FDX) PT Raised to $305.00,Zolmax.com,,2021-01-01,1009 words,1009,10,31,484302,AMCN-116308,urn:contentItem:61NB-DBD1-JCMN-Y00J-00000-00
New FedEx Facility Shines at Ontario International Airport,Airport Business,,2021-01-01,80 words,80,10,14,293667,APTBUS2021,urn:contentItem:62DW-F8Y1-JC79-C17S-00000-00
"Third-Party Logistics Market Significant Demand Foreseen | Kerry Logistics, Yusen Logistics, TNT Express",iCrowdNewswire (English),,2021-01-02,1460 words,1460,1,58,433665,ICRWDE2021,urn:contentItem:61NS-GY51-F08D-502C-00000-00
Mississippi Valley State University: Briggs Named One of the Ten Most Dominant HBCU Leaders of 2021,Targeted News Service,Targeted News Service,2021-01-03,680 words,680,7,63,299219,TARGET2021,urn:contentItem:61P0-F3W1-DYG2-R502-00000-00
FedEx ( NYSE :FDX) PT Set at $368.00 by Credit Suisse Group,Watchlist News,,2021-01-03,1037 words,1037,7,58,484299,AMCN-135127,urn:contentItem:61NS-G5R1-JCMN-Y2JW-00000-00
Analysts Expect FedEx Co. ( NYSE : FDX ) Will Post Earnings of $3.25 Per Share,Watchlist News,,2021-01-03,1255 words,1255,7,55,484299,AMCN-135127,urn:contentItem:61NY-0W51-F03R-N1KT-00000-00
FedEx ( NYSE :FDX) Given a $368.00 Price Target by Credit Suisse Group Analysts,Ticker Report,,2021-01-03,945 words,945,7,31,484293,AMCN-126392,urn:contentItem:61NS-G5R1-JCMN-Y25G-00000-00
FedEx ( NYSE :FDX) Given a $356.00 Price Target by The Goldman Sachs Group Analysts,Zolmax.com,,2021-01-03,973 words,973,7,31,484302,AMCN-116308,urn:contentItem:61NS-G5R1-JCMN-Y1G6-00000-00
FedEx Co. ( NYSE : FDX ) Expected to Announce Quarterly Sales of $19.72 Billion,DailyPolitical,,2021-01-03,1149 words,1149,7,31,484233,AMCN-116307,urn:contentItem:61NY-0W51-F03R-N0D2-00000-00
$19.72 Billion in Sales Expected for FedEx Co. ( NYSE : FDX ) This Quarter,Zolmax.com,,2021-01-03,1100 words,1100,7,31,484302,AMCN-116308,urn:contentItem:61NY-0W51-F03R-N0TX-00000-00
"US Patent Issued to FEDEX CORPORATE SERVICES on Dec. 29 for ""Modular autonomous bot apparatus assembly for transporting an item being shipped"" ( Tennessee Inventors)",US Fed News,,2021-01-04,312 words,312,6,101,282801,USFDNW2021,urn:contentItem:61P1-XKY1-F12F-F06X-00000-00
"US Patent Issued to FEDEX CORPORATE SERVICES on Dec. 29 for ""Managing logistics information related to a logistics container using a container interface display apparatus"" ( Tennessee Inventors)",US Fed News,,2021-01-04,312 words,312,6,98,282801,USFDNW2021,urn:contentItem:61P4-Y2X1-F12F-F2N0-00000-00
"US Patent Issued to FEDEX CORPORATE SERVICES on Dec. 29 for ""Systems, apparatus, and methods for detecting an environmental anomaly and initiating an enhanced automatic response using elements of a wireless node network including a command node environmental sensor"" ( Tennessee Inventor)",US Fed News,,2021-01-04,327 words,327,6,92,282801,USFDNW2021,urn:contentItem:61P0-42T1-JDKC-R3Y6-00000-00
Global $424 Billion Last Mile Delivery Transportation Market Outlook to 2027,PR Newswire,,2021-01-04,812 words,812,6,51,8054,PRNEWS2021,urn:contentItem:61P0-R3H1-JB72-127V-00000-00
FedEx Has Started a Correction so Don't Fight the Tape,TheStreet Pro,Bruce Kamich,2021-01-04,230 words,230,6,28,420101,TSCSRM2021,urn:contentItem:61P7-CK01-F00X-J0J7-00000-00
