title,source,author,date,length,wordcount,totalsearchresults,relevancescore,contentcomponentid,vendorreportid,docid
GE HEALTHCARE DEBUTS FIRST X-RAY AI,Biotech Equipment Update,,2021-01-01,905 words,905,40,211,158922,BIOEQ2021,urn:contentItem:61X3-SV11-DYX0-8019-00000-00
"Latest Trends in Electrical Switches Market Showing Huge Growth in Future (2020-2027) by Focusing on Top Players Legrand, Siemens , Simon, ABB, Schneider, GE, Alps - The Courier",University Wire,,2021-01-01,1016 words,1016,40,195,172244,UWIRE2021,urn:contentItem:61NG-BPP1-JBSN-3023-00000-00
"Internet Service Providers Market is Showing Impressive Growth with COVID-19 Impact Analysis, Top Companies Accenture, Amazon Web Services, Cisco , GE , IBM , TCS, Market Growth, Opportunities, Forecast To 2028 - The Courier",University Wire,,2021-01-01,1020 words,1020,40,194,172244,UWIRE2021,urn:contentItem:61NB-CRD1-DY7P-T0YW-00000-00
A Clean and Clear Future,Airport Business,AUTHOR Joe Petrie,2021-01-01,1892 words,1892,40,192,293667,APTBUS2021,urn:contentItem:62DW-F8Y1-JC79-C18K-00000-00
"?Global High Speed Industrial Motor and Generator Market 2020 Progress Insight, Prominent Players & Statistics Forecast to 2024 | ABB, Siemens , Mitsubishi , GE , HITACHI, Nidec - The Courier",University Wire,,2021-01-01,1731 words,1731,40,191,172244,UWIRE2021,urn:contentItem:61NB-CRD1-DY7P-T0P6-00000-00
"INTERNATIONAL PATENT: ALCON INC. FILES APPLICATION FOR ""OPHTHALMIC COMPOSITIONS""",US Fed News,,2021-01-01,331 words,331,40,189,282801,USFDNW2021,urn:contentItem:61N5-PKX1-F12F-F16P-00000-00
CRYPTOS Bitcoin Comes Of Age,Global Finance,Mark Townsend,2021-01-01,323 words,323,40,189,297150,GFMAG2021,urn:contentItem:622W-J0S1-JC8V-40VR-00000-00
Halfpricesoft.com Offers Latest ez1095 2020 To Ready Customers for March Filing Deadlines Halfpricesoft.com is offering customer support for the latest ez1095 2020 software for the upcoming March filing deadline. Test drive for up to 30 days at no cost or obligation at halfpricesoft.com.,PR Newswire,,2021-01-01,392 words,392,40,188,8054,PRNEWS2021,urn:contentItem:61NB-JXF1-JB72-13BD-00000-00
"IoT Spending in Manufacturing Market to Witness Huge Growth by 2026 | Capgemini, Cognizant Technology, IBM, Infosys , Siemens , Bosch, Huawei",iCrowdNewswire (English),,2021-01-01,1436 words,1436,40,187,433665,ICRWDE2021,urn:contentItem:61NB-H8S1-F08D-53TX-00000-00
General Electric ( NYSE : GE ) Expected to Post Quarterly Sales of $21.11 Billion,American Banking and Market News,,2021-01-02,896 words,896,17,207,439934,AMBNWS2021,urn:contentItem:61NK-60Y1-DXK2-M533-00000-00
"INTERNATIONAL PATENT: IMMUNE-PATH BIOTECHNOLOGY (SUZHOU) CO., LTD. FILES APPLICATION FOR ""GE GENE AND VECTOR FOR EXPRESSING GENE""",US Fed News,,2021-01-02,306 words,306,17,207,282801,USFDNW2021,urn:contentItem:61NC-NS91-F12F-F1J6-00000-00
"INTERNATIONAL PATENT: IMMUNE-PATH BIOTECHNOLOGY (SUZHOU) CO., LTD. FILES APPLICATION FOR ""VARICELLA-ZOSTER VIRUS GE PROTEIN MUTANT AND EXPRESSION METHOD THEREFOR""",US Fed News,,2021-01-02,334 words,334,17,206,282801,USFDNW2021,urn:contentItem:61ND-5GV1-F12F-F36W-00000-00
"INTERNATIONAL PATENT: ARKEMA INC. FILES APPLICATION FOR ""HYBRID FUNCTIONAL FLUOROPOLYMERS FOR LITHIUM ION BATTERY""",US Fed News,,2021-01-02,225 words,225,17,191,282801,USFDNW2021,urn:contentItem:61NJ-B6F1-F12F-F1V9-00000-00
