title,source,author,date,length,wordcount,totalsearchresults,relevancescore,contentcomponentid,vendorreportid,docid
Critical Analysis: GDS ( NASDAQ :GDS) vs. Alphabet ( NASDAQ :GOOGL),Watchlist News,,2021-01-01,674 words,674,6,42,484299,AMCN-135127,urn:contentItem:61NB-DBD1-JCMN-Y15J-00000-00
GDS ( NASDAQ :GDS) vs. Alphabet ( NASDAQ :GOOGL) Critical Comparison,Ticker Report,,2021-01-01,618 words,618,6,39,484293,AMCN-126392,urn:contentItem:61NB-DBD1-JCMN-Y0HD-00000-00
Alphabet ( NASDAQ :GOOG) Stock Rating Upgraded by Zacks Investment Research,Transcript Daily,,2021-01-01,1060 words,1060,6,37,484294,AMCN-10009368,urn:contentItem:61NB-DBC1-JCMN-Y3XD-00000-00
"Robert W. Baird Boosts Alphabet ( NASDAQ :GOOGL) Price Target to $2,000.00",DailyPolitical,,2021-01-01,711 words,711,6,34,484233,AMCN-116307,urn:contentItem:61NB-DBC1-JCMN-Y4WD-00000-00
Deep Dive: These are the best-performing Nasdaq and S&P 500 stocks of 2020,Financial Press,Financial Press,2021-01-01,1950 words,1950,6,18,484309,FINP-10009192,urn:contentItem:61NB-DBD1-JCMN-Y1NN-00000-00
Is Alphabet ( GOOGL ) Stock Outpacing Its Computer and Technology Peers This Year?,Newstex Blogs,Zacks Equity Research,2021-01-01,479 words,479,6,3,299488,ZACK-5304,urn:contentItem:61NC-PWG1-F03R-N37N-00000-00
"Insider Selling: Alphabet Inc. ( NASDAQ :GOOG) SVP Sells $2,440,383.85 in Stock",Ticker Report,,2021-01-02,793 words,793,3,74,484293,AMCN-126392,urn:contentItem:61NJ-CP21-JCMN-Y4M4-00000-00
"Alphabet ( NASDAQ :GOOGL) Price Target Raised to $2,000.00 at Robert W. Baird",Watchlist News,,2021-01-02,755 words,755,3,36,484299,AMCN-135127,urn:contentItem:61NJ-CP21-JCMN-Y4WD-00000-00
"Alphabet ( NASDAQ :GOOGL) PT Raised to $2,000.00 at Robert W. Baird",Ticker Report,,2021-01-02,766 words,766,3,34,484293,AMCN-126392,urn:contentItem:61NJ-CP21-JCMN-Y49H-00000-00
Technavio Issues Report on the Smart Healthcare Market,Wireless News(Close-up Media),,2021-01-03,260 words,260,5,44,345215,WNCLPM2021,urn:contentItem:61NS-G9W1-JCRR-04X7-00000-00
"Intellectual Education Apps Market Increasing Demand with Leading Players- ClassDojo , Kidaptive , Duolingo",iCrowdNewswire (English),,2021-01-03,1321 words,1321,5,39,433665,ICRWDE2021,urn:contentItem:61NS-GY51-F08D-501S-00000-00
"Global Smart Healthcare Market is Forecast to Grow by $224.86 Billion during 2020-2024, Progressing at a CAGR of 24%",GlobeNewswire,,2021-01-03,568 words,568,5,35,222091,PRIZNE2021,urn:contentItem:61NY-HTB1-JBKN-D03F-00000-00
"These Four Companies, Led By Apple , Had Market Caps Over $1 Trillion At The End Of 2020",24/7 Wall St.,Douglas A. McIntyre,2021-01-03,515 words,515,5,29,484220,TFS-5001,urn:contentItem:61NT-MYJ1-JCMN-Y099-00000-00
2020 Portfolio Review: What a Year,GuruFocus.com,,2021-01-03,4327 words,4327,5,3,484250,GURU-7122,urn:contentItem:61NY-0W51-F03R-N21G-00000-00
Park National Corp OH Lowers Stake in Alphabet Inc. ( NASDAQ :GOOGL),American Banking and Market News,,2021-01-04,814 words,814,37,79,439934,AMBNWS2021,urn:contentItem:61P4-TNB1-DXK2-M44T-00000-00
Red Spruce Capital LLC Sells 66 Shares of Alphabet Inc. ( NASDAQ :GOOGL),American Banking and Market News,,2021-01-04,789 words,789,37,79,439934,AMBNWS2021,urn:contentItem:61P4-TNB1-DXK2-M3PY-00000-00
Alphabet Inc. ( NASDAQ :GOOGL) Shares Sold by Rockland Trust Co.,American Banking and Market News,,2021-01-04,786 words,786,37,79,439934,AMBNWS2021,urn:contentItem:61P4-TNB1-DXK2-M2W9-00000-00
Alphabet Inc. ( NASDAQ :GOOG) Shares Bought by Thomasville National Bank,American Banking and Market News,,2021-01-04,926 words,926,37,78,439934,AMBNWS2021,urn:contentItem:5SFJ-TB51-DXK2-M2TH-00000-00
Stillwater Investment Management LLC Acquires 104 Shares of Alphabet Inc. ( NASDAQ :GOOGL),American Banking and Market News,,2021-01-04,786 words,786,37,78,439934,AMBNWS2021,urn:contentItem:61P4-TNB1-DXK2-M344-00000-00
Stillwater Investment Management LLC Sells 61 Shares of Alphabet Inc. ( NASDAQ :GOOG),American Banking and Market News,,2021-01-04,977 words,977,37,75,439934,AMBNWS2021,urn:contentItem:61P4-TNB1-DXK2-M38R-00000-00
"Bright Rock Capital Management LLC Sells 1,000 Shares of Alphabet Inc. ( NASDAQ :GOOGL)",American Banking and Market News,,2021-01-04,764 words,764,37,75,439934,AMBNWS2021,urn:contentItem:61P4-TNB1-DXK2-M392-00000-00
