title,source,author,date,length,wordcount,totalsearchresults,relevancescore,contentcomponentid,vendorreportid,docid
"INTERNATIONAL PATENT: INTEL CORPORATION , YAO, ANBANG , ZHOU, AOJUN , SUN, DAWEI , GU, DIAN , CHEN, YURONG FILES APPLICATION FOR ""UNIVERSAL LOSS-ERROR-AWARE QUANTIZATION FOR DEEP NEURAL NETWORKS WITH FLEXIBLE ULTRA-LOW-BIT WEIGHTS AND ACTIVATIONS""",US Fed News,,2021-01-01,416 words,416,6,579,282801,USFDNW2021,urn:contentItem:61NB-C4K1-JDKC-R2GY-00000-00
"Time-Sensitive Networking Market Size Estimation, Industry Demand, Growth Trend, Chain Structure, Supply and Demand Forecast (2020-2026) - The Courier",University Wire,,2021-01-01,586 words,586,6,347,172244,UWIRE2021,urn:contentItem:61NG-BPP1-JBSN-305B-00000-00
"Cloud Telecommunication AI Market Thriving at a Tremendous Growth | Nvidia , Amazon Web Services, H2O.ai, IBM , Intel",iCrowdNewswire (English),,2021-01-01,1394 words,1394,6,298,433665,ICRWDE2021,urn:contentItem:61NG-VFP1-F08D-54FV-00000-00
"Análise de crescimento do mercado de chipset wi-fi, tamanho, ação, análise, análise do COVID 19, oportunidades e desafios com foco nos principais players, previsão para 2025",iCrowdNewswire (Portuguese),,2021-01-01,1619 words,1619,6,82,433739,ICRWDP2021,urn:contentItem:61NB-H8S1-F08D-53WF-00000-00
"Análisis de crecimiento del mercado del chipset Wi-Fi, tamaño, acciones, análisis, ANálisis COVID 19, oportunidades y desafíos con enfoque en los mejores jugadores, Pronóstico para 2025",iCrowdNewswire (Spanish),,2021-01-01,1695 words,1695,6,80,433668,ICRWDS2021,urn:contentItem:61NB-H8S1-F08D-53WC-00000-00
"IoT Spending in Manufacturing Market to Witness Huge Growth by 2026 | Capgemini, Cognizant Technology, IBM, Infosys , Siemens , Bosch, Huawei",iCrowdNewswire (English),,2021-01-01,1436 words,1436,6,21,433665,ICRWDE2021,urn:contentItem:61NB-H8S1-F08D-53TX-00000-00
"INTERNATIONAL PATENT: INTEL CORPORATION FILES APPLICATION FOR ""METHOD AND APPARATUS FOR SWITCHED ADAPTIVE CLOCKING""",US Fed News,,2021-01-02,278 words,278,7,641,282801,USFDNW2021,urn:contentItem:61NK-0JX1-JDKC-R501-00000-00
"INTERNATIONAL PATENT: INTEL CORPORATION FILES APPLICATION FOR ""AUTOMATED RESOURCE MANAGEMENT FOR DISTRIBUTED COMPUTING""",US Fed News,,2021-01-02,353 words,353,7,640,282801,USFDNW2021,urn:contentItem:61NH-BNM1-F12F-F4N2-00000-00
"INTERNATIONAL PATENT: INTEL CORPORATION FILES APPLICATION FOR ""SUB-PICTURES AND SUB-PICTURE SETS WITH LEVEL DERIVATION""",US Fed News,,2021-01-02,233 words,233,7,631,282801,USFDNW2021,urn:contentItem:61NH-1F91-F12F-F146-00000-00
"INTERNATIONAL PATENT: INTEL CORPORATION FILES APPLICATION FOR ""SYSTEM, APPARATUS AND METHOD FOR SENSOR-DRIVEN AND HEURISTIC-BASED MINIMUM ENERGY POINT TRACKING IN A PROCESSOR""",US Fed News,,2021-01-02,287 words,287,7,586,282801,USFDNW2021,urn:contentItem:61NC-NS91-F12F-F1DN-00000-00
"Internet of Vehicles Market to Reveal Strapping Growth in Forthcoming period 2020 -2028 with Prominent PlayersAudi AG, Intel Corporation , SAP , NXP semiconductors, Apple Inc , Google Inc - The Courier",University Wire,,2021-01-02,634 words,634,7,518,172244,UWIRE2021,urn:contentItem:61NK-0K71-JBSN-30NK-00000-00
