title,source,author,date,length,wordcount,totalsearchresults,relevancescore,contentcomponentid,vendorreportid,docid
"Morgan Stanley Buys 23,340 Shares of PLDT Inc. ( NYSE :PHI)",American Banking and Market News,,2021-01-01,596 words,596,925,557,439934,AMBNWS2021,urn:contentItem:61NC-6WB1-JB40-X26G-00000-00
"Morgan Stanley Acquires 112,294 Shares of ProShares Ultra Silver (NYSEARCA:AGQ)",American Banking and Market News,,2021-01-01,348 words,348,925,553,439934,AMBNWS2021,urn:contentItem:61NC-6WB1-JB40-X25J-00000-00
Tortoise Energy Infrastructure Co. ( NYSE :TYG) Shares Sold by Morgan Stanley,American Banking and Market News,,2021-01-01,397 words,397,925,550,439934,AMBNWS2021,urn:contentItem:61NC-6WB1-JB40-X3H2-00000-00
Morgan Stanley Increases Position in Franklin Universal Trust ( NYSE :FT),American Banking and Market News,,2021-01-01,478 words,478,925,548,439934,AMBNWS2021,urn:contentItem:61NC-6WB1-JB40-X269-00000-00
"Morgan Stanley Reduces Stake in BlackRock MuniEnhanced Fund, Inc. ( NYSE :MEN)",American Banking and Market News,,2021-01-01,459 words,459,925,543,439934,AMBNWS2021,urn:contentItem:61NC-6WB1-JB40-X1X3-00000-00
Office Properties Income Trust ( NASDAQ :OPI) Shares Acquired by Morgan Stanley,American Banking and Market News,,2021-01-01,716 words,716,925,543,439934,AMBNWS2021,urn:contentItem:61NC-6WB1-JB40-X26D-00000-00
Morgan Stanley Has $4.97 Million Holdings in Fidelity Total Bond ETF (NYSEARCA:FBND),American Banking and Market News,,2021-01-01,339 words,339,925,541,439934,AMBNWS2021,urn:contentItem:61NC-6WB1-JB40-X1WN-00000-00
iShares MSCI Austria ETF (NYSEARCA:EWO) Shares Sold by Morgan Stanley,American Banking and Market News,,2021-01-02,245 words,245,839,563,439934,AMBNWS2021,urn:contentItem:61NK-60Y1-DXK2-M38Y-00000-00
iShares MSCI Belgium ETF (NYSEARCA:EWK) Holdings Lowered by Morgan Stanley,American Banking and Market News,,2021-01-02,267 words,267,839,562,439934,AMBNWS2021,urn:contentItem:61NK-60Y1-DXK2-M39N-00000-00
Pfenex Inc. (NYSEAMERICAN:PFNX) Stock Holdings Lifted by Morgan Stanley,American Banking and Market News,,2021-01-02,344 words,344,839,559,439934,AMBNWS2021,urn:contentItem:61NK-60Y1-DXK2-M38H-00000-00
"Morgan Stanley Buys 330,672 Shares of Pfenex Inc. (NYSEAMERICAN:PFNX)",DailyPolitical,,2021-01-02,377 words,377,839,557,484233,AMCN-116307,urn:contentItem:61NJ-CP21-JCMN-Y3GT-00000-00
Morgan Stanley Cuts Stake in iShares MSCI Russia ETF (NYSEARCA:ERUS),American Banking and Market News,,2021-01-02,369 words,369,839,549,439934,AMBNWS2021,urn:contentItem:61NK-60Y1-DXK2-M38F-00000-00
Morgan Stanley Reduces Stock Holdings in Nam Tai Property Inc. ( NYSE : NTP ),American Banking and Market News,,2021-01-02,323 words,323,839,546,439934,AMBNWS2021,urn:contentItem:61NK-60Y1-DXK2-M396-00000-00
"Morgan Stanley Raises Holdings in Virtu Financial, Inc. ( NASDAQ :VIRT)",American Banking and Market News,,2021-01-02,753 words,753,839,545,439934,AMBNWS2021,urn:contentItem:61NK-60Y1-DXK2-M3B0-00000-00
