Date,High,Low,Open,Volume,Adj Close
2021-01-04,121.8,116.85,121.3,3472122.0,118.04
2021-01-05,119.28,117.1,118.26,2112678.0,118.67
2021-01-06,124.73,120.81,121.0,5861455.0,123.06
2021-01-07,125.6873,117.3501,124.1,8696634.0,121.66
2021-01-08,122.195,119.52,122.07,2934467.0,121.78
2021-01-11,121.41,119.39,120.42,3311225.0,121.06
2021-01-12,122.315,120.7201,122.0,2671310.0,121.62
2021-01-13,123.89,121.16,121.6,3678359.0,122.4
2021-01-14,124.5,122.085,122.65,3404723.0,123.78
2021-01-15,122.86,121.71,122.48,3948310.0,122.15
2021-01-19,128.06,124.24,125.49,5818462.0,126.75
2021-01-20,129.54,127.07,127.19,4090178.0,128.94
2021-01-21,128.89,126.1,128.29,3655162.0,127.43
2021-01-22,127.055,124.88,125.74,2955018.0,126.14
2021-01-25,125.0,120.32,124.24,6156720.0,121.15
2021-01-26,120.29,115.72,118.75,8932506.0,116.15
2021-01-27,116.8,112.0985,114.86,5816887.0,114.09
2021-01-28,120.3799,116.6,117.43,5788461.0,118.97
2021-01-29,118.39,115.81,117.74,5059268.0,116.26
2021-02-01,119.29,117.0,117.7,3359755.0,117.03
2021-02-02,122.42,118.28,118.29,4037011.0,120.7
2021-02-03,120.98,119.5604,120.08,2782538.0,120.44
2021-02-04,125.41,120.8,120.99,3916137.0,124.9
2021-02-05,127.34,125.63,126.62,3184161.0,126.28
2021-02-08,128.4,126.745,126.87,3360932.0,127.99
2021-02-09,127.66,126.2,127.65,2174998.0,126.68
2021-02-10,128.7,126.84,127.63,2929085.0,128.23
2021-02-11,129.12,126.98,127.45,3732993.0,128.31
2021-02-12,130.46,128.0,128.19,2873279.0,129.62
2021-02-16,130.91,128.25,128.91,2730821.0,130.68
2021-02-17,131.16,128.44,130.08,3199431.0,128.56
2021-02-18,128.83,126.075,127.49,2269742.0,128.49
2021-02-19,133.36,129.49,129.49,3419709.0,131.71
2021-02-22,136.47,131.37,131.51,3923076.0,135.95
2021-02-23,138.31,134.28,136.47,4814427.0,136.94
2021-02-24,140.95,136.81,137.2,4099537.0,139.89
2021-02-25,140.64,136.37,140.62,3607516.0,137.08
2021-02-26,138.25,133.79,137.1,3654873.0,135.26
2021-03-01,139.77,138.12,138.18,2972111.0,138.71
2021-03-02,140.19,138.08,138.24,2929140.0,139.25
2021-03-03,144.25,140.0,140.0,4393693.0,142.59
2021-03-04,144.11,139.95,142.15,4461743.0,142.68
2021-03-05,147.96,142.08,144.66,5048348.0,147.33
2021-03-08,151.46,146.72,147.28,4283406.0,150.27
2021-03-09,149.08,144.11,148.58,5806098.0,145.1
2021-03-10,148.29,145.4401,145.7,3049798.0,146.75
2021-03-11,147.82,145.13,146.0,3147700.0,147.75
2021-03-12,150.64,148.02,149.1,2420091.0,148.54
2021-03-15,148.92,146.03,148.04,2587554.0,146.99
2021-03-16,147.265,142.82,147.25,4031004.0,143.3
2021-03-17,144.82,141.9,144.76,3278463.0,144.68
2021-03-18,145.5,142.07,145.49,3173793.0,142.58
2021-03-19,141.94,139.7358,141.9,5098313.0,140.71
2021-03-22,140.99,138.81,139.49,2274119.0,139.95
2021-03-23,139.5,135.125,138.94,4905394.0,136.08
2021-03-24,140.04,137.6142,137.97,2638925.0,138.42
2021-03-25,142.53,136.76,137.95,2766588.0,142.28
2021-03-26,143.98,141.0506,143.74,2687546.0,143.73
2021-03-29,143.07,140.31,141.98,2220576.0,142.37
2021-03-30,144.48,142.61,142.9,2034531.0,143.49
2021-03-31,143.26,141.35,142.98,2957303.0,141.44
2021-04-01,144.63,142.205,142.34,2629367.0,144.57
2021-04-05,147.48,145.61,146.91,2960081.0,146.06
2021-04-06,146.53,144.38,145.98,2851170.0,146.15
2021-04-07,148.36,145.72,147.42,2399603.0,147.13
2021-04-08,147.16,144.68,146.8,2295770.0,147.04
2021-04-09,148.44,146.69,148.21,1783371.0,147.78
2021-04-12,147.77,146.41,147.26,1869013.0,147.57
2021-04-13,146.605,143.84,146.55,2132419.0,145.99
2021-04-14,148.75,145.7,145.81,2141855.0,147.42
2021-04-15,148.59,145.5,147.51,2901231.0,148.53
2021-04-16,150.45,148.69,149.71,3479952.0,149.99
2021-04-19,149.505,147.8,149.19,2259141.0,148.54
2021-04-20,147.5,144.51,147.21,2526892.0,145.1
2021-04-21,147.38,143.02,144.0,2161652.0,147.18
2021-04-22,148.92,145.87,147.57,3247306.0,147.16
2021-04-23,144.98,140.68,141.54,6400505.0,144.33
2021-04-26,151.12,145.56,146.8,4821052.0,150.34
2021-04-27,150.88,148.85,150.7,2692069.0,150.36
2021-04-28,153.455,149.44,150.68,2584455.0,152.54
2021-04-29,155.08,152.09,153.85,2636183.0,154.63
2021-04-30,154.04,152.48,153.6,2712846.0,153.35
2021-05-03,156.05,154.01,154.59,2726404.0,154.8
2021-05-04,155.74,152.8401,154.48,3025258.0,154.53
2021-05-05,156.73,154.32,154.87,3001638.0,156.39
2021-05-06,157.505,154.02,156.86,2798825.0,156.88
2021-05-07,159.26,155.34,155.61,2617982.0,158.98
2021-05-10,160.69,158.5,159.75,2987640.0,158.68
2021-05-11,157.79,153.65,156.46,3900087.0,154.43
2021-05-12,155.9,152.07,154.72,3487353.0,152.3
2021-05-13,154.81,151.81,152.41,2269772.0,154.08
2021-05-14,157.935,154.53,155.39,1892786.0,157.15
2021-05-17,157.3751,155.88,157.05,1541489.0,156.86
2021-05-18,158.3,154.86,157.36,2417796.0,154.99
2021-05-19,154.775,151.72,152.07,3527061.0,154.73
2021-05-20,156.251,153.93,155.47,3031135.0,155.53
2021-05-21,158.81,156.3459,156.7,3424122.0,156.87
2021-05-24,158.905,156.95,157.7,1956937.0,158.64
2021-05-25,160.08,157.74,159.07,2484248.0,158.01
2021-05-26,159.38,157.37,158.16,3731658.0,158.58
2021-05-27,160.29,158.85,159.98,2828368.0,159.74
2021-05-28,160.635,158.86,160.26,2437025.0,160.13
2021-06-01,164.11,161.55,162.51,3827978.0,163.76
2021-06-02,165.69,163.32,164.61,3384656.0,164.12
2021-06-03,165.42,162.82,163.68,2454835.0,164.52
2021-06-04,165.73,163.32,165.0,3239263.0,165.0
2021-06-07,166.65,165.37,165.63,2516443.0,165.92
2021-06-08,167.14,163.63,164.8599,2486506.0,166.51
2021-06-09,166.14,163.8,165.27,2700099.0,164.09
2021-06-10,165.21,162.12,165.18,3024778.0,162.23
2021-06-11,164.54,162.51,163.0,1630124.0,164.51
2021-06-14,164.88,163.11,164.3,2125719.0,163.81
2021-06-15,166.9,163.8,163.93,3726439.0,166.27
2021-06-16,166.65,164.27,165.78,3281606.0,164.68
2021-06-17,165.9971,160.53,165.97,4194569.0,162.13
2021-06-18,159.67,157.25,158.7,6900458.0,158.17
2021-06-21,165.21,159.13,160.08,3681406.0,164.9
2021-06-22,165.24,162.46,163.42,2697851.0,164.5
2021-06-23,166.86,164.79,165.03,2327649.0,166.02
2021-06-24,168.58,166.41,167.055,2417124.0,168.21
2021-06-25,170.41,168.45,168.45,9185989.0,169.45
2021-06-28,168.845,163.2,168.62,3433417.0,164.78
2021-06-29,166.32,163.23,165.57,2785869.0,164.25
2021-06-30,166.16,163.7,163.7,2331836.0,165.23
2021-07-01,167.37,164.69,165.65,2685879.0,166.94
2021-07-02,168.98,167.01,167.7,2029377.0,168.5
2021-07-06,172.54,167.8,172.54,4688149.0,169.56
2021-07-07,174.76,169.38,169.6,3998915.0,170.98
2021-07-08,170.04,165.59,166.95,4628410.0,167.5
2021-07-09,172.31,169.21,170.0,3175192.0,171.94
2021-07-12,174.1,169.8801,170.07,3154068.0,173.6
2021-07-13,174.74,172.42,174.0,2674962.0,172.62
2021-07-14,174.55,171.01,172.86,3123051.0,172.52
2021-07-15,173.26,171.1,171.14,3448298.0,172.85
2021-07-16,173.79,169.54,173.74,4359817.0,170.01
2021-07-19,166.38,161.48,165.65,6739752.0,162.81
2021-07-20,169.58,162.57,162.94,4243662.0,168.87
2021-07-21,173.62,169.74,170.74,3384776.0,172.51
2021-07-22,173.209,169.05,172.25,3335940.0,170.9
2021-07-23,179.67,172.95,176.53,6326617.0,173.18
2021-07-26,175.43,172.3,173.25,3115863.0,172.61
2021-07-27,175.12,169.96,170.46,7922826.0,172.94
2021-07-28,173.45,169.71,173.0,7961672.0,170.02
2021-07-29,173.815,171.0,171.39,3186903.0,171.95
2021-07-30,173.24,169.815,172.32,3442209.0,170.53
2021-08-02,173.36,168.76,171.14,2895656.0,169.27
2021-08-03,170.29,165.3,169.75,3642023.0,169.04
2021-08-04,170.4399,167.32,168.3,3544432.0,168.06
2021-08-05,170.53,168.3201,168.66,2535484.0,169.63
2021-08-06,172.85,169.74,170.53,2828724.0,171.36
2021-08-09,171.12,168.79,170.35,2560525.0,170.78
2021-08-10,171.7,168.675,170.73,3389706.0,169.49
2021-08-11,170.73,168.67,169.45,3843380.0,170.67
2021-08-12,170.11,167.97,170.02,3373007.0,168.52
2021-08-13,168.3,165.61,168.09,4157675.0,166.08
2021-08-16,165.895,162.63,164.77,3847993.0,165.75
2021-08-17,166.35,163.35,164.76,7631605.0,164.65
2021-08-18,165.14,162.06,163.83,3563667.0,162.13
2021-08-19,161.0886,157.33,160.16,4256385.0,159.03
2021-08-20,159.99,158.06,158.85,3074990.0,159.75
2021-08-23,161.85,160.11,161.23,2006541.0,160.45
2021-08-24,161.9,160.19,160.6,2377641.0,161.2
2021-08-25,167.23,160.5,161.88,3580170.0,166.18
2021-08-26,166.5,164.38,165.97,3164701.0,165.51
2021-08-27,168.89,165.16,165.35,3002548.0,168.65
2021-08-30,168.3,164.21,168.16,2582193.0,164.26
2021-08-31,166.43,163.7181,164.1,3536411.0,165.96
2021-09-01,167.275,164.13,166.34,2569133.0,164.44
2021-09-02,165.08,161.14,165.05,4350746.0,162.05
2021-09-03,161.282,158.165,160.75,4207482.0,159.3
2021-09-07,160.66,158.57,158.87,3779455.0,159.72
