Date,High,Low,Open,Volume,Adj Close
2021-01-04,730.6,702.04,730.6,623613.0,710.82
2021-01-05,717.21,705.26,708.81,431450.0,714.58
2021-01-06,744.79,716.1,718.76,730705.0,734.96
2021-01-07,753.27,743.01,748.34,655965.0,750.42
2021-01-08,759.3664,747.42,757.15,623026.0,756.45
2021-01-11,770.4,750.51,752.82,614375.0,766.68
2021-01-12,779.31,763.5,763.51,675962.0,777.74
2021-01-13,788.0,776.61,778.7,848599.0,779.75
2021-01-14,765.8585,739.06,750.0,1643130.0,743.5
2021-01-15,754.4399,724.0,742.18,1174470.0,727.76
2021-01-19,744.42,729.02,737.72,852400.0,733.65
2021-01-20,742.42,729.15,738.71,747731.0,741.54
2021-01-21,745.77,737.0,744.71,639591.0,742.2
2021-01-22,743.73,730.82,739.9,565667.0,735.05
2021-01-25,735.77,713.625,730.82,806452.0,722.98
2021-01-26,733.9,720.04,726.99,827925.0,721.85
2021-01-27,713.99,685.69,713.2,1104500.0,697.79
2021-01-28,731.02,699.43,701.5,822441.0,719.91
2021-01-29,717.08,698.62,715.36,801057.0,701.26
2021-02-01,713.95,701.27,708.0,483089.0,713.17
2021-02-02,733.315,719.37,719.37,879292.0,729.5
2021-02-03,727.44,716.55,720.0,685310.0,724.08
2021-02-04,737.66,724.3,724.3,636413.0,732.45
2021-02-05,737.48,725.12,734.19,475024.0,726.33
2021-02-08,731.7387,720.65,730.68,533145.0,726.45
2021-02-09,731.31,719.345,727.75,450997.0,728.8
2021-02-10,732.97,721.0,732.41,663262.0,723.17
2021-02-11,729.71,716.874,729.62,803949.0,721.43
2021-02-12,731.5,712.69,715.35,862804.0,722.98
2021-02-16,737.7215,726.92,728.67,571638.0,730.31
2021-02-17,728.695,718.47,725.98,567250.0,721.39
2021-02-18,717.12,696.48,716.43,1078718.0,703.53
2021-02-19,716.58,706.5,707.42,804224.0,710.11
2021-02-22,705.98,697.27,705.38,829951.0,703.14
2021-02-23,705.665,688.3138,700.51,926286.0,703.16
2021-02-24,713.23,700.39,704.5,583346.0,712.1
2021-02-25,714.5,692.15,714.23,591305.0,694.79
2021-02-26,701.02,689.275,697.79,768601.0,694.5
2021-03-01,721.965,705.21,706.82,653960.0,719.2
2021-03-02,723.6,713.61,719.73,455226.0,716.31
2021-03-03,721.38,701.3,718.54,703134.0,701.49
2021-03-04,698.86,676.415,693.4,915435.0,683.21
2021-03-05,704.03,670.28,691.9,698504.0,702.28
2021-03-08,712.17,696.84,699.56,649762.0,698.96
2021-03-09,725.24,703.9,707.98,959743.0,722.0
2021-03-10,733.59,724.2,726.69,823347.0,728.5
2021-03-11,733.69,719.33,732.48,751651.0,722.12
2021-03-12,722.615,712.495,719.28,528692.0,716.19
2021-03-15,720.71,707.27,720.71,526784.0,719.01
2021-03-16,727.39,715.76,721.94,562240.0,723.07
2021-03-17,730.4,719.91,721.35,463614.0,728.22
2021-03-18,739.95,722.46,728.99,640124.0,723.73
2021-03-19,740.65,713.51,720.26,1452170.0,729.64
2021-03-22,736.19,725.57,729.64,524689.0,730.92
2021-03-23,729.78,714.17,729.78,556688.0,716.57
2021-03-24,731.2,721.1,721.1,544753.0,722.75
2021-03-25,728.68,712.2721,723.55,462825.0,727.5
2021-03-26,758.22,731.32,731.32,803746.0,756.9
2021-03-29,761.8499,744.93,746.58,581740.0,757.86
2021-03-30,763.42,746.96,755.06,598823.0,749.26
2021-03-31,762.25,748.85,749.97,638151.0,753.96
2021-04-01,767.19,757.6,759.78,549219.0,766.83
2021-04-05,787.755,771.83,772.45,593605.0,784.02
2021-04-06,786.48,778.73,786.48,492308.0,781.71
2021-04-07,790.22,781.0001,783.32,477188.0,788.0
2021-04-08,802.01,789.09,791.0,558473.0,800.6
2021-04-09,810.62,799.59,802.68,484164.0,808.35
2021-04-12,809.67,801.51,804.61,482840.0,807.98
2021-04-13,806.625,799.53,804.7,376348.0,802.49
2021-04-14,811.38,798.14,799.53,552913.0,801.07
2021-04-15,827.845,810.0,812.19,766869.0,817.84
2021-04-16,825.518,805.52,823.82,774777.0,811.45
2021-04-19,815.5,806.425,811.06,491140.0,811.09
2021-04-20,813.45,800.84,807.26,525225.0,804.96
2021-04-21,812.39,799.59,802.96,388511.0,811.53
2021-04-22,811.01,793.53,811.01,520052.0,795.32
2021-04-23,816.91,795.89,798.43,489778.0,813.17
2021-04-26,822.2837,814.02,814.52,478233.0,818.32
2021-04-27,822.69,812.68,817.7,328253.0,820.51
2021-04-28,821.02,815.3,819.87,335320.0,816.28
2021-04-29,829.505,817.07,824.3,455352.0,827.32
2021-04-30,822.83,813.78,821.78,451357.0,819.3
2021-05-03,832.4,821.05,825.0,490077.0,825.62
2021-05-04,837.16,819.0,822.25,557943.0,836.43
2021-05-05,852.12,838.97,840.15,569920.0,851.01
2021-05-06,867.39,849.09,851.36,666588.0,867.1
2021-05-07,877.06,858.2,860.44,474203.0,873.83
