Date,High,Low,Open,Volume,Adj Close
2021-01-04,61.7083,59.73,61.59,21286201.0,60.14
2021-01-05,62.0,60.02,60.35,20213115.0,61.7
2021-01-06,66.6,63.95,64.49,38106606.0,65.25
2021-01-07,68.1,66.01,67.07,24161020.0,66.02
2021-01-08,66.21,64.34,66.21,20747754.0,65.37
2021-01-11,66.62,64.33,64.58,20460269.0,66.44
2021-01-12,67.74,66.24,67.49,20162825.0,66.67
2021-01-13,67.215,65.9884,67.0,18541850.0,66.86
2021-01-14,69.425,67.17,67.52,29108871.0,69.01
2021-01-15,67.6499,64.09,67.37,38243793.0,64.23
2021-01-19,65.25,62.91,65.2,27022421.0,63.69
2021-01-20,63.82,62.835,63.75,17448891.0,63.25
2021-01-21,63.335,61.74,63.21,19416248.0,61.87
2021-01-22,61.83,60.19,60.94,24740399.0,61.33
2021-01-25,60.77,59.17,60.67,25754124.0,60.56
2021-01-26,61.24,60.087,61.2,18760885.0,60.91
2021-01-27,60.0,58.53,59.9,24657198.0,59.4
2021-01-28,61.06,59.63,60.15,19986196.0,60.34
2021-01-29,60.2,57.69,59.96,27078339.0,57.99
2021-02-01,58.67,57.4,58.66,16073001.0,58.43
2021-02-02,60.25,59.3,59.6,18693380.0,59.58
2021-02-03,61.15,59.32,59.41,18730596.0,61.1
2021-02-04,62.63,61.42,61.57,16612891.0,62.41
2021-02-05,63.08,62.07,62.99,13493779.0,62.58
2021-02-08,63.71,62.85,63.09,15055448.0,63.65
2021-02-09,63.87,62.515,63.7,12336946.0,63.12
2021-02-10,63.9899,62.98,63.48,12680710.0,63.62
2021-02-11,63.87,61.925,63.6,12108275.0,63.2
2021-02-12,64.02,62.89,62.92,12174560.0,63.63
2021-02-16,65.07,63.835,64.92,19065436.0,64.12
2021-02-17,64.905,63.45,63.8,20287444.0,64.76
2021-02-18,64.55,63.09,64.3,14833206.0,63.48
2021-02-19,65.99,64.05,64.16,20456223.0,65.78
2021-02-22,66.895,65.29,65.4,23120674.0,65.52
2021-02-23,66.915,64.86,65.59,26712054.0,66.74
2021-02-24,68.68,67.0,67.17,20752879.0,68.6
2021-02-25,69.38,66.89,69.04,25206087.0,67.41
2021-02-26,67.595,65.54,66.78,24182191.0,65.88
2021-03-01,69.985,67.98,68.49,28054645.0,69.54
2021-03-02,69.99,68.85,69.19,19200581.0,68.91
2021-03-03,71.49,69.3,69.49,25157635.0,70.38
2021-03-04,71.78,67.89,70.18,28518413.0,69.81
2021-03-05,71.27,68.4401,70.84,25406770.0,70.23
2021-03-08,72.84,70.86,71.07,27351130.0,72.22
2021-03-09,72.485,70.04,70.91,24194875.0,70.99
2021-03-10,73.88,71.2,71.285,21331095.0,73.75
2021-03-11,74.275,72.55,73.48,17499158.0,73.31
2021-03-12,75.25,74.1,74.4203,17210559.0,75.18
2021-03-15,75.59,73.275,75.51,18936368.0,74.22
2021-03-16,73.625,72.315,73.52,15834756.0,73.33
2021-03-17,74.34,72.74,73.93,19337521.0,73.6
2021-03-18,76.13,73.45,74.43,23857885.0,73.84
2021-03-19,73.5802,71.522,73.2,24079436.0,73.01
2021-03-22,72.6,71.64,72.29,15039981.0,71.96
2021-03-23,72.64,70.505,71.3,16238699.0,70.91
2021-03-24,72.48,70.06,71.69,17089617.0,70.08
2021-03-25,71.92,69.15,69.83,18357283.0,71.72
2021-03-26,73.24,72.0,72.57,15716614.0,73.02
2021-03-29,72.15,70.37,71.55,17822340.0,71.58
2021-03-30,73.22,72.0,72.0,15615908.0,72.96
2021-03-31,73.83,72.46,72.71,15224796.0,72.75
2021-04-01,73.29,72.22,72.22,15251272.0,73.14
2021-04-05,74.34,72.44,74.07,16128423.0,72.75
2021-04-06,73.065,72.05,72.365,12908401.0,72.6
2021-04-07,73.12,71.95,72.92,14081388.0,72.69
2021-04-08,72.525,71.085,72.15,13677091.0,72.33
2021-04-09,73.01,72.01,72.81,14586378.0,72.42
2021-04-12,72.8,72.14,72.62,12002367.0,72.69
2021-04-13,72.42,71.065,72.3,16150047.0,72.06
2021-04-14,73.29,71.3793,71.74,19476580.0,72.91
2021-04-15,74.73,71.76,74.45,31333368.0,72.54
2021-04-16,73.57,71.69,73.32,28478391.0,72.45
2021-04-19,72.835,71.95,72.71,19964807.0,72.13
2021-04-20,71.55,69.27,71.55,22012998.0,69.79
2021-04-21,70.705,68.405,69.13,16334811.0,70.65
2021-04-22,70.75,69.67,70.43,16037648.0,69.81
2021-04-23,71.54,69.51,69.84,18878095.0,71.38
2021-04-26,72.81,71.61,71.73,13098596.0,72.2
2021-04-27,73.1,72.36,72.5,13357476.0,72.99
2021-04-28,73.64,72.73,73.37,14420387.0,72.91
2021-04-29,74.02,72.8807,73.76,20628360.0,73.84
2021-04-30,72.74,71.09,72.69,23669327.0,71.24
2021-05-03,72.445,71.39,72.02,16026109.0,71.71
2021-05-04,72.4,70.63,71.24,23071429.0,72.33
2021-05-05,73.81,71.78,72.61,19427234.0,73.71
2021-05-06,74.94,73.42,73.64,19621804.0,74.78
2021-05-07,75.105,73.22,73.43,16937385.0,75.08
2021-05-10,76.839,75.11,75.355,19628200.0,75.13
2021-05-11,75.57,73.91,74.5,21534800.0,74.87
2021-05-12,76.4,73.9,75.94,19791292.0,74.23
2021-05-13,75.88,73.8,73.88,18630298.0,75.29
2021-05-14,76.77,75.66,75.68,14122726.0,76.56
2021-05-17,77.47,76.1,76.33,14676315.0,77.42
2021-05-18,77.69,76.57,77.38,13729630.0,76.62
2021-05-19,76.6474,74.725,75.62,23283609.0,76.46
2021-05-20,76.64,75.36,76.17,15244291.0,76.2
2021-05-21,77.805,76.41,76.5,18544495.0,77.65
2021-05-24,78.355,77.47,77.83,16711847.0,78.03
2021-05-25,79.28,77.19,78.2,20015794.0,77.28
2021-05-26,77.9031,76.68,77.21,15243442.0,77.52
2021-05-27,79.11,77.95,78.52,17466971.0,78.76
2021-05-28,78.97,77.91,78.66,14394377.0,78.71
2021-06-01,80.09,79.34,79.49,15450506.0,79.76
2021-06-02,80.29,79.3783,80.1,15285588.0,79.86
2021-06-03,80.285,79.422,79.71,22255785.0,79.63
2021-06-04,79.87,78.81,79.69,13806958.0,79.49
2021-06-07,79.65,79.015,79.62,12670074.0,79.31
2021-06-08,79.42,77.71,78.3,15399063.0,79.08
2021-06-09,78.78,77.76,78.67,13778440.0,78.14
2021-06-10,79.29,76.83,79.04,15277433.0,76.89
2021-06-11,77.19,76.1,77.0,18043544.0,76.48
2021-06-14,76.77,74.67,76.61,18304435.0,75.16
2021-06-15,75.34,73.25,75.05,25191652.0,73.82
2021-06-16,73.0,70.15,72.75,53319779.0,71.46
2021-06-17,72.61,68.155,72.58,48523025.0,68.86
2021-06-18,68.75,67.13,68.48,44582888.0,67.61
2021-06-21,69.09,67.88,68.44,30266626.0,68.45
2021-06-22,69.41,67.77,68.9,21564644.0,68.96
2021-06-23,70.05,69.075,69.355,19672705.0,69.65
2021-06-24,71.67,69.95,70.33,23900402.0,71.32
2021-06-25,71.85,69.86,71.45,26727435.0,71.55
2021-06-28,71.67,70.46,71.32,17660887.0,71.51
2021-06-29,71.6,69.575,70.14,28696913.0,69.68
2021-06-30,70.81,69.4212,69.68,18502309.0,70.75
2021-07-01,71.21,70.45,71.08,12584798.0,71.01
2021-07-02,71.12,70.11,71.01,13227347.0,70.41
2021-07-06,70.19,67.86,70.11,24672243.0,68.21
2021-07-07,68.37,67.2645,67.71,19342695.0,67.93
2021-07-08,67.14,65.75,66.4,24763636.0,66.73
2021-07-09,68.52,67.6414,68.11,18872552.0,68.45
2021-07-12,69.59,67.3,67.67,19600591.0,69.44
2021-07-13,69.48,68.015,69.08,18962441.0,68.37
2021-07-14,70.78,67.45,69.99,36287752.0,68.17
2021-07-15,69.035,67.44,67.54,18897163.0,68.45
2021-07-16,68.76,66.415,68.71,19288972.0,66.9
2021-07-19,66.07,64.36,65.46,33318560.0,65.08
2021-07-20,66.78,64.78,65.18,20577855.0,66.29
2021-07-21,68.25,66.93,67.01,23393214.0,67.89
