Date,High,Low,Open,Volume,Adj Close
2021-01-04,260.5,250.9,260.4,3797148.0,253.19
2021-01-05,254.7725,250.05,251.5,3271078.0,253.18
2021-01-06,258.9811,250.3847,250.46,3605324.0,253.56
2021-01-07,256.215,245.45,254.09,5657270.0,246.03
2021-01-08,247.36,242.42,246.52,4583899.0,244.96
2021-01-11,246.4599,242.72,243.0,3416288.0,245.31
2021-01-12,249.62,243.0,246.08,4376369.0,249.04
2021-01-13,253.87,248.2,250.5,3012755.0,252.22
2021-01-14,258.34,253.4,254.26,2867129.0,256.27
2021-01-15,255.76,250.98,255.76,2805109.0,252.56
2021-01-19,256.395,248.9,253.93,2357639.0,249.52
2021-01-20,252.35,247.62,251.19,2157311.0,251.96
2021-01-21,257.28,252.372,253.77,1951159.0,253.94
2021-01-22,255.44,250.0101,252.0,1690741.0,254.08
2021-01-25,254.78,248.29,252.45,2009725.0,253.48
2021-01-26,254.84,249.34,254.2,1836122.0,249.67
2021-01-27,246.4,240.61,245.61,2698484.0,242.83
2021-01-28,246.29,242.62,246.01,2179045.0,242.79
2021-01-29,243.38,234.79,242.96,3241337.0,235.34
2021-02-01,239.75,235.32,237.38,2731231.0,239.24
2021-02-02,246.59,240.83,246.39,2859627.0,242.5
2021-02-03,243.6,239.35,242.6,2160532.0,241.29
2021-02-04,248.18,240.87,241.38,2898853.0,248.12
2021-02-05,255.4,249.0,251.0,2816568.0,255.01
2021-02-08,259.38,255.57,256.76,2135382.0,257.45
2021-02-09,260.5,254.0,257.27,1758118.0,259.13
2021-02-10,261.84,256.25,261.72,1969557.0,257.46
2021-02-11,258.08,251.56,258.0,1741692.0,254.36
2021-02-12,263.13,254.01,255.09,2673970.0,263.0
2021-02-16,265.46,261.11,264.0,1747609.0,261.83
2021-02-17,260.48,255.41,259.87,1455508.0,259.09
2021-02-18,258.49,253.0001,255.51,1684883.0,255.63
2021-02-19,259.38,253.781,258.03,1594824.0,254.64
2021-02-22,257.4,253.1,253.24,1821981.0,254.67
2021-02-23,255.23,245.38,253.5,1753589.0,254.63
2021-02-24,261.29,254.01,254.36,1690181.0,260.06
2021-02-25,262.97,253.28,260.07,1629377.0,254.22
2021-02-26,257.46,250.5,254.93,1738897.0,254.5
2021-03-01,265.3,258.3,258.71,2014472.0,262.09
2021-03-02,263.65,259.48,262.73,1400546.0,259.6
2021-03-03,262.7,255.46,258.98,1564977.0,258.77
2021-03-04,258.43,247.085,256.56,2371613.0,250.3
2021-03-05,258.21,245.55,252.19,1932899.0,257.29
2021-03-08,261.34,251.01,260.0,2242420.0,251.34
2021-03-09,262.11,252.25,253.19,2351978.0,257.92
2021-03-10,261.81,258.06,259.13,1600579.0,260.42
2021-03-11,270.16,262.31,263.54,3794359.0,268.49
2021-03-12,271.1895,265.2614,267.26,2137265.0,270.2
2021-03-15,272.85,263.79,271.0,3216705.0,266.88
2021-03-16,267.03,260.3,267.0,2131126.0,260.8
2021-03-17,266.18,257.09,259.0,1861367.0,265.84
2021-03-18,269.27,262.895,267.82,4536072.0,263.51
2021-03-19,282.93,275.29,279.05,12938788.0,279.58
2021-03-22,279.8,271.68,279.58,3276368.0,274.02
2021-03-23,276.95,265.55,271.41,2277123.0,266.81
2021-03-24,274.274,267.4,269.0,2122732.0,268.29
2021-03-25,275.02,263.94,266.2,2285411.0,274.18
2021-03-26,281.49,274.6,277.7,2066625.0,281.34
2021-03-29,281.95,276.64,278.0,1517190.0,279.22
2021-03-30,288.1471,278.31,279.37,2724678.0,285.92
2021-03-31,287.88,282.8346,286.0,2025998.0,284.04
2021-04-01,285.0,281.79,283.54,1443478.0,283.54
2021-04-05,286.61,280.57,286.0,1727162.0,281.57
2021-04-06,284.44,280.7,281.66,1407184.0,282.17
2021-04-07,282.44,276.69,281.49,1469193.0,279.11
2021-04-08,284.44,279.75,282.9,2275952.0,284.44
2021-04-09,287.0,281.78,282.9,2039379.0,286.58
2021-04-12,293.09,285.14,285.63,1773276.0,290.79
2021-04-13,294.76,289.11,294.73,1713654.0,290.89
2021-04-14,291.15,287.57,289.51,1099895.0,287.81
2021-04-15,292.4,286.67,288.83,1389774.0,291.2
2021-04-16,292.9999,287.13,292.9,1413296.0,287.59
2021-04-19,286.67,282.09,286.06,1676957.0,283.25
2021-04-20,283.8,277.34,282.42,1425483.0,280.34
2021-04-21,281.07,277.09,279.05,1861411.0,278.26
2021-04-22,281.07,276.38,277.33,1444775.0,276.54
2021-04-23,279.1905,276.97,278.52,1313752.0,277.74
2021-04-26,279.87,274.195,279.31,1746990.0,275.76
2021-04-27,292.2,284.33,286.56,4961864.0,287.51
2021-04-28,289.15,285.4199,286.65,1783940.0,287.39
2021-04-29,296.3,289.2301,290.0,2472170.0,296.06
2021-04-30,295.6,289.0,293.52,1821932.0,290.31
2021-05-03,305.3999,294.2,294.89,4580284.0,304.55
2021-05-04,305.2,299.32,302.7,2470499.0,304.28
2021-05-05,309.99,302.25,305.89,2530093.0,306.53
2021-05-06,311.96,303.48,305.29,2561678.0,310.96
2021-05-07,315.0995,308.0,308.0,1826102.0,314.69
2021-05-10,317.0,309.27,314.68,1733648.0,309.27
2021-05-11,307.88,300.57,304.6,2170813.0,305.64
2021-05-12,304.76,294.79,302.18,1949164.0,296.01
2021-05-13,305.3228,296.485,297.06,1445029.0,303.4
2021-05-14,310.5,305.23,305.23,1455230.0,309.43
2021-05-17,311.56,306.68,310.0,940701.0,309.26
2021-05-18,310.28,306.05,309.69,1046192.0,306.05
2021-05-19,308.43,299.91,304.0,1734976.0,307.93
2021-05-20,311.95,306.76,309.14,1278135.0,309.05
2021-05-21,315.29,309.39,310.43,1753572.0,309.6
2021-05-24,313.52,309.25,313.52,1808032.0,311.84
2021-05-25,313.38,307.71,313.0,1631780.0,308.59
2021-05-26,312.83,308.02,310.72,1695115.0,310.75
2021-05-27,319.9,311.86,312.51,2657327.0,315.59
2021-05-28,316.75,313.01,316.0,1022927.0,314.81
2021-06-01,318.54,310.085,318.27,1282365.0,310.85
2021-06-02,313.0,303.825,313.0,2088412.0,306.57
2021-06-03,307.78,302.175,305.39,1316636.0,306.31
2021-06-04,308.0,299.66,306.78,2111168.0,302.12
2021-06-07,304.21,299.21,303.0,1960434.0,303.34
2021-06-08,303.48,298.62,302.8,1498990.0,302.58
2021-06-09,302.62,290.46,302.58,4358637.0,293.11
2021-06-10,295.59,291.21,293.59,1811822.0,292.84
2021-06-11,296.17,293.26,293.26,1628876.0,296.09
2021-06-14,297.17,292.04,296.72,1275622.0,292.99
2021-06-15,299.88,293.9,294.99,1833964.0,299.3
2021-06-16,299.39,292.47,298.47,1686057.0,294.68
2021-06-17,294.74,285.59,294.49,2369393.0,287.57
2021-06-18,289.53,282.0084,284.15,2553783.0,285.32
2021-06-21,295.03,287.795,287.96,1922021.0,293.16
2021-06-22,299.12,293.849,294.92,2250100.0,297.69
2021-06-23,300.65,296.1646,300.0,2157370.0,297.37
2021-06-24,304.59,298.98,301.7,5016359.0,303.69
2021-06-25,294.75,286.52,292.74,11622029.0,291.95
2021-06-28,294.65,289.44,293.0,3537070.0,293.99
2021-06-29,299.5,294.85,296.0,3594497.0,297.89
2021-06-30,298.62,295.0,296.03,1810859.0,298.33
2021-07-01,300.0997,296.82,299.95,1749548.0,299.12
2021-07-02,299.9,297.37,299.9,1336782.0,299.38
2021-07-06,299.63,292.6,299.38,2282517.0,294.61
