Date,High,Low,Open,Volume,Adj Close
2021-01-04,213.01,206.36,212.84,2329179.0,207.95
2021-01-05,210.19,206.98,206.98,2172258.0,208.46
2021-01-06,213.98,209.23,209.45,2748168.0,212.26
2021-01-07,214.01,210.8,212.89,2057350.0,212.61
2021-01-08,213.4075,207.67,212.8,3278932.0,210.03
2021-01-11,209.615,207.83,208.11,2938913.0,208.36
2021-01-12,209.48,205.2614,207.86,2498791.0,208.88
2021-01-13,208.62,206.4,208.28,2145218.0,207.02
2021-01-14,209.78,207.18,208.04,3661497.0,208.61
2021-01-15,207.8617,205.2,207.53,3887549.0,205.97
2021-01-19,208.76,206.45,208.24,2656589.0,206.76
2021-01-20,208.67,206.67,207.92,2452446.0,208.08
2021-01-21,207.81,205.1,206.86,2705893.0,205.23
2021-01-22,204.46,201.39,204.26,3502973.0,202.25
2021-01-25,202.56,200.1,201.34,4737692.0,201.87
2021-01-26,204.77,200.98,203.84,2201906.0,201.06
2021-01-27,200.76,196.53,198.11,4108568.0,199.38
2021-01-28,205.35,199.63,200.62,3731737.0,202.84
2021-01-29,200.94,194.55,196.51,4635405.0,195.37
2021-02-01,197.765,195.28,197.55,2889125.0,195.56
2021-02-02,200.87,197.51,197.83,2768040.0,200.12
2021-02-03,199.9,197.41,199.63,1910258.0,199.14
2021-02-04,201.46,198.83,199.83,2273295.0,200.59
2021-02-05,203.87,201.2773,202.23,1868217.0,202.92
2021-02-08,204.9,202.56,203.82,2076009.0,203.86
2021-02-09,203.8,201.08,203.6,1794231.0,202.02
2021-02-10,203.35,201.18,203.0,1894589.0,202.16
2021-02-11,203.1,200.88,202.18,1708967.0,202.18
2021-02-12,203.79,201.6501,202.37,1990352.0,203.57
2021-02-16,205.57,201.88,204.86,2283499.0,203.44
2021-02-17,202.19,199.86,201.36,2941163.0,201.9
2021-02-18,204.82,200.65,201.5,1764985.0,203.52
2021-02-19,206.8299,203.32,204.12,2434559.0,203.56
2021-02-22,204.3,202.42,203.04,2205390.0,203.62
2021-02-23,205.84,202.97,205.01,2459300.0,205.04
2021-02-24,212.14,203.5,204.89,3341520.0,211.03
2021-02-25,210.455,204.26,209.95,2735008.0,204.79
2021-02-26,205.8,202.07,205.63,3665903.0,202.35
2021-03-01,208.15,203.69,204.33,2535954.0,206.22
2021-03-02,207.99,205.18,206.77,2500200.0,206.58
2021-03-03,209.45,206.12,206.12,2706390.0,207.01
2021-03-04,208.04,200.51,207.35,2798790.0,202.94
2021-03-05,207.46,201.78,204.53,2857983.0,206.58
2021-03-08,212.45,207.195,207.54,3216015.0,207.7
2021-03-09,209.94,206.49,208.99,2643482.0,207.61
2021-03-10,213.27,207.65,207.68,4332488.0,212.91
2021-03-11,214.76,211.2,211.79,2959704.0,212.5
2021-03-12,215.39,213.2,213.29,1839244.0,214.38
2021-03-15,217.0,212.7,213.71,2561209.0,216.2
2021-03-16,216.47,211.41,216.36,2577708.0,211.81
2021-03-17,214.43,211.94,213.5,2730196.0,213.03
2021-03-18,219.0,213.18,213.5,4293949.0,215.02
2021-03-19,215.59,212.17,215.37,10110790.0,212.91
2021-03-22,212.68,209.53,211.11,3306583.0,212.13
2021-03-23,212.35,207.87,210.42,1913754.0,208.59
2021-03-24,215.05,209.89,209.96,2562197.0,212.22
2021-03-25,214.05,208.25,212.21,2217646.0,213.88
2021-03-26,218.69,214.135,215.12,2540014.0,218.53
2021-03-29,219.67,217.14,217.65,3064038.0,218.88
2021-03-30,219.3099,217.05,219.0,2448206.0,218.09
2021-03-31,219.17,216.75,218.19,2450022.0,217.07
2021-04-01,217.97,215.4912,217.96,2109749.0,216.8
2021-04-05,220.11,218.37,218.71,2258883.0,219.27
2021-04-06,221.05,218.51,219.57,1795959.0,219.19
2021-04-07,219.88,217.2775,218.22,1717225.0,218.5
2021-04-08,219.96,216.64,218.18,2072017.0,219.86
2021-04-09,227.63,223.31,227.5,3861931.0,226.98
2021-04-12,229.23,225.56,225.64,2660068.0,228.6
2021-04-13,229.949,227.6,229.21,2750231.0,229.0
2021-04-14,230.99,228.0,228.0,2186537.0,229.38
2021-04-15,230.71,228.565,230.23,2009592.0,229.84
2021-04-16,232.35,230.05,231.68,4098296.0,232.11
2021-04-19,232.105,230.5,231.71,2904437.0,230.97
2021-04-20,230.19,225.78,230.0,2050665.0,227.33
2021-04-21,230.67,226.93,227.13,1722536.0,230.5
2021-04-22,232.03,228.8,230.4,2516155.0,229.26
2021-04-23,226.95,222.22,225.2,5312728.0,224.5
2021-04-26,225.74,221.26,225.59,3611352.0,221.52
2021-04-27,223.75,221.11,222.02,2786525.0,222.93
2021-04-28,224.14,222.5,222.74,2168054.0,222.87
2021-04-29,224.16,221.6818,223.71,1789938.0,223.9
2021-04-30,223.58,221.04,223.02,2216986.0,223.04
2021-05-03,224.78,222.2613,224.24,2218729.0,223.2
2021-05-04,225.6,220.75,222.14,2826960.0,225.43
