Date,High,Low,Open,Volume,Adj Close
2021-01-04,51.39,49.4016,49.89,46102459.0,49.67
2021-01-05,50.83,49.33,49.445,24866563.0,50.61
2021-01-06,52.15,50.2,50.435,36809644.0,51.1
2021-01-07,52.69,51.3,51.49,32092336.0,52.19
2021-01-08,52.53,51.27,52.45,34625379.0,51.65
2021-01-11,52.24,51.25,51.29,32933279.0,51.54
2021-01-12,53.85,51.56,51.9,39883888.0,53.24
2021-01-13,60.25,56.9,59.5,124070671.0,56.95
2021-01-14,60.14,57.84,58.45,74680892.0,59.25
2021-01-15,59.65,57.5,58.85,50265363.0,57.58
2021-01-19,58.34,57.1,57.94,35647144.0,57.99
2021-01-20,59.22,58.09,58.24,28701263.0,58.67
2021-01-21,63.95,58.2233,59.038,87156464.0,62.46
2021-01-22,59.62,56.65,58.85,85729315.0,56.66
2021-01-25,56.5,54.06,56.38,61968547.0,55.44
2021-01-26,56.2,54.85,55.275,31485880.0,55.21
2021-01-27,54.8481,53.3,54.61,49722945.0,53.59
2021-01-28,57.4,54.7,54.79,49202558.0,56.065
2021-01-29,57.16,55.355,55.98,37256225.0,55.51
2021-02-01,57.39,55.71,55.95,26926638.0,56.69
2021-02-02,58.28,56.88,57.19,23580890.0,58.0
2021-02-03,58.33,57.38,57.8943,21893188.0,57.68
2021-02-04,58.88,57.19,57.61,29853778.0,58.79
2021-02-05,59.08,58.12,59.0,23432611.0,58.18
2021-02-08,59.22,57.95,58.375,34358295.0,59.16
2021-02-09,59.31,57.935,58.77,28754075.0,58.78
2021-02-10,59.42,58.12,59.3,16325147.0,58.86
2021-02-11,60.99,58.86,59.095,27539121.0,60.66
2021-02-12,62.51,60.43,60.6,26214175.0,61.81
2021-02-16,62.87,61.7,62.0,26326297.0,62.47
2021-02-17,62.185,61.21,61.49,21065334.0,61.85
2021-02-18,61.98,60.64,60.645,17846142.0,61.61
2021-02-19,63.26,61.85,61.91,28290116.0,63.01
2021-02-22,62.7,60.66,61.88,32288182.0,60.71
2021-02-23,61.495,59.17,60.48,27374594.0,61.12
2021-02-24,63.28,60.38,60.53,24669870.0,63.19
2021-02-25,63.54,60.13,62.405,36393952.0,60.4
2021-02-26,61.69,59.68,60.89,38216774.0,60.78
2021-03-01,63.08,61.65,61.72,28503500.0,62.88
2021-03-02,63.14,61.11,62.8,23320016.0,61.24
2021-03-03,61.52,59.7,60.64,28740357.0,59.9
2021-03-04,60.235,57.905,59.83,40210352.0,58.33
2021-03-05,61.175,58.51,59.26,39511670.0,60.74
2021-03-08,61.695,59.72,60.4677,33112387.0,59.85
2021-03-09,63.165,60.84,61.18,36387479.0,62.67
2021-03-10,64.12,62.13,63.22,27160323.0,62.25
2021-03-11,64.09,62.39,62.94,30701765.0,63.31
2021-03-12,63.3,62.24,62.65,20172961.0,62.9
2021-03-15,63.875,62.48,63.61,21251484.0,63.79
2021-03-16,65.7302,64.08,64.15,30186635.0,64.78
2021-03-17,66.29,63.71,64.2235,32394652.0,65.78
2021-03-18,65.7,63.65,65.63,30107865.0,63.725
2021-03-19,64.99,62.92,63.18,54951650.0,63.76
2021-03-22,66.38,64.56,64.82,34380148.0,65.63
2021-03-23,66.05,63.17,66.0,35159952.0,63.48
2021-03-24,67.44,61.99,66.58,74584670.0,62.04
2021-03-25,62.44,60.975,61.655,35401428.0,62.02
2021-03-26,64.97,61.77,61.8,34705755.0,64.87
2021-03-29,65.125,63.61,64.0113,26161610.0,64.5
2021-03-30,64.0,63.15,63.77,20709487.0,63.77
2021-03-31,64.4899,63.58,64.01,33013231.0,64.0
2021-04-01,64.89,63.575,64.725,31416250.0,64.55
2021-04-05,66.74,64.7,64.95,27947521.0,66.54
