Date,High,Low,Open,Volume,Adj Close
2021-01-04,127.8579,124.78,127.5,16819915.0,125.87
2021-01-05,126.2995,123.77,124.99,13731206.0,125.65
2021-01-06,132.77,127.88,129.88,24909056.0,131.55
2021-01-07,138.19,134.92,135.69,21940387.0,135.87
2021-01-08,136.35,134.12,135.97,12035126.0,136.02
2021-01-11,138.2,134.11,134.58,15949048.0,138.05
2021-01-12,141.6599,138.8301,139.44,18033462.0,140.22
2021-01-13,140.79,138.1,138.59,14816761.0,140.35
2021-01-14,142.75,140.0,140.49,18565597.0,141.17
2021-01-15,141.65,137.01,137.43,27881016.0,138.64
2021-01-19,140.7,137.82,139.86,19843782.0,138.04
2021-01-20,138.17,135.435,137.82,16028845.0,135.97
2021-01-21,136.16,134.325,135.69,13415022.0,134.83
2021-01-22,134.4,132.2,132.69,12933227.0,133.79
2021-01-25,133.17,130.06,132.14,14212764.0,132.12
2021-01-26,133.17,131.34,132.75,11307819.0,131.58
2021-01-27,129.85,127.35,129.59,17603851.0,127.86
2021-01-28,132.17,128.99,129.9,13761758.0,130.11
2021-01-29,131.72,128.19,131.19,14808109.0,128.67
2021-02-01,130.0697,128.475,129.4,11080662.0,129.62
2021-02-02,134.39,131.22,131.94,12253574.0,133.61
2021-02-03,135.755,133.51,133.65,10600777.0,135.14
2021-02-04,138.66,135.47,135.47,12419526.0,138.25
2021-02-05,139.49,137.38,139.39,10051265.0,137.98
2021-02-08,140.3,138.18,138.2,10136384.0,140.14
2021-02-09,139.98,138.54,139.43,8614807.0,139.58
2021-02-10,140.87,139.04,140.0,10323204.0,139.66
2021-02-11,140.55,138.22,139.66,9200955.0,139.27
2021-02-12,141.61,139.0,139.05,8324562.0,141.25
2021-02-16,145.32,142.4,143.55,12130618.0,144.65
2021-02-17,145.38,143.12,143.95,10834189.0,145.1
2021-02-18,145.79,143.4,144.0,10590274.0,145.59
2021-02-19,148.84,145.86,145.86,11969782.0,148.02
2021-02-22,150.19,146.79,146.87,11488415.0,149.41
2021-02-23,152.31,149.59,151.51,16234408.0,150.61
2021-02-24,153.76,150.11,150.11,15061433.0,153.26
2021-02-25,154.9,150.59,154.27,18127707.0,151.18
2021-02-26,150.8741,146.51,150.3,19829182.0,147.17
2021-03-01,151.3799,148.48,149.52,14845483.0,150.5
2021-03-02,151.78,149.84,150.08,14221724.0,150.01
2021-03-03,154.98,150.825,151.23,14324103.0,152.91
2021-03-04,154.3786,148.6201,152.61,20093905.0,150.56
2021-03-05,153.49,147.97,153.215,18465108.0,150.91
2021-03-08,155.46,150.75,152.47,17133270.0,152.91
2021-03-09,154.25,149.82,151.5,16238763.0,151.83
2021-03-10,156.16,151.51,151.91,14342237.0,155.13
2021-03-11,156.15,153.36,154.11,11771478.0,154.32
2021-03-12,157.63,155.0701,156.86,12849532.0,156.15
2021-03-15,156.92,153.96,156.35,12103264.0,155.37
2021-03-16,154.6,152.19,154.09,12805565.0,153.51
2021-03-17,156.88,153.05,155.34,13952375.0,155.09
2021-03-18,161.69,157.11,157.6,21898467.0,157.65
2021-03-19,155.94,151.19,155.51,54418832.0,155.14
2021-03-22,153.97,150.61,152.8,19944845.0,150.97
2021-03-23,152.12,148.96,150.33,17076304.0,149.46
2021-03-24,153.18,149.86,150.0,13079793.0,150.62
2021-03-25,152.97,149.33,150.0,15608340.0,152.55
2021-03-26,155.45,152.55,154.3,16754402.0,155.09
2021-03-29,153.7276,151.04,152.1201,17570343.0,152.68
2021-03-30,155.87,153.88,154.46,13184306.0,154.48
2021-03-31,154.49,152.12,153.28,16736681.0,152.23
2021-04-01,153.79,151.55,151.9,16561508.0,153.71
2021-04-05,154.94,152.6,154.4,13507979.0,153.62
2021-04-06,154.28,151.86,152.79,13071554.0,152.54
2021-04-07,155.23,152.65,153.1,16903523.0,154.93
2021-04-08,155.505,152.31,154.0,12335512.0,155.12
2021-04-09,157.042,154.97,155.81,12122400.0,156.28
2021-04-12,157.25,155.57,155.58,12273355.0,155.95
2021-04-13,155.2,152.43,154.75,16113557.0,154.09
2021-04-14,153.83,150.93,151.47,19939592.0,151.21
2021-04-15,152.2,149.32,151.25,17694125.0,152.17
2021-04-16,154.51,152.69,153.87,13773412.0,153.3
2021-04-19,153.88,152.22,153.42,11900220.0,152.65
2021-04-20,151.75,148.65,151.74,13716678.0,149.27
2021-04-21,150.61,146.79,147.79,12236674.0,150.54
2021-04-22,150.3,147.26,150.23,15256117.0,147.37
2021-04-23,151.13,146.685,147.18,14043086.0,150.19
2021-04-26,152.46,150.38,150.78,10799065.0,150.56
2021-04-27,151.57,150.11,150.5,12821182.0,151.25
2021-04-28,152.89,151.4,152.43,8943653.0,152.23
2021-04-29,155.28,153.2,153.54,12976866.0,155.19
2021-04-30,154.49,153.01,154.1,11705065.0,153.81
2021-05-03,155.48,153.13,154.85,11801108.0,153.36
2021-05-04,155.64,152.14,152.87,12977673.0,155.48
2021-05-05,158.28,154.63,156.0,10506708.0,157.52
2021-05-06,160.825,157.16,158.07,13542406.0,160.69
2021-05-07,161.5,157.02,157.22,14257828.0,161.24
2021-05-10,163.73,161.12,161.5,14014332.0,161.22
2021-05-11,162.39,158.04,161.08,15451666.0,158.54
2021-05-12,160.78,157.03,159.61,14381733.0,157.45
2021-05-13,162.445,157.68,158.18,15397363.0,161.5
2021-05-14,164.45,161.99,162.39,10583975.0,164.01
2021-05-17,164.85,163.03,163.37,9886843.0,164.67
2021-05-18,165.5,162.24,164.68,11098117.0,162.35
2021-05-19,161.18,158.64,161.0,13278895.0,161.11
2021-05-20,161.86,159.52,160.83,10426014.0,160.83
2021-05-21,163.223,160.94,161.34,10248994.0,162.66
2021-05-24,164.225,162.1189,163.36,9440290.0,163.54
2021-05-25,165.7,161.56,163.85,12609084.0,161.85
2021-05-26,163.74,161.305,163.57,13058340.0,161.83
2021-05-27,164.75,162.57,163.95,15707512.0,164.35
2021-05-28,164.94,163.26,164.68,10294700.0,164.24
2021-06-01,166.91,165.48,165.87,9445366.0,166.05
2021-06-02,167.44,165.53,167.26,10498568.0,166.06
2021-06-03,167.245,164.661,165.41,13354653.0,166.17
2021-06-04,166.67,165.03,166.21,8510831.0,166.44
2021-06-07,167.1,165.14,167.0,7267196.0,165.66
2021-06-08,165.76,163.1618,164.49,10370719.0,165.0
2021-06-09,164.22,162.28,164.14,12377367.0,162.94
2021-06-10,165.24,160.31,164.36,12119419.0,160.4
2021-06-11,161.199,159.06,160.43,13683774.0,160.29
2021-06-14,160.33,156.655,160.15,19917855.0,157.57
2021-06-15,156.92,154.13,156.7,24485479.0,155.18
2021-06-16,157.62,153.11,154.73,25321233.0,156.27
2021-06-17,157.46,151.25,157.1,29722421.0,151.76
2021-06-18,149.7,147.56,149.3,43595659.0,147.92
2021-06-21,151.202,149.0201,149.08,18664796.0,150.43
2021-06-22,150.97,148.66,150.6,14251160.0,150.21
2021-06-23,152.04,150.09,150.2,12733326.0,151.12
2021-06-24,153.12,151.22,151.92,13733186.0,152.51
2021-06-25,154.495,151.6686,152.59,15484922.0,154.05
2021-06-28,154.48,152.1203,153.7,14125837.0,154.33
2021-06-29,156.31,153.61,155.0,14528708.0,154.14
2021-06-30,156.08,153.7097,153.75,12530993.0,155.54
2021-07-01,157.14,155.415,156.26,10479389.0,157.08
2021-07-02,156.32,155.12,155.95,11431349.0,156.03
2021-07-06,155.78,152.345,155.78,15083360.0,153.41
2021-07-07,154.2829,151.55,152.01,12271789.0,153.59
2021-07-08,152.53,150.04,151.61,17834574.0,150.94
