Date,High,Low,Open,Volume,Adj Close
2021-01-04,69.93,67.72,69.28,14014631.0,68.33
2021-01-05,70.08,68.08,68.16,11120399.0,69.49
2021-01-06,74.875,70.56,71.41,18334255.0,73.68
2021-01-07,76.51,74.8,74.8,13530361.0,74.94
2021-01-08,75.34,73.85,74.47,12896730.0,75.25
2021-01-11,76.5,73.67,74.24,9081177.0,76.06
2021-01-12,77.17,75.52,76.56,11831096.0,75.8
2021-01-13,76.43,75.009,75.81,9852176.0,75.56
2021-01-14,76.84,75.72,75.85,9854347.0,76.47
2021-01-15,75.57,74.15,75.07,12882601.0,75.24
2021-01-19,76.6,74.69,76.52,14897745.0,74.99
2021-01-20,77.76,74.3,76.51,16132961.0,74.84
2021-01-21,75.89,73.74,75.0,13591901.0,74.7
2021-01-22,74.7,72.41,72.55,15459988.0,74.13
2021-01-25,74.02,71.915,73.52,15933115.0,72.38
2021-01-26,73.32,71.14,72.74,10899728.0,71.21
2021-01-27,70.26,67.85,69.73,17002601.0,68.42
2021-01-28,70.77,68.65,69.44,14986197.0,69.32
2021-01-29,70.06,66.845,69.01,17566053.0,67.05
2021-02-01,68.12,67.2701,67.88,11961557.0,67.67
2021-02-02,71.37,69.02,69.12,13893927.0,70.95
2021-02-03,71.335,70.31,70.87,8014333.0,70.6
2021-02-04,72.32,70.767,70.93,8889354.0,72.29
2021-02-05,73.715,72.5503,73.1,8832176.0,73.22
2021-02-08,74.29,73.4,73.64,9018095.0,74.23
2021-02-09,74.68,73.37,73.9,7429868.0,74.24
2021-02-10,74.865,73.55,74.6,7465888.0,74.33
2021-02-11,74.77,72.78,74.33,6972883.0,73.72
2021-02-12,75.02,73.88,73.88,7281192.0,74.61
2021-02-16,76.415,75.28,76.25,8550568.0,76.05
2021-02-17,75.9,74.71,75.0,7807802.0,75.45
2021-02-18,75.55,74.17,75.15,7156641.0,74.83
2021-02-19,76.36,75.43,75.45,7685387.0,76.0
2021-02-22,77.99,75.58,75.7,11193715.0,77.4
2021-02-23,77.86,76.26,77.26,12174910.0,77.5
2021-02-24,80.1,77.65,77.68,12681538.0,79.88
2021-02-25,81.395,78.11,80.5,11674604.0,78.43
2021-02-26,78.85,76.33,78.04,30392199.0,76.87
2021-03-01,79.54,78.04,78.05,11453114.0,79.16
2021-03-02,81.545,79.6,79.81,11955485.0,80.79
2021-03-03,82.94,81.16,81.16,13053028.0,82.06
2021-03-04,83.48,79.81,82.14,15809887.0,81.11
2021-03-05,82.56,78.38,82.41,16362514.0,80.87
2021-03-08,82.96,80.79,81.93,10151916.0,81.1
2021-03-09,82.33,79.43,80.2,11588679.0,80.85
2021-03-10,83.415,81.415,81.74,10775841.0,83.09
2021-03-11,83.81,82.49,82.55,8951493.0,83.25
2021-03-12,85.08,83.785,84.55,8691318.0,84.34
2021-03-15,85.08,82.97,84.9,9019234.0,83.86
2021-03-16,83.7,81.84,83.51,9471980.0,82.54
2021-03-17,84.14,82.45,83.6,8049279.0,83.86
2021-03-18,86.64,83.73,84.73,10230087.0,83.94
2021-03-19,83.61,81.4,82.61,11557556.0,82.94
2021-03-22,82.57,81.49,82.47,7169919.0,81.92
2021-03-23,81.92,78.85,81.14,10235491.0,79.12
2021-03-24,81.44,79.29,80.1,8458959.0,79.33
2021-03-25,80.38,78.31,79.29,11363846.0,80.13
2021-03-26,81.74,79.05,81.63,11107395.0,79.98
2021-03-29,78.845,76.0,77.0,21931739.0,77.88
2021-03-30,80.04,78.5,78.67,12062974.0,79.09
2021-03-31,78.998,77.65,78.67,12085487.0,77.66
2021-04-01,78.28,77.5,77.88,13195642.0,78.22
2021-04-05,79.305,77.83,79.2,10458839.0,78.0
2021-04-06,79.11,77.51,77.8,9444957.0,79.09
