Date,High,Low,Open,Volume,Adj Close
2021-01-04,209.0265,201.375,208.04,2642629.0,203.01
2021-01-05,206.435,202.855,202.9,2127506.0,205.5
2021-01-06,211.61,205.13,205.55,2512400.0,209.8
2021-01-07,213.35,209.12,210.61,2023152.0,212.72
2021-01-08,221.28,216.99,218.0,3922910.0,218.82
2021-01-11,220.99,216.95,220.18,2969758.0,217.35
2021-01-12,220.44,213.86,217.06,3225955.0,218.64
2021-01-13,219.0,215.3601,217.58,1466035.0,216.61
2021-01-14,218.12,215.71,217.95,1720001.0,216.16
2021-01-15,217.52,213.2501,214.51,2325287.0,216.6
2021-01-19,218.82,215.13,218.21,2841906.0,215.28
2021-01-20,218.46,215.71,217.09,3239593.0,218.18
2021-01-21,216.9,207.89,210.0,6346356.0,207.9
2021-01-22,209.0,203.24,207.61,4290569.0,207.13
2021-01-25,207.15,201.12,205.16,4815424.0,206.46
2021-01-26,207.31,199.4,207.31,3867707.0,200.05
2021-01-27,198.8,193.14,196.0235,3790998.0,194.33
2021-01-28,204.9792,195.44,197.38,3406482.0,201.29
2021-01-29,200.8,196.77,199.29,3508101.0,197.47
2021-02-01,200.7084,198.27,198.82,2228714.0,198.6
2021-02-02,207.13,200.04,200.54,3714180.0,205.93
2021-02-03,205.915,203.855,205.14,1731563.0,204.36
2021-02-04,206.65,203.38,204.78,2552132.0,204.45
2021-02-05,207.68,203.855,206.55,2096985.0,204.2
2021-02-08,205.3,202.12,205.3,1995374.0,204.12
2021-02-09,205.6,202.53,204.44,1526781.0,204.65
2021-02-10,206.19,202.7,205.93,1766762.0,203.5
2021-02-11,207.87,204.35,205.11,2658126.0,207.23
2021-02-12,213.7,206.21,206.21,3318406.0,213.16
2021-02-16,215.42,210.46,213.37,2936316.0,213.99
2021-02-17,213.88,209.81,213.24,3233132.0,211.23
2021-02-18,209.785,204.16,209.22,3621440.0,207.06
2021-02-19,211.56,207.9,208.04,3120837.0,209.06
2021-02-22,210.365,206.68,207.14,2775907.0,206.83
2021-02-23,208.08,204.68,207.35,2677820.0,206.96
2021-02-24,212.95,205.47,206.35,2355204.0,211.15
2021-02-25,210.89,207.9,209.78,4150378.0,208.67
2021-02-26,210.21,205.85,210.21,3707990.0,205.96
2021-03-01,211.6,207.77,208.58,4118253.0,209.18
2021-03-02,210.64,207.33,209.55,2315495.0,209.3
2021-03-03,209.83,205.99,209.33,2307652.0,206.23
2021-03-04,206.695,198.59,205.98,3208762.0,201.08
2021-03-05,210.15,200.64,203.0,3187261.0,209.71
2021-03-08,215.68,210.17,210.57,3068507.0,210.89
2021-03-09,214.9653,211.23,212.05,2814546.0,211.7
2021-03-10,215.175,211.38,212.5,2764782.0,213.12
2021-03-11,216.54,213.17,214.82,2573693.0,214.52
2021-03-12,217.5,213.92,215.86,2321110.0,214.09
2021-03-15,214.89,209.96,214.25,2881157.0,212.67
2021-03-16,213.17,208.91,213.12,2786137.0,211.7
2021-03-17,214.2299,209.8243,211.43,2795178.0,212.3
2021-03-18,217.71,211.44,211.44,2866740.0,215.36
2021-03-19,215.53,209.21,215.43,7005198.0,210.8
2021-03-22,211.0,204.78,210.08,5863499.0,206.27
2021-03-23,210.528,206.5,207.26,3661653.0,208.05
2021-03-24,215.8,208.0,208.0,3245118.0,212.9
2021-03-25,216.53,211.82,212.53,2689285.0,216.09
2021-03-26,223.21,216.75,217.16,3653835.0,222.92
2021-03-29,223.95,220.24,222.8,2279848.0,222.98
2021-03-30,223.42,220.54,221.26,2601848.0,221.13
2021-03-31,222.57,219.175,221.12,3246647.0,220.41
2021-04-01,221.79,219.02,220.88,2551292.0,220.21
2021-04-05,224.62,222.07,222.24,1958370.0,223.47
2021-04-06,224.09,220.8,223.97,1590798.0,221.1
2021-04-07,221.94,219.97,220.9,1634408.0,221.34
2021-04-08,221.58,220.08,221.08,1983982.0,220.18
2021-04-09,223.36,220.47,220.69,2383736.0,223.24
2021-04-12,225.28,222.51,222.56,2286544.0,223.55
2021-04-13,223.39,220.2,222.98,1799251.0,221.99
