Date,High,Low,Open,Volume,Adj Close
2021-01-04,30.435,29.4002,30.32,31421557.0,29.7
2021-01-05,30.95,29.82,30.09,37360007.0,30.53
2021-01-06,33.0,31.79,31.9,73507549.0,32.69
2021-01-07,34.2,33.32,33.58,50634123.0,33.43
2021-01-08,33.65,32.67,33.61,32324741.0,33.19
2021-01-11,33.56,32.32,32.64,33798499.0,33.24
2021-01-12,34.52,33.66,34.0,59146428.0,33.94
2021-01-13,34.26,33.63,33.82,35734811.0,33.8
2021-01-14,35.1,34.01,34.07,55856896.0,34.75
2021-01-15,33.5,31.82,33.08,91993100.0,32.04
2021-01-19,33.04,32.28,32.41,43806828.0,32.63
2021-01-20,32.83,32.3,32.78,29949845.0,32.46
2021-01-21,32.43,31.92,32.32,28276009.0,32.0
2021-01-22,32.06,31.15,31.34,24476094.0,31.9
2021-01-25,32.35,31.615,31.88,28515507.0,32.24
2021-01-26,32.53,31.36,32.49,28026455.0,31.38
2021-01-27,31.03,29.92,30.92,45074947.0,30.17
2021-01-28,31.05,30.31,30.525,28770175.0,30.81
2021-01-29,31.19,29.82,30.77,39500819.0,29.88
2021-02-01,30.22,29.68,30.14,23713446.0,29.99
2021-02-02,31.19,30.38,30.46,25302882.0,30.75
2021-02-03,31.77,30.61,30.72,28507775.0,31.7
2021-02-04,32.85,31.8,31.865,30825420.0,32.66
2021-02-05,33.185,32.51,33.0,24908134.0,32.56
2021-02-08,33.57,30.77,32.78,29223804.0,33.4
2021-02-09,33.405,32.91,33.21,23539764.0,33.26
2021-02-10,33.69,33.09,33.48,22687029.0,33.2
2021-02-11,33.34,32.37,33.2,22393221.0,32.72
2021-02-12,33.6201,32.65,32.65,34473054.0,33.53
2021-02-16,34.93,34.0,34.07,36468247.0,34.79
2021-02-17,37.45,34.025,34.34,80326754.0,36.59
2021-02-18,37.357,36.18,36.44,43334709.0,36.96
2021-02-19,37.85,37.03,37.13,39022955.0,37.83
2021-02-22,37.925,37.1,37.675,34689971.0,37.26
2021-02-23,37.77,36.605,37.59,36792508.0,37.14
2021-02-24,38.34,37.14,37.24,42764312.0,38.29
2021-02-25,38.68,37.3,38.68,37233059.0,37.56
2021-02-26,37.41,35.93,37.1,39467955.0,36.17
2021-03-01,37.42,36.74,37.11,28066087.0,37.09
2021-03-02,37.45,36.99,37.15,19701160.0,37.14
2021-03-03,38.66,37.35,37.35,35365103.0,37.69
2021-03-04,38.0,36.36,37.62,42932476.0,37.16
2021-03-05,38.12,36.34,37.87,34558285.0,37.43
2021-03-08,38.875,37.7699,38.13,38255218.0,38.67
2021-03-09,38.8,37.48,38.17,35854113.0,38.13
2021-03-10,39.7,38.28,38.68,38437222.0,39.58
2021-03-11,39.59,38.61,39.22,30598733.0,38.88
2021-03-12,40.02,39.42,39.5,28754041.0,39.97
2021-03-15,40.23,39.17,40.07,25902218.0,39.7
2021-03-16,39.49,38.72,39.37,24668311.0,39.35
2021-03-17,40.435,39.205,39.68,33537039.0,39.84
2021-03-18,41.54,40.15,40.15,57420561.0,40.81
2021-03-19,40.065,39.22,39.94,60291837.0,39.63
2021-03-22,39.31,38.62,39.28,32206037.0,38.97
2021-03-23,39.0466,38.05,38.5,32494370.0,38.24
2021-03-24,39.02,38.11,38.36,24201715.0,38.12
2021-03-25,39.36,37.78,37.97,28772999.0,39.3
2021-03-26,40.23,39.17,39.9,29156073.0,39.76
2021-03-29,39.355,37.9,38.58,38426862.0,38.44
2021-03-30,40.08,38.47,38.54,36134172.0,39.39
2021-03-31,39.63,38.92,39.27,25832772.0,39.07
2021-04-01,39.65,38.92,38.96,22706933.0,39.63
2021-04-05,40.33,39.32,40.03,21293401.0,39.48
2021-04-06,39.9,39.255,39.42,20969588.0,39.85
2021-04-07,40.09,39.63,39.84,19393220.0,39.99
2021-04-08,40.2,39.33,39.87,20845029.0,40.03
2021-04-09,40.79,40.25,40.34,28363569.0,40.5
2021-04-12,40.89,40.4,40.46,21093008.0,40.77
2021-04-13,40.51,39.7,40.5,29333229.0,39.79
2021-04-14,42.1799,39.06,39.7,64926942.0,41.99
2021-04-15,42.26,41.03,42.1,44146305.0,42.24
2021-04-16,44.13,42.58,42.67,57060176.0,43.84
2021-04-19,44.4,43.38,43.61,39124194.0,43.88
2021-04-20,43.4,42.35,43.4,29734016.0,42.54
2021-04-21,43.355,41.765,42.24,27258024.0,43.24
2021-04-22,43.52,42.68,43.26,24638336.0,42.7
2021-04-23,44.18,42.63,42.71,28031474.0,43.86
2021-04-26,44.68,43.99,44.13,24606572.0,44.14
2021-04-27,45.22,44.2,44.39,29130247.0,45.09
2021-04-28,45.665,44.93,45.15,20795102.0,45.08
2021-04-29,46.39,45.52,45.62,26880723.0,46.24
2021-04-30,46.015,44.86,45.8,34176545.0,45.05
2021-05-03,45.65,45.07,45.45,16522710.0,45.48
2021-05-04,45.835,44.67,45.26,26137592.0,45.74
2021-05-05,46.2,45.47,45.93,19620214.0,45.94
2021-05-06,46.69,45.7,46.11,34271521.0,46.63
2021-05-07,46.62,45.55,45.93,25140360.0,46.54
2021-05-10,47.35,46.59,46.84,28193072.0,46.6
2021-05-11,46.8829,45.51,46.02,31478527.0,45.72
2021-05-12,47.16,45.475,46.83,33392860.0,45.64
2021-05-13,46.79,45.31,45.49,23556160.0,46.4
2021-05-14,47.11,46.47,46.6,17078543.0,46.96
2021-05-17,47.98,46.8,46.92,25212829.0,47.9
2021-05-18,48.13,46.83,47.9,24125959.0,46.86
2021-05-19,46.32,45.365,45.94,28911119.0,46.17
2021-05-20,46.1808,45.27,46.07,26106955.0,45.73
2021-05-21,46.3,45.776,45.97,27312655.0,45.88
2021-05-24,46.51,45.755,46.0,25707428.0,46.24
2021-05-25,47.02,46.035,46.39,29415310.0,46.09
2021-05-26,46.595,45.6,46.11,26170626.0,46.4
2021-05-27,47.38,46.31,46.99,42572888.0,46.76
2021-05-28,46.88,46.28,46.85,15762254.0,46.72
2021-06-01,47.41,46.79,47.16,17878633.0,47.26
2021-06-02,47.46,46.58,47.38,18492643.0,46.81
2021-06-03,47.0,46.35,46.69,20206431.0,46.46
2021-06-04,47.1,46.51,47.06,18190344.0,46.96
2021-06-07,47.18,46.775,47.1,16644280.0,47.11
2021-06-08,47.01,46.3032,46.74,21271669.0,46.61
2021-06-09,46.34,45.631,46.24,22617509.0,45.92
2021-06-10,46.65,45.013,46.47,21640010.0,45.09
2021-06-11,45.69,45.18,45.18,19389342.0,45.68
2021-06-14,45.88,44.8399,45.61,25452273.0,45.15
2021-06-15,45.72,44.995,45.2,23865420.0,45.46
2021-06-16,45.96,44.32,44.95,38287684.0,45.57
2021-06-17,45.96,42.655,45.79,48910365.0,42.79
2021-06-18,42.31,41.47,41.68,61292236.0,41.75
2021-06-21,43.31,42.23,42.295,26444695.0,43.28
2021-06-22,43.871,42.855,43.41,26455220.0,43.54
2021-06-23,44.31,43.5,43.5,18778502.0,43.96
2021-06-24,45.42,44.21,44.26,27951013.0,45.18
2021-06-25,46.65,45.22,45.57,49074747.0,46.38
2021-06-28,46.07,45.09,46.0,27127537.0,45.79
2021-06-29,46.38,44.6,46.04,39534033.0,44.79
2021-06-30,45.385,44.45,44.62,18168081.0,45.29
2021-07-01,45.64,44.97,45.48,18658011.0,45.41
2021-07-02,45.41,44.84,45.3,13221611.0,45.07
2021-07-06,44.82,43.3,44.73,25486864.0,43.49
2021-07-07,43.965,43.12,43.28,21883952.0,43.4
2021-07-08,42.95,41.97,42.58,29148739.0,42.32
2021-07-09,44.11,42.85,43.1799,25055931.0,43.91
2021-07-12,44.25,42.955,43.28,17618924.0,44.16
2021-07-13,44.13,43.01,43.79,25387815.0,43.23
2021-07-14,45.13,42.51,43.6,49618019.0,44.95
2021-07-15,45.39,44.37,44.59,33388140.0,45.0
2021-07-16,45.53,44.105,45.41,27838162.0,44.28
2021-07-19,43.3,42.29,42.71,43362218.0,43.05
2021-07-20,45.15,42.87,43.0,34556156.0,44.84
2021-07-21,46.145,45.21,45.29,29654627.0,45.8
2021-07-22,45.945,44.8,45.84,23309504.0,45.03
2021-07-23,45.51,44.42,45.1,23946475.0,44.59
2021-07-26,45.2381,44.47,44.47,22976698.0,45.01
2021-07-27,45.3799,44.27,44.59,22124508.0,45.14
2021-07-28,46.035,44.98,45.38,23252786.0,45.51
2021-07-29,46.71,45.68,45.89,24487386.0,46.5
2021-07-30,46.8529,45.725,46.26,25794022.0,45.94
2021-08-02,46.81,45.57,46.04,23960718.0,45.79
2021-08-03,46.935,45.11,45.98,24050332.0,46.83
2021-08-04,46.97,46.04,46.27,22177986.0,46.15
2021-08-05,47.0,46.01,46.05,28092591.0,46.99
2021-08-06,48.99,47.45,47.5,33583895.0,48.77
2021-08-09,49.34,48.29,48.66,29795184.0,48.65
2021-08-10,49.69,48.685,48.73,28708128.0,49.63
2021-08-11,50.73,49.17,49.63,29203916.0,50.66
2021-08-12,51.25,50.56,50.76,21737916.0,51.15
2021-08-13,51.41,50.175,51.21,15843274.0,50.37
2021-08-16,49.98,48.94,49.93,22618934.0,49.41
2021-08-17,49.3672,48.025,48.88,16887015.0,48.71
2021-08-18,48.975,47.9,48.36,16319283.0,47.97
2021-08-19,47.953,46.83,47.35,20259394.0,47.25
2021-08-20,47.445,46.84,47.13,15357369.0,47.42
2021-08-23,47.99,47.445,47.75,15551923.0,47.61
2021-08-24,48.37,47.7058,47.75,15109050.0,48.36
2021-08-25,49.62,48.47,48.62,21357377.0,49.29
2021-08-26,49.87,48.89,49.53,21627625.0,49.05
2021-08-27,49.85,49.12,49.22,16873293.0,49.81
2021-08-30,49.81,48.35,49.76,16054070.0,48.41
2021-08-31,48.99,45.21,48.41,73514276.0,45.7
2021-09-01,45.97,43.27,45.7,84960543.0,43.45
2021-09-02,44.875,43.54,43.68,37650009.0,44.57
2021-09-03,44.5,43.82,44.49,21715844.0,44.17
2021-09-07,44.96,44.25,44.32,19740337.0,44.31
2021-09-08,44.54,43.63,44.12,21252445.0,43.82
2021-09-09,44.715,43.76,43.85,19776855.0,44.36
2021-09-10,45.25,44.185,45.0,23367394.0,44.33
2021-09-13,45.81,44.555,44.555,28027245.0,45.76
2021-09-14,46.94,45.755,46.02,36053222.0,46.05
2021-09-15,46.89,45.85,45.87,31535647.0,46.64
2021-09-16,47.27,46.005,46.9,24102388.0,46.28
2021-09-17,46.685,45.74,45.74,35634049.0,46.47
2021-09-20,45.87,44.84,45.03,30603110.0,45.81
2021-09-21,46.355,45.7301,45.975,23049147.0,45.85
2021-09-22,47.685,46.47,46.49,29430711.0,47.08
2021-09-23,48.17,47.155,47.46,21852833.0,47.8
2021-09-24,48.57,47.73,47.78,20384668.0,47.92
2021-09-27,48.94,46.16,48.38,48927455.0,47.56
2021-09-28,47.03,45.065,47.01,49349105.0,45.92
2021-09-29,47.15,45.93,46.45,21730185.0,47.03
2021-09-30,47.15,46.12,47.14,22947456.0,46.41
2021-10-01,47.31,46.49,46.55,18021686.0,47.02
2021-10-04,47.69,46.67,47.02,22315163.0,47.02
2021-10-05,48.45,47.35,47.5,20250450.0,47.96
2021-10-06,48.085,47.06,47.58,17425672.0,47.87
2021-10-07,48.59,47.54,48.26,19272290.0,47.76
