title,docid,updated,publisheddate,relevancescore,resultnumber,jurisdiction,date,source,author,contenttype,status,contentcomponentid,vendorreportid,length,byline,wordcount,language,actualresultscount
"Regulatory update: Delaware Public Service Commission; CMI Solar & Electric , has issued ( 15-1715 ) In The Matter Of Application for Certification as EER under DE RPS - Carroll-DE-PV-Residence",urn:contentItem:5HSS-MHD1-J9XT-P4RS-00000-00,2016-01-05,"January 5, 2016 Tuesday",128,1,U.S. Federal; Delaware,2016-01-05,US Official News,,News,Available,400469,USOFFN2016,687 words,,687,English,10286
"Regulatory update: Delaware Public Service Commission; Verizon Delaware, LLC , has issued ( 15-1712 ) In The Matter Of The Interconnection Agreement Between Verizon Delaware LLC and Talk America Services, LLC",urn:contentItem:5HSS-MHD1-J9XT-P4RG-00000-00,2016-01-05,"January 5, 2016 Tuesday",128,2,U.S. Federal; Delaware; Pennsylvania,2016-01-05,US Official News,,News,Available,400469,USOFFN2016,293 words,,293,English,10286
"Regulatory update: Delaware Public Service Commission; Verizon Delaware, LLC , has issued ( 15-1712 ) Staff request for additional documentation",urn:contentItem:5HSS-MHD1-J9XT-P4RF-00000-00,2016-01-05,"January 5, 2016 Tuesday",127,3,U.S. Federal; Delaware; Pennsylvania,2016-01-05,US Official News,,News,Available,400469,USOFFN2016,338 words,,338,English,10286
"Regulatory update: Delaware Public Service Commission; CMI Solar & Electric , has issued ( 15-1695 ) In The Matter Of Application for Certification as an EER under DE RPS - Dhelia Solar",urn:contentItem:5HSS-MHD1-J9XT-P4PC-00000-00,2016-01-05,"January 5, 2016 Tuesday",127,4,U.S. Federal; Delaware,2016-01-05,US Official News,,News,Available,400469,USOFFN2016,681 words,,681,English,10286
Delaware : Apply Now for Urban and Community Forestry Grants,urn:contentItem:5HSV-S7P1-J9XT-P4P0-00000-00,2016-01-06,"January 6, 2016 Wednesday",127,5,U.S. Federal; Delaware,2016-01-06,US Official News,,News,Available,400469,USOFFN2016,659 words,,659,English,10286
"Regulatory update: Delaware Public Service Commission; CMI Solar & Electric , has issued ( 15-1715 ) Docket Filing Application",urn:contentItem:5HSS-MHD1-J9XT-P4RR-00000-00,2016-01-05,"January 5, 2016 Tuesday",127,6,U.S. Federal; Delaware,2016-01-05,US Official News,,News,Available,400469,USOFFN2016,267 words,,267,English,10286
"Regulatory update: Delaware Public Service Commission; CMI Solar & Electric , has issued ( 15-1694 ) In The Matter Of Application for Certification as an EER under the DE RPS - Aubren Farm",urn:contentItem:5HSS-MHD1-J9XT-P4P8-00000-00,2016-01-05,"January 5, 2016 Tuesday",127,7,U.S. Federal; Delaware,2016-01-05,US Official News,,News,Available,400469,USOFFN2016,683 words,,683,English,10286
"Regulatory update: Delaware Public Service Commission; CMI Solar & Electric , has issued ( 15-1714 ) In The Matter Of Application for Certification as an EER under DE RPS - Sunny Side Up",urn:contentItem:5HSS-MHD1-J9XT-P4RM-00000-00,2016-01-05,"January 5, 2016 Tuesday",126,8,U.S. Federal; Delaware,2016-01-05,US Official News,,News,Available,400469,USOFFN2016,682 words,,682,English,10286
"Delaware : Workshop to be held for Mill Creek Road, Stoney Batter Road",urn:contentItem:5HSK-1461-DXCW-D15S-00000-00,2016-01-04,"January 4, 2016 Monday",126,9,U.S. Federal; Delaware,2016-01-04,US Official News,,News,Available,400469,USOFFN2016,221 words,,221,English,10286
"Regulatory update: Delaware Public Service Commission; CMI Solar & Electric , has issued ( 15-1714 ) Docket Filing Application",urn:contentItem:5HSS-MHD1-J9XT-P4RN-00000-00,2016-01-05,"January 5, 2016 Tuesday",126,10,U.S. Federal; Delaware,2016-01-05,US Official News,,News,Available,400469,USOFFN2016,264 words,,264,English,10286
