title,docid,updated,publisheddate,relevancescore,resultnumber,jurisdiction,date,source,author,contenttype,status,contentcomponentid,vendorreportid,length,byline,wordcount,language,actualresultscount
Potential Union Pacific (UNP ) Trade Has 9.22% Downside Protection,urn:contentItem:5HT6-86X1-JDN4-T397-00000-00,2016-01-07,"January 7, 2016 Thursday",145,1,U.S. Federal,2016-01-07,Fresh Brewed Media,,News,Available,345147,FRBREW2016,308 words,,308,English,14
Union Pacific (UNP ) Showing Bearish Technicals,urn:contentItem:5HSJ-BNN1-JDN4-T1F4-00000-00,2016-01-04,"January 4, 2016 Monday",144,2,U.S. Federal,2016-01-04,Fresh Brewed Media,,News,Available,345147,FRBREW2016,266 words,,266,English,14
Union Pacific Co. (UNP) Stake Lowered by KBC Group,urn:contentItem:5HS0-Y521-JCMN-Y2FM-00000-00,2016-01-02,"January 2, 2016 Saturday",143,3,U.S. Federal; International,2016-01-02,Watchlist News,Mark Dietrich,News,Available,484299,AMCN-135127,1094 words,Mark Dietrich,1094,English,14
Union Pacific Co. (UNP) Position Reduced by Renaissance Investment Group,urn:contentItem:5HST-HYV1-F03R-N107-00000-00,2016-01-06,"January 6, 2016 Wednesday",142,4,U.S. Federal; International,2016-01-06,Watchlist News,Hanz Christensen,News,Available,484299,AMCN-135127,1212 words,Hanz Christensen,1212,English,14
Union Pacific Co. (UNP) PT Lowered to $100.00 at BMO Capital Markets,urn:contentItem:5HT2-YCB1-JCMN-Y1DP-00000-00,2016-01-07,"January 7, 2016 Thursday",141,5,U.S. Federal; International,2016-01-07,Watchlist News,Mark Dietrich,News,Available,484299,AMCN-135127,1156 words,Mark Dietrich,1156,English,14
Investors Sell Union Pacific Co. (UNP) on Strength After Analyst Downgrade,urn:contentItem:5HSJ-8TB1-F03R-N25N-00000-00,2016-01-05,"January 5, 2016 Tuesday",140,6,U.S. Federal; International,2016-01-05,Watchlist News,Nicole Kennedy,News,Available,484299,AMCN-135127,1179 words,Nicole Kennedy,1179,English,14
"Against Hirunika, Disciplinary action if proven guilty UNF",urn:contentItem:5HS1-7JY1-F11P-X20C-00000-00,2016-01-02,"January 2, 2016 Saturday",133,7,U.S. Federal; International,2016-01-02,American Banking and Market News,,News,Available,439934,LGMTWW2016,234 words,,234,English,14
Union Pacific (UNP ) Trading Near $75.14 Support Level,urn:contentItem:5HSS-9W41-F146-H1B9-00000-00,2016-01-05,"January 5, 2016 Tuesday",58,8,U.S. Federal,2016-01-05,Fresh Brewed Media,,News,Available,345147,FRBREW2016,170 words,,170,English,14
Union Pacific (UNP ) Showing Bearish Technicals,urn:contentItem:5HT0-9171-JDN4-T1V0-00000-00,2016-01-06,"January 6, 2016 Wednesday",58,9,U.S. Federal,2016-01-06,Fresh Brewed Media,,News,Available,345147,FRBREW2016,192 words,,192,English,14
Park National Sells 157 Shares of Union Pacific Co. ( UNP ),urn:contentItem:5HT1-H711-JCMN-Y207-00000-00,2016-01-07,"January 7, 2016 Thursday",56,10,U.S. Federal,2016-01-07,Ticker Report,Max Byerly,News,Available,484293,AMCN-126392,95 words,Max Byerly,95,English,14
