Date,news_pos_sentiment_count,news_sentiment_daily_avg,twitter_pos_sentiment_count
2021-01-01,11.0,0.0109,15
2021-01-04,3.0,-0.0008,6
2021-01-05,6.0,-0.0074,24
2021-01-06,48.0,0.0187,38
2021-01-07,26.0,0.0105,31
2021-01-08,36.0,0.012,21
2021-01-11,4.0,-0.0013,5
2021-01-12,11.0,0.0021,16
2021-01-13,15.0,0.0028,19
2021-01-14,23.0,0.0051,16
2021-01-15,19.0,0.0049,20
2021-01-18,1.0,-0.0288,1
2021-01-19,2.0,-0.0135,10
2021-01-20,28.0,0.0212,9
2021-01-21,14.0,0.0052,15
2021-01-22,34.0,0.0136,26
2021-01-25,22.0,-0.0294,26
2021-01-26,62.0,0.0284,69
2021-01-27,55.0,0.0219,44
2021-01-28,386.0,0.2762,360
2021-01-29,94.0,-0.0576,73
2021-02-01,5.0,-0.0783,12
2021-02-02,28.0,-0.0126,15
2021-02-03,25.0,0.0085,20
2021-02-04,27.0,0.0079,17
2021-02-05,16.0,-0.0085,17
2021-02-08,19.0,-0.0552,14
2021-02-09,4.0,-0.0007,21
2021-02-10,10.0,-0.0023,15
2021-02-11,3.0,-0.0038,7
2021-02-12,5.0,-0.0021,10
2021-02-15,5.0,0.001,5
2021-02-16,9.0,0.0018,3
2021-02-17,11.0,-0.0476,12
2021-02-18,11.0,-0.0271,9
2021-02-19,10.0,-0.0025,7
2021-02-22,6.0,-0.007,18
2021-02-23,37.0,-0.0344,47
2021-02-24,9.0,-0.0235,28
2021-02-25,6.0,-0.0037,12
2021-02-26,14.0,-0.0099,11
2021-03-01,7.0,0.0066,11
2021-03-02,25.0,0.0083,20
2021-03-03,7.0,-0.0074,18
2021-03-04,9.0,-0.1196,13
2021-03-05,16.0,-0.2386,21
2021-03-08,4.0,-0.0024,4
2021-03-09,8.0,-0.0264,13
2021-03-10,25.0,-0.0106,24
2021-03-11,13.0,-0.0075,18
2021-03-12,17.0,-0.0115,19
2021-03-15,6.0,-0.0111,6
2021-03-16,5.0,-0.0009,14
2021-03-17,23.0,-0.013,34
2021-03-18,8.0,-0.0076,20
2021-03-19,4.0,-0.0304,11
2021-03-22,1.0,-0.094,15
2021-03-23,5.0,-0.0587,14
2021-03-24,0.0,-0.0178,5
2021-03-25,6.0,-0.0033,13
2021-03-26,3.0,-0.0003,4
