Date,news_pos_sentiment_count,news_sentiment_daily_avg,twitter_pos_sentiment_count
2021-01-01,0.0,0.0,
2021-01-04,0.0,0.0,
2021-01-05,0.0,0.0,1.0
2021-01-06,2.0,0.0075,1.0
2021-01-07,5.0,0.103,6.0
2021-01-08,2.0,-0.5674,7.0
2021-01-11,1.0,0.0756,
2021-01-12,2.0,0.001,
2021-01-13,0.0,0.0,1.0
2021-01-14,1.0,-0.0332,
2021-01-15,0.0,0.0,1.0
2021-01-18,0.0,0.0,
2021-01-19,1.0,0.0007,10.0
2021-01-20,10.0,0.0431,12.0
2021-01-21,0.0,0.0,4.0
2021-01-22,1.0,0.0002,3.0
2021-01-25,0.0,0.0,2.0
2021-01-26,24.0,0.1301,34.0
2021-01-27,5.0,-0.6926,20.0
2021-01-28,7.0,0.0542,11.0
2021-01-29,8.0,0.0402,13.0
2021-02-01,0.0,0.0,3.0
2021-02-02,0.0,0.0,
2021-02-03,0.0,-0.0153,4.0
2021-02-04,0.0,0.0,
2021-02-05,1.0,0.0038,2.0
2021-02-08,0.0,0.0,2.0
2021-02-09,2.0,0.0243,2.0
2021-02-10,0.0,-0.3045,1.0
2021-02-11,0.0,0.0,
2021-02-12,1.0,0.0168,1.0
2021-02-15,0.0,-0.5861,
2021-02-16,2.0,-0.4121,
2021-02-17,0.0,-0.0949,
2021-02-18,0.0,-0.003,2.0
2021-02-19,0.0,-0.0031,1.0
2021-02-22,0.0,0.0,
2021-02-23,0.0,-0.0227,7.0
2021-02-24,1.0,0.0247,5.0
2021-02-25,0.0,-0.0987,6.0
2021-02-26,0.0,0.0,1.0
2021-03-01,0.0,0.0,2.0
2021-03-02,0.0,0.0,2.0
2021-03-03,1.0,0.0006,4.0
2021-03-04,0.0,0.0,9.0
2021-03-05,0.0,0.0,3.0
2021-03-08,0.0,-0.0894,3.0
2021-03-09,0.0,0.0,4.0
2021-03-10,2.0,-0.0023,4.0
2021-03-11,0.0,-0.0708,4.0
2021-03-12,2.0,0.035,4.0
2021-03-15,0.0,0.0,
2021-03-16,0.0,-0.0324,3.0
2021-03-17,0.0,-0.0272,2.0
2021-03-18,0.0,0.0,1.0
2021-03-19,0.0,0.0,1.0
2021-03-22,0.0,0.0,1.0
2021-03-23,0.0,0.0,
2021-03-24,1.0,0.0092,1.0
2021-03-25,0.0,-0.0132,4.0
2021-03-26,0.0,0.0,3.0
2021-03-29,0.0,0.0,2.0
2021-03-30,2.0,0.0154,1.0
2021-03-31,0.0,0.0,
2021-04-01,0.0,-0.0012,7.0
2021-04-02,2.0,0.0017,
2021-04-05,1.0,0.0221,3.0
2021-04-06,3.0,0.0521,2.0
2021-04-07,1.0,-0.0035,1.0
2021-04-08,3.0,-0.027,4.0
2021-04-09,0.0,0.0,2.0
2021-04-12,0.0,0.0,
2021-04-13,0.0,0.0,
2021-04-14,0.0,0.0,
2021-04-15,0.0,0.0,
2021-04-16,0.0,0.0,1.0
2021-04-19,1.0,0.006,3.0
2021-04-20,0.0,0.0,2.0
2021-04-21,3.0,0.0226,9.0
2021-04-22,2.0,0.053,2.0
2021-04-23,18.0,-0.1201,15.0
2021-04-26,4.0,0.0524,
2021-04-27,12.0,0.1201,12.0
2021-04-28,4.0,0.0601,12.0
2021-04-29,0.0,-0.0014,3.0
2021-04-30,0.0,0.0,4.0
2021-05-03,2.0,0.0533,3.0
2021-05-04,0.0,0.0,8.0
2021-05-05,0.0,-0.0003,2.0
2021-05-06,0.0,0.0,4.0
2021-05-07,0.0,0.0,5.0
2021-05-10,0.0,0.0,3.0
2021-05-11,0.0,0.0,2.0
2021-05-12,0.0,-0.0093,
2021-05-13,0.0,-0.0088,1.0
2021-05-14,0.0,0.0,
2021-05-17,0.0,0.0,1.0
2021-05-18,1.0,0.0106,2.0
2021-05-19,0.0,0.0,2.0
2021-05-20,0.0,-0.3455,
2021-05-21,0.0,-0.4534,2.0
2021-05-24,0.0,-0.0991,1.0
2021-05-25,0.0,-0.0083,1.0
2021-05-26,0.0,0.0,4.0
2021-05-27,0.0,0.0,2.0
2021-05-28,0.0,0.0,1.0
2021-05-31,0.0,0.0,1.0
2021-06-01,0.0,0.0,2.0
2021-06-02,0.0,-0.0018,7.0
2021-06-03,0.0,0.0,4.0
2021-06-04,4.0,0.0773,1.0
2021-06-07,2.0,0.0401,4.0
2021-06-08,0.0,0.0,6.0
2021-06-09,0.0,-0.0057,3.0
2021-06-10,1.0,-0.0018,5.0
2021-06-11,0.0,0.0,3.0
2021-06-14,0.0,0.0,
2021-06-15,0.0,0.0,3.0
2021-06-16,1.0,0.0003,5.0
2021-06-17,1.0,0.002,3.0
2021-06-18,0.0,-0.0322,2.0
2021-06-21,0.0,0.0,
2021-06-22,3.0,0.0111,3.0
2021-06-23,0.0,-0.0193,2.0
2021-06-24,0.0,0.0,1.0
2021-06-25,0.0,-0.0212,6.0
2021-06-28,0.0,0.0,1.0
2021-06-29,0.0,-0.0023,
2021-06-30,,,1.0
2021-07-01,0.0,0.0,4.0
2021-07-02,3.0,0.005,6.0
2021-07-05,0.0,0.0,
2021-07-06,10.0,0.3313,19.0
2021-07-07,18.0,0.2299,31.0
2021-07-08,2.0,0.0095,1.0
2021-07-09,3.0,0.0175,8.0
2021-07-12,3.0,0.0303,1.0
2021-07-13,4.0,0.0207,19.0
2021-07-14,0.0,0.0,1.0
2021-07-15,1.0,0.0018,3.0
2021-07-16,0.0,-0.0078,4.0
2021-07-19,1.0,0.0044,
2021-07-20,1.0,-0.0553,1.0
2021-07-21,2.0,0.0124,2.0
2021-07-22,2.0,0.0123,6.0
2021-07-23,36.0,0.1989,29.0
2021-07-26,5.0,0.1464,6.0
2021-07-27,15.0,0.1988,40.0
2021-07-28,2.0,0.0068,6.0
2021-07-29,2.0,0.0098,1.0
2021-07-30,7.0,0.1451,6.0
2021-08-02,0.0,0.0,
2021-08-03,2.0,0.1061,7.0
2021-08-04,1.0,-0.003,2.0
2021-08-05,2.0,0.0098,2.0
2021-08-06,1.0,0.013,6.0
2021-08-09,0.0,0.0,4.0
2021-08-10,0.0,-0.0056,4.0
2021-08-11,0.0,-0.0018,2.0
2021-08-12,0.0,-0.0026,5.0
2021-08-13,1.0,-0.0219,1.0
2021-08-16,0.0,0.0,
2021-08-17,0.0,0.0,4.0
2021-08-18,0.0,0.0,4.0
2021-08-19,0.0,-0.0919,1.0
2021-08-20,0.0,0.0,2.0
2021-08-23,0.0,0.0,3.0
2021-08-24,0.0,0.0,0.0
2021-08-25,0.0,0.0,3.0
2021-08-26,2.0,0.0084,8.0
2021-08-27,1.0,0.0466,5.0
2021-08-30,0.0,0.0,1.0
2021-08-31,1.0,-0.0106,1.0
2021-09-01,1.0,0.0055,1.0
2021-09-02,1.0,0.0047,1.0
2021-09-03,0.0,0.0,1.0
2021-09-06,0.0,0.0,0.0
2021-09-07,1.0,0.3395,1.0
2021-09-08,0.0,0.0,0.0
2021-09-09,0.0,0.0,0.0
2021-09-10,3.0,0.0085,11.0
2021-09-13,0.0,0.0,1.0
2021-09-14,2.0,0.0232,4.0
2021-09-15,3.0,0.0097,8.0
2021-09-16,3.0,0.0091,7.0
2021-09-17,7.0,0.1773,12.0
2021-09-20,0.0,-0.2821,0.0
2021-09-21,1.0,-0.0083,3.0
2021-09-22,16.0,0.6968,5.0
2021-09-23,3.0,0.0046,10.0
2021-09-24,7.0,0.2051,9.0
2021-09-27,0.0,0.0,1.0
2021-09-28,1.0,-0.0168,2.0
2021-09-29,0.0,-0.02,2.0
2021-09-30,0.0,-0.0311,3.0
2021-10-01,0.0,-0.0989,2.0
2021-10-04,1.0,0.0566,0.0
2021-10-05,1.0,-0.148,5.0
2021-10-06,1.0,-0.018,6.0
2021-10-07,1.0,-0.0189,2.0
2021-10-08,3.0,0.0111,3.0
2021-10-11,0.0,0.0,6.0
2021-10-12,1.0,-0.0237,3.0
2021-10-13,0.0,-0.0714,9.0
2021-10-14,3.0,-0.363,14.0
2021-10-15,4.0,0.0159,5.0
2021-10-18,1.0,0.012,2.0
2021-10-19,2.0,0.0053,3.0
2021-10-20,4.0,0.1673,6.0
2021-10-21,4.0,0.0122,12.0
2021-10-22,37.0,0.2151,44.0
2021-10-25,15.0,0.7821,8.0
2021-10-26,11.0,0.0458,18.0
2021-10-27,2.0,-0.0738,4.0
2021-10-28,1.0,-0.1477,1.0
2021-10-29,6.0,0.0191,1.0
2021-11-01,0.0,0.0,0.0
2021-11-02,4.0,0.0394,1.0
2021-11-03,1.0,-0.0135,4.0
2021-11-04,0.0,-0.0435,2.0
2021-11-05,0.0,-0.02,3.0
2021-11-08,0.0,0.0,2.0
2021-11-09,8.0,0.3185,4.0
2021-11-10,0.0,-0.0801,3.0
2021-11-11,3.0,0.0431,4.0
2021-11-12,0.0,-0.0339,1.0
2021-11-15,0.0,0.0,0.0
2021-11-16,3.0,0.0083,3.0
2021-11-17,1.0,-0.0154,4.0
2021-11-18,0.0,-0.0195,2.0
2021-11-19,1.0,-0.0307,3.0
2021-11-22,0.0,0.0,2.0
2021-11-23,1.0,-0.3392,2.0
2021-11-24,0.0,-0.0215,2.0
2021-11-25,3.0,0.0294,0.0
2021-11-26,0.0,0.0,2.0
2021-11-29,1.0,0.01,10.0
2021-11-30,2.0,-0.3212,5.0
2021-12-01,4.0,-0.1412,5.0
2021-12-02,4.0,0.0124,6.0
2021-12-03,17.0,0.092,7.0
2021-12-06,0.0,0.0,2.0
2021-12-07,9.0,0.1732,8.0
2021-12-08,7.0,0.0241,9.0
2021-12-09,5.0,0.018,9.0
2021-12-10,1.0,-0.0174,2.0
2021-12-13,0.0,0.0,0.0
2021-12-14,1.0,-0.109,3.0
2021-12-15,1.0,-0.1059,1.0
2021-12-16,0.0,-0.0271,1.0
2021-12-17,2.0,0.0186,3.0
2021-12-20,0.0,-0.1693,0.0
2021-12-21,0.0,-0.2847,1.0
2021-12-22,4.0,0.0342,2.0
2021-12-23,3.0,0.0633,3.0
2021-12-24,2.0,0.0721,0.0
2021-12-27,0.0,0.0,1.0
2021-12-28,2.0,0.1685,2.0
2021-12-29,3.0,0.1286,0.0
2021-12-30,2.0,-0.0776,0.0
2021-12-31,4.0,0.3242,0.0
2022-01-03,0.0,,1.0
2022-01-04,3.0,0.0551,4.0
2022-01-05,5.0,0.0215,7.0
2022-01-06,0.0,-0.0476,3.0
2022-01-07,0.0,-0.0787,5.0
2022-01-10,0.0,0.0,2.0
2022-01-11,1.0,-0.0806,5.0
2022-01-12,3.0,0.0719,2.0
2022-01-13,1.0,-0.0494,0.0
2022-01-14,1.0,-0.0776,0.0
2022-01-17,1.0,0.007,3.0
2022-01-18,0.0,0.0,3.0
2022-01-19,0.0,-0.0043,4.0
2022-01-20,1.0,-0.0088,4.0
2022-01-21,2.0,-0.0033,3.0
2022-01-24,0.0,0.0,0.0
2022-01-25,32.0,0.1226,33.0
2022-01-26,87.0,0.5765,90.0
2022-01-27,15.0,0.1558,32.0
2022-01-28,4.0,0.0119,10.0
2022-01-31,3.0,0.4436,2.0
2022-02-01,5.0,0.1582,5.0
2022-02-02,6.0,0.029,11.0
2022-02-03,5.0,0.0538,3.0
2022-02-04,2.0,-0.0043,4.0
2022-02-07,1.0,0.1592,3.0
2022-02-08,2.0,0.0048,4.0
2022-02-09,16.0,0.061,16.0
2022-02-10,5.0,0.026,10.0
2022-02-11,2.0,-0.0239,18.0
2022-02-14,0.0,,3.0
2022-02-15,2.0,0.008,0.0
2022-02-16,5.0,0.0234,12.0
2022-02-17,4.0,0.0782,3.0
2022-02-18,0.0,-0.0212,8.0
2022-02-21,1.0,0.0227,1.0
2022-02-22,1.0,0.0103,1.0
2022-02-23,0.0,-0.0949,2.0
2022-02-24,3.0,-0.0501,2.0
2022-02-25,0.0,-0.0697,2.0
2022-02-28,2.0,0.1175,1.0
2022-03-01,0.0,-0.0134,3.0
2022-03-02,0.0,-0.1188,4.0
2022-03-03,2.0,0.0033,2.0
2022-03-04,0.0,-0.0635,2.0
2022-03-07,0.0,0.0,3.0
2022-03-08,2.0,-0.1622,11.0
2022-03-09,3.0,0.0094,2.0
2022-03-10,14.0,0.1101,7.0
2022-03-11,3.0,-0.0093,22.0
2022-03-14,0.0,0.0,1.0
2022-03-15,15.0,0.4361,6.0
2022-03-16,6.0,0.0353,3.0
2022-03-17,6.0,0.0195,4.0
2022-03-18,15.0,0.4401,7.0
2022-03-21,2.0,0.1001,0.0
2022-03-22,0.0,-0.0136,2.0
2022-03-23,5.0,0.0455,5.0
2022-03-24,2.0,-0.0718,2.0
2022-03-25,3.0,0.0758,3.0
2022-03-28,1.0,0.6321,2.0
2022-03-29,2.0,-0.077,7.0
2022-03-30,5.0,0.1507,2.0
2022-03-31,1.0,-0.1009,3.0
2022-04-01,1.0,-0.0267,7.0
2022-04-04,1.0,0.0844,0.0
2022-04-05,3.0,0.1578,1.0
2022-04-06,1.0,-0.1165,2.0
2022-04-07,0.0,-0.0325,2.0
2022-04-08,1.0,-0.0175,10.0
2022-04-11,0.0,-0.0143,3.0
2022-04-12,0.0,-0.6868,6.0
2022-04-13,0.0,-0.0128,1.0
2022-04-14,4.0,0.0117,4.0
2022-04-15,1.0,-0.0163,0.0
2022-04-18,1.0,-0.0116,2.0
2022-04-19,4.0,0.0189,3.0
2022-04-20,3.0,0.047,2.0
2022-04-21,5.0,0.0801,3.0
2022-04-22,35.0,0.2087,41.0
2022-04-25,1.0,0.0337,3.0
2022-04-26,6.0,0.1816,7.0
2022-04-27,1.0,-0.0114,5.0
2022-04-28,2.0,-0.202,7.0
2022-04-29,7.0,0.0292,4.0
2022-05-02,0.0,0.0,0.0
2022-05-03,1.0,-0.3428,4.0
2022-05-04,1.0,-0.0416,5.0
2022-05-05,5.0,0.0278,1.0
2022-05-06,1.0,-0.0641,3.0
2022-05-09,0.0,0.0,0.0
2022-05-10,2.0,-0.0209,8.0
2022-05-11,2.0,0.0066,1.0
2022-05-12,0.0,-0.013,0.0
2022-05-13,0.0,-0.3251,2.0
2022-05-16,0.0,0.0,1.0
2022-05-17,0.0,-0.301,4.0
2022-05-18,8.0,0.0497,6.0
2022-05-19,0.0,-0.1233,2.0
2022-05-20,0.0,-0.0378,2.0
2022-05-23,0.0,0.0,0.0
2022-05-24,7.0,0.1034,12.0
2022-05-25,0.0,-0.0669,0.0
2022-05-26,11.0,0.3175,3.0
2022-05-27,3.0,0.0179,1.0
2022-05-30,0.0,0.0,3.0
2022-05-31,1.0,0.0068,1.0
2022-06-01,1.0,-0.0632,0.0
2022-06-02,0.0,-0.131,0.0
2022-06-03,3.0,0.0152,3.0
2022-06-06,1.0,0.0086,4.0
2022-06-07,5.0,0.0561,0.0
2022-06-08,3.0,0.0196,2.0
2022-06-09,0.0,-0.0986,1.0
2022-06-10,0.0,-0.3264,4.0
2022-06-13,0.0,-0.006,1.0
2022-06-14,0.0,-0.0244,3.0
2022-06-15,0.0,-0.0346,6.0
2022-06-16,3.0,0.0199,1.0
2022-06-17,1.0,-0.2906,8.0
2022-06-20,0.0,0.0,1.0
2022-06-21,0.0,-0.1827,3.0
2022-06-22,3.0,0.0137,0.0
2022-06-23,0.0,-0.0536,2.0
2022-06-24,1.0,-0.0157,1.0
2022-06-27,1.0,0.0111,3.0
2022-06-28,0.0,-0.1176,0.0
2022-06-29,1.0,-0.0791,3.0
2022-06-30,0.0,-0.2887,2.0
2022-07-01,0.0,-0.0786,1.0
2022-07-04,0.0,,0.0
2022-07-05,0.0,0.0,1.0
2022-07-06,0.0,-0.1929,1.0
2022-07-07,1.0,-0.0599,1.0
2022-07-08,3.0,0.0228,1.0
2022-07-11,0.0,0.0,1.0
2022-07-12,0.0,-0.2614,1.0
2022-07-13,3.0,-0.1972,4.0
2022-07-14,3.0,0.0267,4.0
2022-07-15,1.0,-0.023,3.0
2022-07-18,1.0,0.0062,0.0
2022-07-19,0.0,0.0,1.0
2022-07-20,0.0,0.0,6.0
2022-07-21,2.0,0.0356,0.0
2022-07-22,35.0,0.1737,51.0
2022-07-25,5.0,0.1552,11.0
2022-07-26,11.0,0.0995,22.0
2022-07-27,6.0,0.0383,5.0
2022-07-28,4.0,0.0572,4.0
2022-07-29,5.0,0.0319,4.0
2022-08-01,0.0,0.0,3.0
2022-08-02,1.0,-0.0861,1.0
2022-08-03,0.0,-0.0152,3.0
2022-08-04,3.0,0.0154,2.0
2022-08-05,2.0,0.0286,2.0
2022-08-08,0.0,-0.4534,1.0
2022-08-09,0.0,-0.0818,5.0
2022-08-10,0.0,-0.0565,1.0
2022-08-11,4.0,0.0321,7.0
2022-08-12,1.0,-0.0354,4.0
2022-08-15,0.0,0.0,0.0
2022-08-16,0.0,-0.0128,2.0
2022-08-17,1.0,-0.0136,1.0
2022-08-18,1.0,-0.1581,0.0
2022-08-19,3.0,0.4757,1.0
2022-08-22,0.0,0.0,0.0
2022-08-23,0.0,-0.6046,1.0
2022-08-24,0.0,-0.1223,1.0
2022-08-25,2.0,-0.0027,14.0
2022-08-26,3.0,0.0735,2.0
2022-08-29,0.0,0.0,0.0
2022-08-30,0.0,-0.0495,0.0
2022-08-31,0.0,-0.0218,2.0
2022-09-01,0.0,-0.2449,0.0
2022-09-02,0.0,-0.1387,1.0
2022-09-05,0.0,0.0,1.0
2022-09-06,1.0,0.0075,0.0
2022-09-07,0.0,-0.4011,1.0
2022-09-08,3.0,0.0735,1.0
2022-09-09,3.0,0.0712,1.0
2022-09-12,0.0,0.0,2.0
2022-09-13,3.0,0.0034,10.0
2022-09-14,0.0,-0.1181,3.0
2022-09-15,2.0,0.0648,1.0
2022-09-16,0.0,-0.0335,0.0
2022-09-19,0.0,0.0,3.0
2022-09-20,1.0,-0.0043,1.0
2022-09-21,0.0,-0.0113,1.0
2022-09-22,0.0,-0.0371,4.0
2022-09-23,0.0,-0.3716,4.0
2022-09-26,0.0,-0.0206,0.0
2022-09-27,0.0,-0.0957,1.0
2022-09-28,0.0,-0.0719,3.0
2022-09-29,3.0,0.0215,3.0
2022-09-30,0.0,-0.0936,4.0
2022-10-03,0.0,0.0,0.0
2022-10-04,3.0,0.0176,0.0
2022-10-05,4.0,0.0675,1.0
2022-10-06,2.0,-0.0213,0.0
2022-10-07,0.0,-0.016,1.0
2022-10-10,0.0,0.0,1.0
2022-10-11,0.0,-0.0795,1.0
2022-10-12,0.0,-0.0343,0.0
2022-10-13,0.0,-0.0555,2.0
2022-10-14,4.0,-0.0934,2.0
2022-10-17,1.0,-0.011,0.0
2022-10-18,8.0,0.075,3.0
2022-10-19,11.0,0.1304,4.0
2022-10-20,0.0,-0.0401,0.0
2022-10-21,30.0,0.1035,51.0
2022-10-24,0.0,0.0,2.0
2022-10-25,9.0,0.1574,5.0
2022-10-26,15.0,0.4702,2.0
2022-10-27,1.0,-0.1006,1.0
2022-10-28,3.0,0.0188,2.0
2022-10-31,1.0,-0.007,1.0
2022-11-01,0.0,-0.0202,1.0
2022-11-02,0.0,-0.018,1.0
2022-11-03,0.0,-0.0584,0.0
2022-11-04,1.0,-0.0212,0.0
2022-11-07,0.0,0.0,0.0
2022-11-08,3.0,0.0162,0.0
2022-11-09,5.0,0.0444,2.0
2022-11-10,0.0,-0.0367,0.0
2022-11-11,5.0,0.0391,8.0
2022-11-14,0.0,0.0,0.0
2022-11-15,0.0,-0.0122,3.0
2022-11-16,1.0,-0.012,2.0
2022-11-17,0.0,-0.0342,1.0
2022-11-18,2.0,-0.0697,0.0
2022-11-21,0.0,0.0,0.0
2022-11-22,0.0,-0.0214,1.0
2022-11-23,3.0,0.139,0.0
2022-11-24,0.0,-0.1005,0.0
2022-11-25,0.0,0.0,0.0
2022-11-28,0.0,0.0,1.0
2022-11-29,0.0,-0.0439,1.0
2022-11-30,2.0,0.0224,1.0
2022-12-01,1.0,0.0061,0.0
2022-12-02,0.0,-0.0018,1.0
2022-12-05,0.0,0.0,0.0
2022-12-06,0.0,-0.2016,0.0
2022-12-07,0.0,-0.0215,3.0
2022-12-08,3.0,0.0074,0.0
2022-12-09,0.0,-0.0177,0.0
2022-12-12,0.0,0.0,1.0
2022-12-13,3.0,0.02,2.0
2022-12-14,1.0,0.0033,0.0
2022-12-15,0.0,-0.0578,0.0
2022-12-16,1.0,-0.1674,1.0
2022-12-19,0.0,0.0,1.0
2022-12-20,0.0,-0.017,0.0
2022-12-21,1.0,0.0348,2.0
2022-12-22,2.0,0.115,0.0
2022-12-23,0.0,-0.0262,0.0
2022-12-26,0.0,,0.0
2022-12-27,0.0,0.0,1.0
2022-12-28,0.0,-0.0686,0.0
2022-12-29,0.0,-0.4223,0.0
2022-12-30,1.0,0.1946,0.0
2023-01-02,0.0,,0.0
2023-01-03,0.0,0.0,1.0
2023-01-04,0.0,-0.0055,0.0
2023-01-05,1.0,0.0281,0.0
2023-01-06,0.0,-0.0447,1.0
2023-01-09,0.0,,0.0
2023-01-10,0.0,-0.0093,0.0
2023-01-11,1.0,0.036,0.0
2023-01-12,1.0,0.0188,1.0
2023-01-13,3.0,0.0117,0.0
2023-01-16,1.0,0.0095,1.0
2023-01-17,0.0,0.0,0.0
2023-01-18,0.0,-0.0002,2.0
2023-01-19,0.0,-0.0009,0.0
2023-01-20,1.0,-0.1006,3.0
2023-01-23,0.0,0.0,14.0
