Date,news_sentiment_daily_avg,news_pos_sentiment_count,twitter_pos_sentiment_count
2021-01-01,0.4471,7.0,19.0
2021-01-04,0.336,6.0,1.0
2021-01-05,0.0191,3.0,5.0
2021-01-06,0.0669,6.0,15.0
2021-01-07,0.2433,15.0,18.0
2021-01-08,0.0998,9.0,10.0
2021-01-11,-0.0244,0.0,16.0
2021-01-12,0.0413,9.0,44.0
2021-01-13,0.0544,7.0,14.0
2021-01-14,0.0149,3.0,10.0
2021-01-15,0.042,7.0,10.0
2021-01-18,0.0181,1.0,2.0
2021-01-19,-0.3467,44.0,37.0
2021-01-20,-0.626,24.0,30.0
2021-01-21,0.2589,20.0,18.0
2021-01-22,0.1307,10.0,13.0
2021-01-25,-0.0834,2.0,7.0
2021-01-26,-0.0156,1.0,8.0
2021-01-27,-0.0415,3.0,19.0
2021-01-28,0.0387,6.0,13.0
2021-01-29,0.0484,7.0,17.0
2021-02-01,0.2738,6.0,3.0
2021-02-02,0.0791,9.0,11.0
2021-02-03,0.0121,2.0,10.0
2021-02-04,-0.0113,1.0,11.0
2021-02-05,-0.283,7.0,18.0
2021-02-08,-0.1566,0.0,2.0
2021-02-09,-0.0496,3.0,8.0
2021-02-10,-0.0559,3.0,5.0
2021-02-11,-0.0112,1.0,11.0
2021-02-12,0.0012,2.0,24.0
2021-02-15,-0.2303,1.0,
2021-02-16,-0.0513,4.0,5.0
2021-02-17,0.0029,3.0,12.0
2021-02-18,-0.0167,2.0,7.0
2021-02-19,0.0202,7.0,11.0
2021-02-22,0.003,1.0,1.0
2021-02-23,0.0266,6.0,18.0
2021-02-24,0.017,4.0,16.0
2021-02-25,0.0469,10.0,16.0
2021-02-26,-0.0057,4.0,25.0
2021-03-01,0.0095,1.0,11.0
2021-03-02,0.0493,7.0,11.0
2021-03-03,0.0281,5.0,13.0
2021-03-04,-0.0005,1.0,10.0
2021-03-05,-0.1607,1.0,9.0
2021-03-08,0.0066,1.0,2.0
2021-03-09,0.0402,10.0,14.0
2021-03-10,-0.042,2.0,14.0
2021-03-11,0.0006,1.0,8.0
2021-03-12,0.0006,1.0,12.0
2021-03-15,0.0135,1.0,3.0
2021-03-16,-0.0006,0.0,21.0
2021-03-17,0.0079,4.0,6.0
2021-03-18,0.0,0.0,8.0
2021-03-19,0.0324,9.0,21.0
2021-03-22,0.0341,2.0,9.0
2021-03-23,0.0076,3.0,6.0
2021-03-24,-0.0063,0.0,8.0
2021-03-25,-0.0027,2.0,10.0
2021-03-26,0.0014,2.0,6.0
2021-03-29,0.0461,3.0,6.0
2021-03-30,-0.009,3.0,2.0
2021-03-31,0.008,5.0,12.0
2021-04-01,0.0412,7.0,15.0
2021-04-02,0.002,1.0,9.0
2021-04-05,0.003,1.0,5.0
2021-04-06,-0.0004,1.0,9.0
2021-04-07,0.006,3.0,10.0
2021-04-08,-0.0061,1.0,11.0
2021-04-09,0.0005,2.0,23.0
2021-04-12,0.0733,4.0,9.0
2021-04-13,-0.003,2.0,15.0
2021-04-14,-0.0063,0.0,7.0
2021-04-15,0.2909,72.0,69.0
2021-04-16,0.2402,43.0,63.0
2021-04-19,0.0,0.0,4.0
2021-04-20,0.0024,3.0,19.0
2021-04-21,0.0094,7.0,11.0
2021-04-22,-0.0098,4.0,13.0
2021-04-23,-0.0041,1.0,6.0
2021-04-26,0.0062,1.0,1.0
2021-04-27,0.0077,4.0,12.0
2021-04-28,-0.0625,4.0,6.0
2021-04-29,-0.0071,1.0,7.0
2021-04-30,0.0156,3.0,10.0
2021-05-03,0.0038,1.0,9.0
2021-05-04,0.0038,4.0,17.0
2021-05-05,-0.0235,4.0,9.0
2021-05-06,0.003,2.0,5.0
2021-05-07,0.0117,4.0,12.0
2021-05-10,0.0,0.0,4.0
2021-05-11,-0.014,0.0,3.0
2021-05-12,-0.0034,0.0,5.0
2021-05-13,0.0416,8.0,10.0
2021-05-14,0.0056,3.0,1.0
2021-05-17,-0.0045,0.0,5.0
2021-05-18,0.007,7.0,8.0
2021-05-19,-0.0003,0.0,82.0
2021-05-20,0.0041,4.0,19.0
2021-05-21,-0.0051,3.0,14.0
2021-05-24,-0.1207,0.0,7.0
2021-05-25,0.0025,3.0,10.0
2021-05-26,-0.0292,2.0,6.0
2021-05-27,0.0037,2.0,8.0
2021-05-28,0.0107,4.0,14.0
2021-05-31,0.0052,1.0,4.0
2021-06-01,0.0027,1.0,
2021-06-02,-0.079,7.0,1.0
2021-06-03,-0.0242,2.0,2.0
2021-06-04,0.0263,8.0,18.0
2021-06-07,-0.0085,0.0,3.0
2021-06-08,-0.0005,0.0,5.0
2021-06-09,0.0184,5.0,3.0
2021-06-10,0.005,4.0,7.0
2021-06-11,-0.0035,2.0,9.0
2021-06-14,0.0047,1.0,3.0
