Date,news_sentiment_daily_avg,twitter_pos_sentiment_count,news_pos_sentiment_count
2021-01-01,0.338,6,4.0
2021-01-04,0.0,3,0.0
2021-01-05,-0.0033,5,1.0
2021-01-06,0.0015,15,1.0
2021-01-07,-0.1397,17,0.0
2021-01-08,-0.2462,9,1.0
2021-01-11,0.0,4,0.0
2021-01-12,0.0467,18,6.0
2021-01-13,-0.0454,8,0.0
2021-01-14,0.3921,66,56.0
2021-01-15,0.369,74,39.0
2021-01-18,0.0283,9,1.0
2021-01-19,0.0,6,0.0
2021-01-20,0.0053,16,1.0
2021-01-21,0.0,16,0.0
2021-01-22,0.0447,21,10.0
2021-01-25,0.1916,7,3.0
2021-01-26,0.0072,12,3.0
2021-01-27,0.0,38,0.0
2021-01-28,0.0004,24,1.0
2021-01-29,-0.0051,34,0.0
2021-02-01,0.0,36,0.0
2021-02-02,0.0076,40,4.0
2021-02-03,-0.0247,206,3.0
2021-02-04,0.0182,78,1.0
2021-02-05,0.0616,46,5.0
2021-02-08,0.0,53,0.0
2021-02-09,0.0035,72,2.0
2021-02-10,0.0473,37,5.0
2021-02-11,0.0,48,0.0
2021-02-12,0.0,37,0.0
2021-02-15,0.0336,3,1.0
2021-02-16,0.0,13,0.0
2021-02-17,0.0069,18,2.0
2021-02-18,0.0,12,0.0
2021-02-19,0.0,15,0.0
2021-02-22,0.0074,17,1.0
2021-02-23,0.0005,20,1.0
2021-02-24,0.0,10,0.0
2021-02-25,0.0,16,0.0
2021-02-26,0.0,14,0.0
2021-03-01,0.0,4,0.0
2021-03-02,0.0,15,0.0
2021-03-03,0.0,8,0.0
2021-03-04,0.0,13,0.0
2021-03-05,-0.0021,5,0.0
2021-03-08,0.0058,3,1.0
2021-03-09,0.0,8,0.0
2021-03-10,-0.0015,10,0.0
2021-03-11,-0.021,7,1.0
2021-03-12,0.0048,9,1.0
2021-03-15,0.0,6,0.0
2021-03-16,0.079,2,2.0
2021-03-17,0.0,4,0.0
2021-03-18,0.002,19,1.0
2021-03-19,0.0,8,0.0
2021-03-22,0.0,4,0.0
2021-03-23,-0.0011,5,0.0
2021-03-24,-0.0081,6,0.0
2021-03-25,0.0008,10,2.0
2021-03-26,-0.007,6,0.0
2021-03-29,0.0021,6,1.0
2021-03-30,0.0,13,0.0
2021-03-31,0.0,12,0.0
2021-04-01,0.0,18,0.0
2021-04-02,0.007,24,2.0
2021-04-05,0.0,4,0.0
2021-04-06,0.0,6,0.0
2021-04-07,0.0037,12,1.0
2021-04-08,-0.0004,42,1.0
2021-04-09,0.006,34,3.0
2021-04-12,-0.0061,15,0.0
2021-04-13,0.0,34,0.0
2021-04-14,0.0,30,0.0
2021-04-15,0.1776,73,29.0
2021-04-16,0.1621,58,26.0
2021-04-19,0.0,5,0.0
2021-04-20,0.0,14,0.0
2021-04-21,0.0,13,0.0
2021-04-22,0.0,15,0.0
2021-04-23,0.0,24,0.0
2021-04-26,0.1433,4,1.0
2021-04-27,0.0,11,0.0
2021-04-28,0.0,3,0.0
2021-04-29,0.0,9,0.0
2021-04-30,0.0,4,0.0
2021-05-03,0.0395,9,1.0
2021-05-04,0.004,7,1.0
2021-05-05,0.0,11,0.0
