Date,M_close_price,M_news_pos_sentiment_count,M_news_sentiment_daily_avg,M_twitter_pos_sentiment_count,NT_close_price,NT_news_pos_sentiment_count,NT_news_sentiment_daily_avg,NT_twitter_pos_sentiment_count,F_news_sentiment_daily_avg,F_twitter_pos_sentiment_count,F_news_pos_sentiment_count,F_close_price,A_close_price,A_news_sentiment_daily_avg,A_news_pos_sentiment_count,A_twitter_pos_sentiment_count,news_sentiment_daily_avg,news_pos_sentiment_count,twitter_pos_sentiment_count
2021-01-01,,0.0,0.0,20.0,,1.0,-0.0038,18,0.0,1.0,0.0,,,0.4471,7.0,19.0,0.6321,1.0,1.0
2021-01-04,220.31,0.0,0.0,4.0,49.67,3.0,0.0875,15,0.1886,,1.0,29.7,30.03,0.336,6.0,1.0,0.0,0.0,1.0
2021-01-05,221.52,1.0,0.013,42.0,50.61,4.0,-0.0315,16,-0.0932,4.0,3.0,30.53,30.26,0.0191,3.0,5.0,-0.2164,0.0,6.0
2021-01-06,216.15,0.0,0.0,44.0,51.1,2.0,-0.0082,12,-0.1815,8.0,2.0,32.69,32.15,0.0669,6.0,15.0,-0.0175,0.0,10.0
2021-01-07,217.98,0.0,0.0,30.0,52.19,0.0,0.0,12,-0.0997,9.0,7.0,33.43,32.86,0.2433,15.0,18.0,0.0893,8.0,13.0
2021-01-08,222.04,0.0,0.0,16.0,51.65,0.0,-0.0012,11,-0.0065,8.0,1.0,33.19,32.53,0.0998,9.0,10.0,0.543,4.0,9.0
2021-01-11,218.25,1.0,0.1873,8.0,51.54,1.0,-0.0014,3,-0.1822,1.0,1.0,33.24,33.07,-0.0244,0.0,16.0,-0.0029,0.0,2.0
2021-01-12,215.52,2.0,-0.0959,25.0,53.24,6.0,0.0006,12,-0.242,9.0,0.0,33.94,33.66,0.0413,9.0,44.0,-0.0062,1.0,18.0
2021-01-13,218.18,4.0,0.2056,44.0,56.95,4.0,0.0008,34,-0.2002,10.0,7.0,33.8,33.46,0.0544,7.0,14.0,0.0042,1.0,17.0
2021-01-14,215.6,1.0,0.0071,31.0,59.25,90.0,0.0634,205,-0.3788,9.0,0.0,34.75,33.99,0.0149,3.0,10.0,-0.0037,1.0,19.0
2021-01-15,213.14,0.0,-0.0245,27.0,57.58,29.0,0.0842,63,-0.1525,30.0,12.0,32.04,33.01,0.042,7.0,10.0,0.112,17.0,31.0
2021-01-18,,1.0,0.4036,6.0,,6.0,0.0039,9,-0.6321,1.0,0.0,,,0.0181,1.0,2.0,0.0,0.0,1.0
2021-01-19,216.76,0.0,0.0,17.0,57.99,6.0,0.0088,12,-0.8368,2.0,1.0,32.63,32.77,-0.3467,44.0,37.0,-0.0284,1.0,4.0
2021-01-20,223.44,0.0,0.0,38.0,58.67,11.0,0.019,16,-0.1189,10.0,3.0,32.46,32.34,-0.626,24.0,30.0,-0.1466,1.0,6.0
2021-01-21,222.17,1.0,0.0562,46.0,62.46,8.0,0.0169,39,-0.0192,2.0,0.0,32.0,31.77,0.2589,20.0,18.0,-0.3501,2.0,8.0
2021-01-22,225.77,2.0,0.0421,31.0,56.66,118.0,0.2766,465,-0.0756,3.0,0.0,31.9,31.55,0.1307,10.0,13.0,-0.0378,3.0,4.0
2021-01-25,225.92,1.0,0.0474,15.0,55.44,1.0,-0.1548,24,0.6448,2.0,2.0,32.24,31.16,-0.0834,2.0,7.0,-0.0514,0.0,6.0
2021-01-26,226.26,1.0,0.0031,24.0,55.21,1.0,-0.0327,35,-0.0304,3.0,0.0,31.38,30.94,-0.0156,1.0,8.0,0.0023,1.0,1.0
2021-01-27,224.78,3.0,0.0112,27.0,53.59,4.0,0.0013,51,-0.0004,3.0,0.0,30.17,29.83,-0.0415,3.0,19.0,-0.0282,0.0,3.0
2021-01-28,226.5,0.0,0.0,11.0,56.065,3.0,-0.0143,20,-0.012,,1.0,30.81,30.32,0.0387,6.0,13.0,0.0,0.0,3.0
2021-01-29,225.56,2.0,0.0515,21.0,55.51,5.0,0.0258,23,-0.0485,4.0,0.0,29.88,29.65,0.0484,7.0,17.0,-0.0917,1.0,4.0
2021-02-01,228.46,0.0,0.0,8.0,56.69,0.0,-0.0892,10,-0.9559,1.0,0.0,29.99,29.96,0.2738,6.0,3.0,0.0,0.0,3.0
2021-02-02,234.2,0.0,0.0,28.0,58.0,6.0,-0.055,14,-0.0474,,1.0,30.75,31.03,0.0791,9.0,11.0,0.0166,1.0,2.0
2021-02-03,234.82,1.0,0.0084,36.0,57.68,4.0,0.0134,11,-0.0729,3.0,0.0,31.7,31.58,0.0121,2.0,10.0,0.0031,1.0,3.0
2021-02-04,237.98,0.0,0.0,25.0,58.79,5.0,-0.0325,19,-0.0056,3.0,0.0,32.66,32.5,-0.0113,1.0,11.0,-0.1347,0.0,8.0
2021-02-05,238.89,0.0,0.0,30.0,58.18,3.0,0.0071,14,-0.036,,0.0,32.56,32.37,-0.283,7.0,18.0,0.0,0.0,1.0
2021-02-08,238.93,1.0,0.3871,,59.16,0.0,-0.0082,6,0.0,1.0,0.0,33.4,33.09,-0.1566,0.0,2.0,0.0,0.0,2.0
2021-02-09,236.7,1.0,0.0048,12.0,58.78,0.0,-0.0085,11,-0.1543,7.0,0.0,33.26,32.95,-0.0496,3.0,8.0,-0.0758,2.0,8.0
2021-02-10,236.72,1.0,0.0016,14.0,58.86,1.0,-0.0112,9,-0.1022,,0.0,33.2,32.98,-0.0559,3.0,5.0,-0.0046,1.0,
2021-02-11,241.24,0.0,0.0,10.0,60.66,3.0,0.004,6,-0.0021,5.0,0.0,32.72,32.88,-0.0112,1.0,11.0,-0.0571,0.0,9.0
2021-02-12,240.37,0.0,0.0,18.0,61.81,0.0,-0.0002,35,0.0,14.0,0.0,33.53,33.37,0.0012,2.0,24.0,0.0,0.0,6.0
2021-02-15,,0.0,0.0,3.0,,0.0,0.0,2,0.0,,0.0,,,-0.2303,1.0,,,0.0,1.0
2021-02-16,248.59,0.0,0.0,5.0,62.47,0.0,0.0,5,-0.0432,3.0,0.0,34.79,34.27,-0.0513,4.0,5.0,-0.013,0.0,3.0
2021-02-17,247.66,3.0,0.025,23.0,61.85,1.0,0.0003,14,-0.0558,6.0,3.0,36.59,34.41,0.0029,3.0,12.0,-0.6592,4.0,12.0
