Date,news_pos_sentiment_count,news_sentiment_daily_avg,twitter_pos_sentiment_count
2021-01-01,0.0,0.0,20.0
2021-01-04,0.0,0.0,4.0
2021-01-05,1.0,0.013,42.0
2021-01-06,0.0,0.0,44.0
2021-01-07,0.0,0.0,30.0
2021-01-08,0.0,0.0,16.0
2021-01-11,1.0,0.1873,8.0
2021-01-12,2.0,-0.0959,25.0
2021-01-13,4.0,0.2056,44.0
2021-01-14,1.0,0.0071,31.0
2021-01-15,0.0,-0.0245,27.0
2021-01-18,1.0,0.4036,6.0
2021-01-19,0.0,0.0,17.0
2021-01-20,0.0,0.0,38.0
2021-01-21,1.0,0.0562,46.0
2021-01-22,2.0,0.0421,31.0
2021-01-25,1.0,0.0474,15.0
2021-01-26,1.0,0.0031,24.0
2021-01-27,3.0,0.0112,27.0
2021-01-28,0.0,0.0,11.0
2021-01-29,2.0,0.0515,21.0
2021-02-01,0.0,0.0,8.0
2021-02-02,0.0,0.0,28.0
2021-02-03,1.0,0.0084,36.0
2021-02-04,0.0,0.0,25.0
2021-02-05,0.0,0.0,30.0
2021-02-08,1.0,0.3871,
2021-02-09,1.0,0.0048,12.0
2021-02-10,1.0,0.0016,14.0
2021-02-11,0.0,0.0,10.0
2021-02-12,0.0,0.0,18.0
2021-02-15,0.0,0.0,3.0
2021-02-16,0.0,0.0,5.0
2021-02-17,3.0,0.025,23.0
2021-02-18,2.0,-0.0124,10.0
2021-02-19,1.0,-0.0882,11.0
2021-02-22,0.0,0.0,5.0
2021-02-23,1.0,0.0238,13.0
2021-02-24,0.0,-0.0245,12.0
2021-02-25,1.0,0.0218,20.0
2021-02-26,35.0,0.339,105.0
2021-03-01,1.0,0.6321,12.0
2021-03-02,1.0,-0.0661,18.0
2021-03-03,1.0,0.0321,11.0
2021-03-04,0.0,-0.1965,20.0
2021-03-05,1.0,-0.0265,18.0
2021-03-08,0.0,0.0,16.0
2021-03-09,4.0,0.4759,21.0
2021-03-10,2.0,0.009,11.0
2021-03-11,1.0,0.0093,12.0
2021-03-12,0.0,0.0,9.0
2021-03-15,0.0,,2.0
2021-03-16,0.0,-0.123,8.0
2021-03-17,1.0,0.0421,12.0
2021-03-18,1.0,0.0075,4.0
2021-03-19,0.0,-0.0685,4.0
2021-03-22,0.0,0.0,1.0
2021-03-23,0.0,0.0,3.0
2021-03-24,0.0,0.0,6.0
2021-03-25,0.0,-0.0053,7.0
2021-03-26,1.0,0.3906,12.0
2021-03-29,0.0,-0.3452,1.0
2021-03-30,0.0,0.0,4.0
2021-03-31,0.0,0.0,5.0
2021-04-01,0.0,0.0,6.0
2021-04-02,0.0,-0.0208,5.0
2021-04-05,0.0,0.0,2.0
2021-04-06,0.0,0.0,8.0
2021-04-07,0.0,0.0,5.0
2021-04-08,1.0,0.0052,3.0
2021-04-09,1.0,0.003,11.0
2021-04-12,0.0,,3.0
2021-04-13,0.0,0.0,8.0
2021-04-14,1.0,0.0308,11.0
2021-04-15,0.0,0.0,4.0
2021-04-16,1.0,0.0227,7.0
2021-04-19,0.0,0.0,1.0
2021-04-20,1.0,0.0019,3.0
2021-04-21,0.0,0.0,8.0
2021-04-22,0.0,0.0,8.0
2021-04-23,0.0,-0.0089,11.0
2021-04-26,0.0,0.0,2.0
2021-04-27,0.0,0.0,5.0
2021-04-28,0.0,0.0,5.0
2021-04-29,1.0,0.0054,14.0
2021-04-30,1.0,0.0391,11.0
2021-05-03,0.0,,3.0
2021-05-04,0.0,-0.2293,5.0
2021-05-05,0.0,-0.0113,4.0
2021-05-06,0.0,0.0,7.0
2021-05-07,0.0,-0.1365,3.0
2021-05-10,0.0,0.0,2.0
2021-05-11,0.0,0.0,1.0
2021-05-12,0.0,-0.0032,8.0
2021-05-13,0.0,-0.0054,5.0
2021-05-14,0.0,-0.02,6.0
2021-05-17,0.0,,3.0
2021-05-18,0.0,-0.0129,1.0
2021-05-19,3.0,0.0306,12.0
2021-05-20,20.0,0.7172,36.0
2021-05-21,8.0,0.6801,7.0
2021-05-24,1.0,0.0215,4.0
2021-05-25,0.0,0.0,6.0
2021-05-26,3.0,0.0491,15.0
2021-05-27,3.0,0.0417,15.0
2021-05-28,55.0,0.6204,155.0
2021-05-31,4.0,0.7908,6.0
2021-06-01,0.0,0.0,8.0
2021-06-02,2.0,0.0159,13.0
2021-06-03,1.0,0.0033,9.0
2021-06-04,1.0,-0.0266,8.0
2021-06-07,1.0,0.4015,1.0
2021-06-08,2.0,0.0793,5.0
2021-06-09,0.0,0.0,7.0
2021-06-10,0.0,0.0,4.0
2021-06-11,0.0,0.0,18.0
2021-06-14,0.0,0.0,6.0
2021-06-15,1.0,0.0364,29.0
2021-06-16,4.0,0.1114,1.0
2021-06-17,0.0,0.0,7.0
2021-06-18,2.0,0.1221,3.0
2021-06-21,0.0,0.0,1.0
2021-06-22,0.0,0.0,4.0
2021-06-23,1.0,0.0076,4.0
2021-06-24,1.0,0.0009,8.0
2021-06-25,1.0,0.0034,8.0
2021-06-28,1.0,0.0166,7.0
2021-06-29,3.0,0.0215,13.0
2021-06-30,,,13.0
2021-07-01,1.0,0.0034,13.0
