Date,news_pos_sentiment_count,news_sentiment_daily_avg,twitter_pos_sentiment_count
2021-01-01,2.0,0.129,25.0
2021-01-04,2.0,0.8647,9.0
2021-01-05,0.0,0.0,18.0
2021-01-06,0.0,0.0,25.0
2021-01-07,0.0,-0.1256,19.0
2021-01-08,1.0,-0.361,47.0
2021-01-11,0.0,0.0,8.0
2021-01-12,0.0,-0.0104,30.0
2021-01-13,0.0,-0.0014,33.0
2021-01-14,0.0,-0.0785,18.0
2021-01-15,0.0,-0.0504,23.0
2021-01-18,1.0,0.0311,2.0
2021-01-19,2.0,0.7067,
2021-01-20,2.0,0.0011,13.0
2021-01-21,1.0,0.0229,8.0
2021-01-22,0.0,0.0,16.0
2021-01-25,0.0,,1.0
2021-01-26,1.0,0.0744,3.0
2021-01-27,0.0,0.0,3.0
2021-01-28,0.0,0.0,8.0
2021-01-29,0.0,0.0,8.0
2021-02-01,0.0,,1.0
2021-02-02,0.0,0.0,17.0
2021-02-03,1.0,0.06,14.0
2021-02-04,0.0,0.0,5.0
2021-02-05,2.0,0.0203,19.0
2021-02-08,0.0,0.0,5.0
2021-02-09,0.0,0.0,5.0
2021-02-10,0.0,0.0,12.0
2021-02-11,2.0,0.0195,6.0
2021-02-12,0.0,0.0,9.0
2021-02-15,1.0,0.6321,4.0
2021-02-16,0.0,0.0,3.0
2021-02-17,0.0,-0.0159,4.0
2021-02-18,2.0,0.3537,3.0
2021-02-19,0.0,0.0,5.0
2021-02-22,0.0,0.0,2.0
2021-02-23,0.0,0.0,2.0
2021-02-24,0.0,-0.2372,7.0
2021-02-25,0.0,0.0,5.0
2021-02-26,1.0,0.0269,3.0
2021-03-01,0.0,0.0,3.0
2021-03-02,1.0,0.0024,18.0
2021-03-03,1.0,0.0012,7.0
2021-03-04,0.0,0.0,13.0
2021-03-05,1.0,0.0043,5.0
2021-03-08,0.0,0.0,3.0
2021-03-09,1.0,0.0468,5.0
2021-03-10,0.0,0.0,7.0
2021-03-11,0.0,0.0,8.0
2021-03-12,0.0,-0.0135,12.0
2021-03-15,2.0,0.669,4.0
2021-03-16,0.0,0.0,10.0
2021-03-17,0.0,-0.0101,7.0
2021-03-18,4.0,0.0585,21.0
2021-03-19,85.0,0.8093,167.0
2021-03-22,2.0,0.1449,16.0
2021-03-23,3.0,0.2194,18.0
2021-03-24,2.0,0.0565,10.0
2021-03-25,4.0,0.1325,11.0
2021-03-26,2.0,0.3738,9.0
2021-03-29,0.0,,2.0
2021-03-30,0.0,0.0,4.0
2021-03-31,0.0,0.0,17.0
2021-04-01,0.0,0.0,3.0
2021-04-02,0.0,0.0,4.0
2021-04-05,0.0,0.0,
2021-04-06,0.0,0.0,
2021-04-07,0.0,-0.0334,1.0
2021-04-08,0.0,-0.004,2.0
2021-04-09,0.0,0.0,7.0
2021-04-12,0.0,0.0,4.0
2021-04-13,7.0,0.1153,30.0
2021-04-14,4.0,0.1612,12.0
2021-04-15,0.0,0.0,5.0
2021-04-16,0.0,0.0,5.0
2021-04-19,0.0,0.0,3.0
2021-04-20,0.0,0.0,4.0
2021-04-21,0.0,0.0,2.0
2021-04-22,0.0,0.0,1.0
2021-04-23,0.0,,
2021-04-26,0.0,,
2021-04-27,6.0,0.6368,11.0
2021-04-28,5.0,0.0318,28.0
2021-04-29,0.0,,7.0
2021-04-30,0.0,0.0,10.0
2021-05-03,1.0,0.0835,5.0
2021-05-04,4.0,0.1885,36.0
2021-05-05,0.0,0.0,13.0
2021-05-06,0.0,0.0,9.0
2021-05-07,0.0,0.0,6.0
2021-05-10,0.0,0.0,1.0
2021-05-11,0.0,0.0,8.0
2021-05-12,0.0,0.0,4.0
2021-05-13,0.0,0.0,5.0
2021-05-14,3.0,0.0524,4.0
2021-05-17,0.0,0.0,3.0
2021-05-18,0.0,0.0,3.0
2021-05-19,2.0,0.4285,4.0
2021-05-20,3.0,0.4697,4.0
2021-05-21,1.0,0.0528,6.0
2021-05-24,0.0,,
2021-05-25,0.0,0.0,4.0
2021-05-26,5.0,0.2847,8.0
2021-05-27,0.0,0.0,7.0
2021-05-28,0.0,0.0,9.0
2021-05-31,0.0,,1.0
2021-06-01,0.0,,3.0
2021-06-02,0.0,0.0,7.0
2021-06-03,2.0,0.3148,4.0
