Date,news_pos_sentiment_count,news_sentiment_daily_avg,twitter_pos_sentiment_count,news_sentiment_daily_avg.1,twitter_pos_sentiment_count.1,news_pos_sentiment_count.1,close_price.1
2021-01-01,1.0,0.0451,3.0,0.0451,3.0,1.0,
2021-01-04,1.0,0.266,1.0,0.266,1.0,1.0,52.1277
2021-01-05,0.0,-0.0101,6.0,-0.0101,6.0,0.0,53.6213
2021-01-06,0.0,-0.5243,5.0,-0.5243,5.0,0.0,56.5588
2021-01-07,0.0,-0.0651,10.0,-0.0651,10.0,0.0,56.1107
2021-01-08,5.0,0.0561,5.0,0.0561,5.0,5.0,56.4592
2021-01-11,1.0,0.2776,2.0,0.2776,2.0,1.0,57.0069
2021-01-12,2.0,-0.0121,6.0,-0.0121,6.0,2.0,58.6499
2021-01-13,1.0,0.0024,8.0,0.0024,8.0,1.0,57.6044
2021-01-14,0.0,0.0,7.0,0.0,7.0,0.0,58.0524
2021-01-15,0.0,-0.3362,11.0,-0.3362,11.0,0.0,56.4095
2021-01-18,0.0,,2.0,,2.0,0.0,
2021-01-19,0.0,0.0,,0.0,,0.0,56.9073
2021-01-20,3.0,0.0084,9.0,0.0084,9.0,3.0,56.7082
2021-01-21,1.0,-0.1403,4.0,-0.1403,4.0,1.0,55.115
2021-01-22,2.0,0.0223,11.0,0.0223,11.0,2.0,55.3141
2021-01-25,1.0,-0.0486,15.0,-0.0486,15.0,1.0,54.7167
2021-01-26,53.0,0.2479,79.0,0.2479,79.0,53.0,56.2103
2021-01-27,58.0,0.4594,64.0,0.4594,64.0,58.0,56.6584
2021-01-28,10.0,0.1125,18.0,0.1125,18.0,10.0,55.2146
2021-01-29,3.0,0.1105,3.0,0.1105,3.0,3.0,53.1733
2021-02-01,0.0,-0.1742,4.0,-0.1742,4.0,0.0,53.472
2021-02-02,6.0,-0.3782,5.0,-0.3782,5.0,6.0,55.9614
2021-02-03,4.0,0.0944,8.0,0.0944,8.0,4.0,55.7622
2021-02-04,0.0,-0.0077,4.0,-0.0077,4.0,0.0,57.0069
2021-02-05,0.0,0.0,6.0,0.0,6.0,0.0,56.758
2021-02-08,0.0,0.0,2.0,0.0,2.0,0.0,57.8035
2021-02-09,0.0,-0.0162,3.0,-0.0162,3.0,0.0,57.455
2021-02-10,1.0,0.029,8.0,0.029,8.0,1.0,56.758
2021-02-11,1.0,0.0034,6.0,0.0034,6.0,1.0,57.0567
2021-02-12,1.0,-0.0044,5.0,-0.0044,5.0,1.0,58.401
2021-02-15,0.0,0.0,3.0,0.0,3.0,0.0,
2021-02-16,2.0,0.0151,3.0,0.0151,3.0,2.0,59.5959
2021-02-17,4.0,0.0204,9.0,0.0204,9.0,4.0,59.0482
2021-02-18,3.0,0.0137,1.0,0.0137,1.0,3.0,57.9031
2021-02-19,0.0,-0.147,4.0,-0.147,4.0,0.0,59.8448
2021-02-22,1.0,0.0129,7.0,0.0129,7.0,1.0,62.2346
2021-02-23,11.0,0.0723,22.0,0.0723,22.0,11.0,62.6827
2021-02-24,1.0,-0.0059,5.0,-0.0059,5.0,1.0,65.3214
2021-02-25,5.0,0.0417,11.0,0.0417,11.0,5.0,63.5291
2021-02-26,0.0,-0.0198,7.0,-0.0198,7.0,0.0,62.4338
2021-03-01,0.0,0.0,1.0,0.0,1.0,0.0,65.2717
2021-03-02,6.0,0.1381,8.0,0.1381,8.0,6.0,64.6244
2021-03-03,1.0,-0.0068,2.0,-0.0068,2.0,1.0,66.9147
2021-03-04,19.0,0.5999,29.0,0.5999,29.0,19.0,67.5619
2021-03-05,15.0,0.5208,24.0,0.5208,24.0,15.0,67.7113
2021-03-08,11.0,0.0248,11.0,0.0248,11.0,11.0,70.5492
2021-03-09,26.0,0.3034,14.0,0.3034,14.0,26.0,69.7028
2021-03-10,27.0,0.0182,66.0,0.0182,66.0,27.0,65.9687
2021-03-11,30.0,-0.0777,54.0,-0.0777,54.0,30.0,61.0895
2021-03-12,5.0,-0.2978,36.0,-0.2978,36.0,5.0,62.6329
2021-03-15,7.0,0.3499,3.0,0.3499,3.0,7.0,66.4666
2021-03-16,11.0,0.1515,10.0,0.1515,10.0,11.0,65.4708
2021-03-17,1.0,-0.0004,8.0,-0.0004,8.0,1.0,67.761
2021-03-18,2.0,-0.0147,9.0,-0.0147,9.0,2.0,65.9687
2021-03-19,4.0,0.022,5.0,0.022,5.0,4.0,65.8193
2021-03-22,0.0,0.0,3.0,0.0,3.0,0.0,65.3712
2021-03-23,0.0,-0.0039,2.0,-0.0039,2.0,0.0,63.0312
2021-03-24,0.0,0.0,4.0,0.0,4.0,0.0,62.2346
2021-03-25,1.0,0.0073,3.0,0.0073,3.0,1.0,63.9772
2021-03-26,0.0,0.0,4.0,0.0,4.0,0.0,64.6742
2021-03-29,0.0,0.0,2.0,0.0,2.0,0.0,64.4751
2021-03-30,1.0,-0.0013,3.0,-0.0013,3.0,1.0,66.2176
2021-03-31,0.0,0.0,8.0,0.0,8.0,0.0,65.3712
2021-04-01,1.0,0.0015,1.0,0.0015,1.0,1.0,66.1181
2021-04-02,0.0,0.0,7.0,0.0,7.0,0.0,
2021-04-05,0.0,0.0,3.0,0.0,3.0,0.0,67.0142
2021-04-06,1.0,0.0005,7.0,0.0005,7.0,1.0,66.7155
2021-04-07,1.0,0.0019,2.0,0.0019,2.0,1.0,66.6657
2021-04-08,2.0,0.0068,3.0,0.0068,3.0,2.0,66.9644
2021-04-09,5.0,0.118,5.0,0.118,5.0,5.0,67.7113
2021-04-12,0.0,0.0,2.0,0.0,2.0,0.0,67.6615
2021-04-13,0.0,0.0,7.0,0.0,7.0,0.0,66.9147
2021-04-14,0.0,-0.0052,5.0,-0.0052,5.0,0.0,68.1096
2021-04-15,0.0,0.0,2.0,0.0,2.0,0.0,67.4623
2021-04-16,1.0,-0.0068,3.0,-0.0068,3.0,1.0,66.6657
2021-04-19,0.0,-0.0201,,-0.0201,,0.0,67.0142
2021-04-20,1.0,0.0136,1.0,0.0136,1.0,1.0,65.0227
2021-04-21,1.0,0.0021,9.0,0.0021,9.0,1.0,66.4666
2021-04-22,1.0,-0.0027,5.0,-0.0027,5.0,1.0,66.7653
2021-04-23,1.0,0.003,10.0,0.003,10.0,1.0,67.4623
2021-04-26,1.0,0.0088,2.0,0.0088,2.0,1.0,67.5619
2021-04-27,7.0,-0.1209,21.0,-0.1209,21.0,7.0,67.1636
