Date,twitter_pos_sentiment_count,news_pos_sentiment_count
2021-01-01,18,3.0
2021-01-04,14,2.0
2021-01-05,45,4.0
2021-01-06,46,4.0
2021-01-07,33,0.0
2021-01-08,47,1.0
2021-01-11,46,5.0
2021-01-12,33,1.0
2021-01-13,44,1.0
2021-01-14,29,1.0
2021-01-15,105,12.0
2021-01-18,26,0.0
2021-01-19,41,4.0
2021-01-20,58,4.0
2021-01-21,96,5.0
2021-01-22,59,6.0
2021-01-25,36,9.0
2021-01-26,69,12.0
2021-01-27,48,5.0
2021-01-28,61,7.0
2021-01-29,59,4.0
2021-02-01,21,3.0
2021-02-02,137,14.0
2021-02-03,689,216.0
2021-02-04,316,117.0
2021-02-05,88,9.0
2021-02-08,53,7.0
2021-02-09,53,3.0
2021-02-10,57,0.0
2021-02-11,50,3.0
2021-02-12,32,2.0
2021-02-15,24,0.0
2021-02-16,37,6.0
2021-02-17,72,9.0
2021-02-18,68,8.0
2021-02-19,36,3.0
2021-02-22,20,0.0
2021-02-23,38,2.0
2021-02-24,22,2.0
2021-02-25,30,1.0
2021-02-26,42,1.0
2021-03-01,30,0.0
2021-03-02,24,1.0
2021-03-03,38,2.0
2021-03-04,43,3.0
2021-03-05,61,2.0
2021-03-08,32,1.0
2021-03-09,41,2.0
2021-03-10,33,1.0
2021-03-11,41,1.0
2021-03-12,42,2.0
2021-03-15,21,1.0
2021-03-16,25,3.0
2021-03-17,42,5.0
2021-03-18,40,4.0
2021-03-19,81,16.0
2021-03-22,22,0.0
2021-03-23,49,4.0
2021-03-24,49,1.0
2021-03-25,41,2.0
2021-03-26,43,4.0
2021-03-29,24,0.0
2021-03-30,56,6.0
2021-03-31,66,5.0
2021-04-01,67,1.0
2021-04-02,50,5.0
2021-04-05,34,0.0
2021-04-06,150,12.0
2021-04-07,50,7.0
2021-04-08,63,3.0
2021-04-09,47,3.0
2021-04-12,35,2.0
2021-04-13,43,4.0
2021-04-14,43,4.0
2021-04-15,47,5.0
2021-04-16,57,3.0
2021-04-19,56,0.0
2021-04-20,94,9.0
2021-04-21,42,5.0
2021-04-22,39,6.0
2021-04-23,51,4.0
2021-04-26,37,3.0
2021-04-27,77,7.0
2021-04-28,621,270.0
2021-04-29,366,116.0
2021-04-30,124,19.0
2021-05-03,31,3.0
