Date,news_pos_sentiment_count,news_sentiment_daily_avg,twitter_pos_sentiment_count
2021-01-01,4.0,0.2408,1
2021-01-04,1.0,0.0288,2
2021-01-05,1.0,-0.005,4
2021-01-06,3.0,-0.0136,11
2021-01-07,2.0,0.0016,13
2021-01-08,2.0,0.0033,11
2021-01-11,0.0,-0.0003,8
2021-01-12,5.0,0.0076,10
2021-01-13,5.0,0.0171,12
2021-01-14,0.0,-0.0005,19
2021-01-15,2.0,0.0013,17
2021-01-18,2.0,0.0161,6
2021-01-19,48.0,0.4229,48
2021-01-20,77.0,0.5952,75
2021-01-21,17.0,0.152,12
2021-01-22,4.0,0.0205,3
2021-01-25,2.0,0.0353,10
2021-01-26,3.0,0.0096,2
2021-01-27,8.0,-0.3778,9
2021-01-28,5.0,-0.024,8
2021-01-29,2.0,0.0021,3
2021-02-01,5.0,0.1377,6
2021-02-02,1.0,0.0037,1
2021-02-03,1.0,-0.0009,3
2021-02-04,0.0,-0.0014,1
2021-02-05,2.0,0.0061,4
2021-02-08,2.0,0.0179,1
2021-02-09,3.0,0.0088,4
2021-02-10,0.0,-0.0064,9
2021-02-11,0.0,-0.0007,6
2021-02-12,0.0,-0.0008,2
2021-02-15,0.0,0.0,2
2021-02-16,1.0,-0.0092,7
2021-02-17,2.0,-0.0149,2
2021-02-18,0.0,0.0,20
2021-02-19,1.0,-0.0148,6
2021-02-22,0.0,0.0,10
2021-02-23,1.0,0.0004,15
2021-02-24,0.0,0.0,8
2021-02-25,1.0,0.0003,4
2021-02-26,4.0,0.0052,5
2021-03-01,0.0,0.0,8
2021-03-02,4.0,-0.0019,14
2021-03-03,4.0,0.0023,8
2021-03-04,0.0,-0.0006,5
2021-03-05,1.0,0.0007,11
2021-03-08,1.0,0.0022,6
2021-03-09,0.0,-0.0002,6
2021-03-10,0.0,-0.003,2
2021-03-11,0.0,0.0,33
2021-03-12,5.0,0.0073,5
2021-03-15,1.0,-0.0453,5
2021-03-16,0.0,-0.0009,10
2021-03-17,0.0,0.0,7
2021-03-18,0.0,-0.0117,3
2021-03-19,6.0,-0.0085,10
2021-03-22,0.0,0.0,9
2021-03-23,4.0,0.0037,10
2021-03-24,1.0,-0.0018,3
2021-03-25,0.0,-0.0016,5
2021-03-26,1.0,-0.0027,6
2021-03-29,0.0,-0.1144,6
2021-03-30,2.0,-0.3548,5
2021-03-31,2.0,-0.009,4
2021-04-01,2.0,0.0005,6
2021-04-02,1.0,-0.002,4
2021-04-05,0.0,0.0,1
2021-04-06,1.0,-0.0007,11
2021-04-07,0.0,0.0,17
2021-04-08,0.0,-0.0004,4
2021-04-09,3.0,0.0022,4
2021-04-12,1.0,0.0007,8
2021-04-13,1.0,-0.0005,7
2021-04-14,34.0,0.0992,71
2021-04-15,94.0,0.4625,96
2021-04-16,18.0,0.0319,16
2021-04-19,0.0,0.0,21
2021-04-20,2.0,0.0027,27
2021-04-21,0.0,0.0,51
2021-04-22,1.0,-0.0023,47
2021-04-23,0.0,-0.0272,43
2021-04-26,1.0,0.009,12
2021-04-27,0.0,0.0,34
2021-04-28,0.0,0.0,62
2021-04-29,0.0,0.0,47
2021-04-30,0.0,-0.0307,31
2021-05-03,0.0,0.0,9
2021-05-04,1.0,0.0032,33
2021-05-05,0.0,0.0,31
2021-05-06,0.0,0.0,32
2021-05-07,0.0,0.0,47
2021-05-10,0.0,-0.0102,9
2021-05-11,0.0,0.0,34
2021-05-12,0.0,0.0,29
2021-05-13,1.0,-0.0047,18
2021-05-14,0.0,0.0,41
2021-05-17,0.0,-0.003,13
2021-05-18,1.0,-0.011,48
2021-05-19,4.0,0.0119,24
2021-05-20,0.0,-0.0192,14
2021-05-21,0.0,0.0,27
2021-05-24,0.0,0.0,40
2021-05-25,0.0,-0.02,60
2021-05-26,2.0,0.0011,25
2021-05-27,0.0,0.0,34
2021-05-28,0.0,0.0,21
2021-05-31,0.0,0.0,5
2021-06-01,0.0,0.0,23
2021-06-02,2.0,0.0034,68
2021-06-03,0.0,0.0,30
2021-06-04,0.0,0.0,37
2021-06-07,0.0,-0.0198,12
2021-06-08,2.0,0.0046,39
2021-06-09,1.0,-0.0539,28
2021-06-10,1.0,0.0007,33
2021-06-11,3.0,0.0015,41
2021-06-14,0.0,0.0,15
2021-06-15,0.0,-0.0022,41
2021-06-16,1.0,0.0018,18
2021-06-17,2.0,-0.0231,33
2021-06-18,0.0,-0.0162,24
2021-06-21,1.0,0.0011,20
2021-06-22,0.0,-0.6176,38
2021-06-23,0.0,-0.0103,29
2021-06-24,2.0,-0.0466,41
2021-06-25,1.0,-0.0079,40
2021-06-28,0.0,0.0,8
2021-06-29,7.0,0.0184,70
2021-06-30,,,43
2021-07-01,0.0,0.0,23
2021-07-02,0.0,0.0,22
2021-07-05,0.0,0.0,2
2021-07-06,0.0,0.0,31
2021-07-07,0.0,0.0,25
2021-07-08,2.0,-0.0637,36
2021-07-09,0.0,-0.0487,20
