Date,news_pos_sentiment_count,news_sentiment_daily_avg,twitter_pos_sentiment_count
2021-01-01,1.0,-0.0038,18
2021-01-04,3.0,0.0875,15
2021-01-05,4.0,-0.0315,16
2021-01-06,2.0,-0.0082,12
2021-01-07,0.0,0.0,12
2021-01-08,0.0,-0.0012,11
2021-01-11,1.0,-0.0014,3
2021-01-12,6.0,0.0006,12
2021-01-13,4.0,0.0008,34
2021-01-14,90.0,0.0634,205
2021-01-15,29.0,0.0842,63
2021-01-18,6.0,0.0039,9
2021-01-19,6.0,0.0088,12
2021-01-20,11.0,0.019,16
2021-01-21,8.0,0.0169,39
2021-01-22,118.0,0.2766,465
2021-01-25,1.0,-0.1548,24
2021-01-26,1.0,-0.0327,35
2021-01-27,4.0,0.0013,51
2021-01-28,3.0,-0.0143,20
2021-01-29,5.0,0.0258,23
2021-02-01,0.0,-0.0892,10
2021-02-02,6.0,-0.055,14
2021-02-03,4.0,0.0134,11
2021-02-04,5.0,-0.0325,19
2021-02-05,3.0,0.0071,14
2021-02-08,0.0,-0.0082,6
2021-02-09,0.0,-0.0085,11
2021-02-10,1.0,-0.0112,9
2021-02-11,3.0,0.004,6
2021-02-12,0.0,-0.0002,35
2021-02-15,0.0,0.0,2
2021-02-16,0.0,0.0,5
2021-02-17,1.0,0.0003,14
2021-02-18,1.0,-0.0008,7
2021-02-19,0.0,-0.0035,12
2021-02-22,2.0,0.0244,10
2021-02-23,2.0,0.005,8
2021-02-24,1.0,-0.0002,12
2021-02-25,1.0,0.0004,15
2021-02-26,0.0,0.0,11
2021-03-01,0.0,0.0,3
2021-03-02,1.0,0.0004,10
2021-03-03,1.0,-0.2181,12
2021-03-04,2.0,-0.0818,6
2021-03-05,2.0,-0.0032,7
2021-03-08,0.0,0.0,2
2021-03-09,5.0,0.002,3
2021-03-10,8.0,0.0281,9
2021-03-11,1.0,-0.0007,15
2021-03-12,4.0,0.0052,14
2021-03-15,0.0,0.0,2
2021-03-16,1.0,0.0004,18
2021-03-17,1.0,0.0,20
2021-03-18,7.0,0.0059,16
2021-03-19,1.0,-0.0219,9
2021-03-22,0.0,-0.001,3
2021-03-23,5.0,0.0045,25
2021-03-24,93.0,0.0725,151
2021-03-25,38.0,0.0242,102
2021-03-26,7.0,0.0072,17
2021-03-29,2.0,0.006,9
2021-03-30,0.0,-0.0012,16
2021-03-31,4.0,0.0011,15
2021-04-01,0.0,-0.001,13
2021-04-02,2.0,0.001,18
2021-04-05,2.0,0.0283,1
2021-04-06,2.0,0.0018,14
2021-04-07,4.0,-0.0004,5
2021-04-08,1.0,0.0001,7
2021-04-09,0.0,0.0,4
2021-04-12,0.0,0.0,11
2021-04-13,6.0,-0.0177,39
2021-04-14,1.0,-0.0007,16
2021-04-15,0.0,-0.0034,17
2021-04-16,3.0,-0.0468,22
2021-04-19,1.0,0.0027,2
2021-04-20,1.0,-0.005,6
2021-04-21,2.0,-0.0048,8
2021-04-22,6.0,-0.0182,23
2021-04-23,23.0,-0.2566,124
2021-04-26,0.0,-0.0376,5
2021-04-27,2.0,-0.0055,21
2021-04-28,3.0,-0.005,47
2021-04-29,0.0,-0.0058,40
2021-04-30,0.0,-0.0001,12
2021-05-03,11.0,0.0298,13
2021-05-04,13.0,0.0124,54
2021-05-05,2.0,0.0012,20
2021-05-06,2.0,0.0014,9
2021-05-07,0.0,-0.0006,9
2021-05-10,0.0,-0.1815,14
2021-05-11,0.0,-0.0098,11
2021-05-12,0.0,-0.0038,11
2021-05-13,0.0,0.0,8
2021-05-14,0.0,0.0,6
2021-05-17,0.0,0.0,3
2021-05-18,0.0,-0.0003,6
2021-05-19,0.0,-0.0001,9
2021-05-20,1.0,-0.0003,9
2021-05-21,0.0,0.0,11
2021-05-24,0.0,0.0,2
2021-05-25,1.0,0.0002,14
2021-05-26,1.0,0.0003,6
2021-05-27,1.0,0.0003,13
2021-05-28,1.0,0.0002,13
2021-05-31,0.0,0.0,3
2021-06-01,0.0,-0.0009,6
2021-06-02,0.0,-0.0013,11
2021-06-03,3.0,0.0039,9
2021-06-04,0.0,-0.0063,5
2021-06-07,0.0,0.0,3
2021-06-08,2.0,0.0027,4
2021-06-09,1.0,0.0002,5
2021-06-10,0.0,0.0,18
2021-06-11,0.0,-0.0002,16
2021-06-14,0.0,0.0,1
2021-06-15,0.0,-0.0004,15
2021-06-16,0.0,0.0,26
2021-06-17,0.0,-0.0002,12
2021-06-18,0.0,-0.0041,13
2021-06-21,1.0,0.0019,1
2021-06-22,2.0,0.0003,8
2021-06-23,2.0,0.0001,11
2021-06-24,0.0,-0.0005,9
2021-06-25,0.0,0.0,12
2021-06-28,0.0,0.0,5
2021-06-29,2.0,0.0004,20
2021-06-30,,,20
2021-07-01,0.0,-0.0382,24
2021-07-02,1.0,-0.002,17
2021-07-05,2.0,0.0059,3
2021-07-06,2.0,0.0049,3
2021-07-07,0.0,0.0,13
2021-07-08,0.0,-0.0016,2
2021-07-09,0.0,0.0,5
2021-07-12,0.0,0.0,2
2021-07-13,1.0,0.0017,11
2021-07-14,1.0,0.0011,11
2021-07-15,0.0,-0.0025,10
2021-07-16,4.0,-0.0038,33
2021-07-19,3.0,0.0109,7
2021-07-20,0.0,-0.0013,10
2021-07-21,5.0,0.0029,17
2021-07-22,5.0,0.0051,22
2021-07-23,38.0,-0.1051,219
2021-07-26,1.0,-0.0025,4
2021-07-27,1.0,-0.0063,33
2021-07-28,0.0,-0.0223,36
2021-07-29,4.0,0.0042,24
2021-07-30,3.0,-0.0033,7
2021-08-02,1.0,0.001,2
2021-08-03,2.0,0.0049,21
2021-08-04,4.0,0.0044,11
2021-08-05,5.0,0.0183,13
2021-08-06,0.0,0.0,8
2021-08-09,0.0,0.0,4
2021-08-10,0.0,-0.0006,8
2021-08-11,0.0,-0.0002,14
2021-08-12,0.0,0.0,5
2021-08-13,2.0,-0.0297,8
2021-08-16,0.0,0.0,6
2021-08-17,0.0,0.0,12
2021-08-18,0.0,0.0,13
2021-08-19,5.0,0.0117,9
2021-08-20,0.0,-0.0002,17
2021-08-23,0.0,0.0,6
2021-08-24,4.0,0.0067,13
2021-08-25,1.0,0.0001,10
2021-08-26,0.0,0.0,5
2021-08-27,0.0,0.0,8
2021-08-30,0.0,0.0,3
2021-08-31,0.0,0.0,9
2021-09-01,0.0,0.0,5
2021-09-02,1.0,-0.0004,5
2021-09-03,1.0,0.0003,4
2021-09-06,0.0,0.0,2
2021-09-07,0.0,-0.0045,7
2021-09-08,1.0,0.0001,40
2021-09-09,0.0,-0.0004,19
2021-09-10,0.0,-0.0055,7
2021-09-13,1.0,-0.0138,2
2021-09-14,7.0,0.0906,16
2021-09-15,0.0,-0.0017,2
2021-09-16,3.0,0.0083,11
2021-09-17,0.0,-0.0577,7
2021-09-20,0.0,0.0,0
2021-09-21,2.0,-0.0107,6
2021-09-22,0.0,-0.0005,7
2021-09-23,1.0,0.0001,9
2021-09-24,1.0,0.0005,5
2021-09-27,0.0,0.0,2
2021-09-28,1.0,0.0004,8
2021-09-29,0.0,-0.0011,5
2021-09-30,0.0,-0.005,0
2021-10-01,0.0,-0.0002,5
2021-10-04,0.0,-0.0007,5
2021-10-05,4.0,0.0086,11
2021-10-06,1.0,-0.001,2
2021-10-07,1.0,0.0003,7
2021-10-08,1.0,0.0007,13
2021-10-11,0.0,0.0,1
2021-10-12,0.0,-0.0008,6
2021-10-13,1.0,-0.0047,14
2021-10-14,1.0,0.0002,5
2021-10-15,3.0,0.0114,20
2021-10-18,6.0,0.0523,4
2021-10-19,0.0,-0.0048,6
2021-10-20,3.0,0.0049,13
2021-10-21,4.0,0.0115,21
2021-10-22,29.0,-0.2909,152
2021-10-25,0.0,-0.0147,12
2021-10-26,2.0,-0.0326,34
2021-10-27,2.0,-0.0134,67
2021-10-28,1.0,-0.0008,38
2021-10-29,1.0,-0.0035,35
2021-11-01,0.0,0.0,9
2021-11-02,4.0,0.0062,31
2021-11-03,1.0,-0.0019,14
2021-11-04,1.0,0.0003,17
2021-11-05,0.0,-0.0022,34
2021-11-08,0.0,0.0,17
2021-11-09,10.0,0.0338,28
2021-11-10,0.0,-0.0022,9
2021-11-11,0.0,-0.0005,11
2021-11-12,2.0,0.0051,9
2021-11-15,1.0,0.003,5
2021-11-16,1.0,-0.0008,15
2021-11-17,7.0,0.0129,31
2021-11-18,0.0,-0.0069,27
2021-11-19,0.0,-0.0365,21
2021-11-22,0.0,0.0,2
2021-11-23,1.0,0.0003,21
2021-11-24,1.0,-0.0022,10
2021-11-25,1.0,0.002,4
2021-11-26,0.0,0.0,4
2021-11-29,0.0,0.0,2
2021-11-30,1.0,0.0003,11
2021-12-01,0.0,-0.0006,8
2021-12-02,0.0,-0.0079,9
2021-12-03,3.0,0.0066,7
2021-12-06,0.0,0.0,3
2021-12-07,39.0,0.0854,99
2021-12-08,59.0,0.3532,106
2021-12-09,2.0,-0.0024,15
2021-12-10,2.0,-0.0386,20
2021-12-13,0.0,0.0,13
2021-12-14,1.0,-0.0009,13
2021-12-15,0.0,-0.0008,15
2021-12-16,1.0,0.0001,22
2021-12-17,0.0,-0.0009,9
2021-12-20,0.0,0.0,2
2021-12-21,2.0,0.0037,5
2021-12-22,4.0,0.003,19
2021-12-23,1.0,0.0001,14
2021-12-24,4.0,0.0032,15
2021-12-27,0.0,0.0,1
2021-12-28,3.0,0.0328,7
2021-12-29,0.0,-0.0014,4
2021-12-30,1.0,0.0003,5
2021-12-31,0.0,-0.0035,12
2022-01-03,0.0,-0.0018,6
