Date,news_pos_sentiment_count,news_sentiment_daily_avg,twitter_pos_sentiment_count
2021-01-01,1.0,-0.0051,5.0
2021-01-04,0.0,0.0,9.0
2021-01-05,6.0,-0.0015,43.0
2021-01-06,1.0,0.0001,26.0
2021-01-07,10.0,0.0026,33.0
2021-01-08,13.0,0.0229,19.0
2021-01-11,4.0,0.0007,18.0
2021-01-12,7.0,0.0044,21.0
2021-01-13,4.0,0.0029,16.0
2021-01-14,4.0,0.0036,21.0
2021-01-15,61.0,0.1874,98.0
2021-01-18,1.0,0.0018,5.0
2021-01-19,2.0,-0.019,13.0
2021-01-20,17.0,0.1264,35.0
2021-01-21,5.0,-0.0416,29.0
2021-01-22,6.0,-0.1463,12.0
2021-01-25,1.0,-0.0264,8.0
2021-01-26,5.0,0.0156,12.0
2021-01-27,4.0,0.0028,11.0
2021-01-28,2.0,0.0006,23.0
2021-01-29,0.0,-0.0047,24.0
2021-02-01,1.0,-0.007,13.0
2021-02-02,4.0,-0.04,12.0
2021-02-03,1.0,-0.0024,13.0
2021-02-04,3.0,0.0019,16.0
2021-02-05,0.0,-0.0002,15.0
2021-02-08,0.0,0.0,7.0
2021-02-09,5.0,0.0028,13.0
2021-02-10,4.0,-0.0058,25.0
2021-02-11,0.0,-0.0054,25.0
2021-02-12,2.0,0.0009,26.0
2021-02-15,1.0,0.0021,10.0
2021-02-16,0.0,0.0,21.0
2021-02-17,44.0,0.2667,17.0
2021-02-18,5.0,0.0049,13.0
2021-02-19,3.0,0.006,15.0
2021-02-22,0.0,0.0,22.0
2021-02-23,1.0,-0.0004,21.0
2021-02-24,4.0,0.0026,30.0
2021-02-25,5.0,0.0024,13.0
2021-02-26,4.0,0.0006,26.0
2021-03-01,0.0,0.0,23.0
2021-03-02,9.0,0.0093,27.0
2021-03-03,4.0,0.0017,18.0
2021-03-04,1.0,-0.0013,19.0
2021-03-05,3.0,0.0031,12.0
2021-03-08,0.0,-0.0016,16.0
2021-03-09,3.0,0.0024,11.0
2021-03-10,0.0,-0.0006,3.0
2021-03-11,1.0,0.0002,11.0
2021-03-12,1.0,-0.0008,5.0
2021-03-15,2.0,0.0014,10.0
2021-03-16,2.0,0.0004,11.0
2021-03-17,1.0,0.0001,12.0
2021-03-18,0.0,0.0,2.0
2021-03-19,6.0,0.0093,11.0
2021-03-22,0.0,0.0,14.0
2021-03-23,3.0,-0.005,11.0
2021-03-24,4.0,0.0032,32.0
2021-03-25,2.0,0.0006,5.0
2021-03-26,4.0,0.0041,5.0
2021-03-29,0.0,0.0,7.0
2021-03-30,1.0,-0.0004,11.0
2021-03-31,0.0,-0.002,9.0
2021-04-01,2.0,0.0009,9.0
2021-04-02,0.0,-0.0012,7.0
2021-04-05,0.0,0.0,12.0
2021-04-06,0.0,-0.0006,16.0
2021-04-07,0.0,-0.0001,8.0
2021-04-08,2.0,0.0,16.0
2021-04-09,3.0,0.0004,10.0
2021-04-12,2.0,-0.0082,4.0
2021-04-13,1.0,-0.0001,6.0
2021-04-14,34.0,0.0375,110.0
2021-04-15,53.0,0.0435,85.0
2021-04-16,17.0,0.0086,39.0
2021-04-19,0.0,0.0,31.0
2021-04-20,4.0,0.0006,14.0
2021-04-21,3.0,-0.0017,11.0
2021-04-22,2.0,-0.0006,10.0
2021-04-23,1.0,-0.0123,7.0
2021-04-26,3.0,0.0024,2.0
2021-04-27,7.0,0.0024,25.0
2021-04-28,0.0,0.0,11.0
2021-04-29,2.0,0.0003,10.0
2021-04-30,2.0,0.0004,18.0
2021-05-03,3.0,0.0094,3.0
2021-05-04,1.0,0.0002,8.0
2021-05-05,0.0,0.0,11.0
2021-05-06,0.0,0.0,7.0
2021-05-07,3.0,-0.002,9.0
2021-05-10,0.0,-0.0476,11.0
2021-05-11,2.0,-0.026,17.0
2021-05-12,1.0,-0.0246,20.0
2021-05-13,2.0,-0.0019,48.0
2021-05-14,5.0,0.0034,35.0
2021-05-17,0.0,0.0,2.0
2021-05-18,0.0,-0.0007,4.0
2021-05-19,1.0,0.0,4.0
2021-05-20,0.0,-0.0012,10.0
2021-05-21,0.0,-0.0012,9.0
2021-05-24,0.0,0.0,2.0
2021-05-25,2.0,0.0004,8.0
2021-05-26,1.0,0.0001,8.0
2021-05-27,2.0,-0.0019,14.0
2021-05-28,3.0,0.0004,10.0
2021-05-31,0.0,-0.0009,2.0
2021-06-01,0.0,0.0,1.0
2021-06-02,2.0,0.0009,6.0
2021-06-03,0.0,0.0,3.0
2021-06-04,0.0,-0.0001,7.0
2021-06-07,0.0,0.0,9.0
2021-06-08,0.0,0.0,5.0
2021-06-09,1.0,-0.0003,10.0
2021-06-10,1.0,-0.0001,8.0
2021-06-11,1.0,-0.0066,13.0
2021-06-14,0.0,0.0,4.0
2021-06-15,3.0,-0.0175,16.0
2021-06-16,0.0,-0.0137,13.0
2021-06-17,2.0,-0.0036,19.0
2021-06-18,1.0,-0.004,18.0
2021-06-21,0.0,-0.0604,
2021-06-22,0.0,-0.0001,6.0
2021-06-23,2.0,0.0007,5.0
2021-06-24,2.0,0.0002,12.0
2021-06-25,4.0,0.0011,13.0
2021-06-28,3.0,0.0041,5.0
2021-06-29,6.0,0.0007,42.0
2021-06-30,,,17.0
2021-07-01,0.0,-0.0006,7.0
2021-07-02,0.0,0.0,14.0
2021-07-05,0.0,0.0,3.0
2021-07-06,0.0,0.0,15.0
2021-07-07,2.0,-0.0239,17.0
2021-07-08,3.0,-0.0044,8.0
2021-07-09,1.0,-0.0106,7.0
2021-07-12,2.0,-0.0039,
2021-07-13,31.0,-0.0549,53.0
2021-07-14,28.0,-0.1298,104.0
2021-07-15,9.0,0.0107,23.0
2021-07-16,2.0,0.0005,32.0
2021-07-19,2.0,0.0044,11.0
2021-07-20,1.0,-0.0033,8.0
2021-07-21,3.0,-0.0015,17.0
2021-07-22,8.0,0.0033,15.0
