Date,news_sentiment_daily_avg,twitter_pos_sentiment_count,news_pos_sentiment_count
2021-01-01,0.6321,3.0,1.0
2021-01-04,0.0,9.0,0.0
2021-01-05,-0.0142,7.0,1.0
2021-01-06,-0.1382,19.0,1.0
2021-01-07,0.0,13.0,0.0
2021-01-08,0.0046,8.0,1.0
2021-01-11,0.0066,13.0,1.0
2021-01-12,0.0094,14.0,2.0
2021-01-13,0.0,15.0,0.0
2021-01-14,-0.0026,7.0,0.0
2021-01-15,0.0488,10.0,2.0
2021-01-18,0.0266,2.0,1.0
2021-01-19,0.0,12.0,0.0
2021-01-20,0.5637,93.0,63.0
2021-01-21,0.6942,76.0,51.0
2021-01-22,0.0471,18.0,2.0
2021-01-25,0.2843,11.0,4.0
2021-01-26,0.0302,15.0,2.0
2021-01-27,0.2391,13.0,6.0
2021-01-28,0.0,15.0,0.0
2021-01-29,-0.0136,25.0,1.0
2021-02-01,0.0,7.0,0.0
2021-02-02,0.1304,14.0,3.0
2021-02-03,0.0,18.0,0.0
2021-02-04,0.0,15.0,0.0
2021-02-05,0.0291,17.0,1.0
2021-02-08,-0.0155,6.0,0.0
2021-02-09,-0.0061,12.0,0.0
2021-02-10,0.0,18.0,0.0
2021-02-11,0.0,7.0,0.0
2021-02-12,-0.0041,54.0,0.0
2021-02-15,0.0043,13.0,1.0
2021-02-16,0.0023,20.0,1.0
2021-02-17,0.0004,26.0,1.0
2021-02-18,0.006,54.0,3.0
2021-02-19,0.0014,21.0,1.0
2021-02-22,0.0346,11.0,1.0
2021-02-23,0.0036,56.0,2.0
2021-02-24,-0.0019,29.0,0.0
2021-02-25,0.0014,13.0,1.0
2021-02-26,0.0031,124.0,2.0
2021-03-01,-0.0414,37.0,0.0
2021-03-02,0.0038,101.0,2.0
2021-03-03,0.0007,77.0,1.0
2021-03-04,0.0025,82.0,1.0
2021-03-05,-0.013,32.0,3.0
2021-03-08,-0.0042,36.0,1.0
2021-03-09,-0.0049,50.0,0.0
2021-03-10,-0.0301,55.0,2.0
2021-03-11,0.0142,35.0,2.0
2021-03-12,0.0,63.0,0.0
2021-03-15,0.0,27.0,0.0
2021-03-16,0.0,45.0,0.0
2021-03-17,0.0,30.0,0.0
2021-03-18,0.0016,44.0,4.0
2021-03-19,0.0107,59.0,5.0
2021-03-22,0.0134,19.0,1.0
2021-03-23,-0.0009,48.0,0.0
2021-03-24,0.1371,48.0,5.0
2021-03-25,-0.0185,53.0,1.0
2021-03-26,0.0,28.0,0.0
2021-03-29,-0.0024,17.0,0.0
2021-03-30,-0.2021,36.0,1.0
2021-03-31,-0.011,34.0,0.0
2021-04-01,0.0119,52.0,3.0
2021-04-02,0.0009,30.0,1.0
2021-04-05,0.0114,12.0,1.0
2021-04-06,0.0014,39.0,1.0
2021-04-07,-0.01,43.0,2.0
2021-04-08,-0.0018,37.0,0.0
2021-04-09,-0.0008,26.0,0.0
2021-04-12,0.0034,13.0,1.0
2021-04-13,0.0023,67.0,2.0
2021-04-14,-0.0003,52.0,0.0
2021-04-15,0.0193,29.0,3.0
2021-04-16,0.072,90.0,24.0
2021-04-19,0.0221,35.0,2.0
2021-04-20,0.01,106.0,4.0
2021-04-21,0.0116,96.0,5.0
2021-04-22,-0.0173,55.0,1.0
2021-04-23,-0.0112,62.0,1.0
2021-04-26,0.0494,5.0,1.0
2021-04-27,-0.0475,48.0,2.0
2021-04-28,-0.007,21.0,1.0
2021-04-29,0.0,96.0,0.0
2021-04-30,0.0,154.0,0.0
2021-05-03,0.0,1.0,0.0
2021-05-04,0.0,93.0,0.0
2021-05-05,-0.0144,82.0,2.0
2021-05-06,-0.0237,125.0,0.0
2021-05-07,0.0011,124.0,1.0
2021-05-10,0.0,15.0,0.0
2021-05-11,-0.0017,118.0,0.0
2021-05-12,-0.001,72.0,1.0
2021-05-13,-0.0101,67.0,0.0
2021-05-14,0.0,54.0,0.0
2021-05-17,0.0,6.0,0.0
2021-05-18,0.0,80.0,0.0
2021-05-19,0.0012,73.0,1.0
2021-05-20,-0.0207,107.0,2.0
2021-05-21,0.0093,44.0,8.0
2021-05-24,0.0,16.0,0.0
2021-05-25,0.0013,87.0,1.0
2021-05-26,-0.0022,52.0,3.0
2021-05-27,-0.0001,79.0,1.0
2021-05-28,0.0019,100.0,2.0
2021-05-31,0.0,4.0,0.0
2021-06-01,0.031,7.0,1.0
2021-06-02,0.002,37.0,1.0
2021-06-03,0.0015,22.0,1.0
2021-06-04,0.0137,62.0,2.0
2021-06-07,-0.0034,14.0,0.0
2021-06-08,0.0,39.0,0.0
2021-06-09,0.0316,36.0,5.0
2021-06-10,0.0,24.0,0.0
2021-06-11,-0.0081,14.0,0.0
2021-06-14,0.0,3.0,0.0
2021-06-15,-0.0094,37.0,2.0
2021-06-16,0.0009,14.0,3.0
2021-06-17,-0.0051,34.0,2.0
2021-06-18,-0.0053,25.0,0.0
2021-06-21,0.0138,5.0,3.0
2021-06-22,-0.0009,62.0,1.0
2021-06-23,0.0001,16.0,1.0
2021-06-24,0.0001,24.0,1.0
2021-06-25,0.0091,42.0,4.0
2021-06-28,0.0,14.0,0.0
2021-06-29,0.1724,152.0,30.0
2021-06-30,,55.0,
2021-07-01,0.0,23.0,0.0
2021-07-02,0.0,36.0,0.0
2021-07-05,0.0,3.0,0.0
2021-07-06,-0.0025,7.0,0.0
2021-07-07,0.0036,43.0,2.0
2021-07-08,0.0,19.0,0.0
2021-07-09,-0.5401,52.0,0.0
2021-07-12,-0.0068,6.0,1.0
2021-07-13,0.0029,31.0,2.0
2021-07-14,-0.0509,49.0,3.0
2021-07-15,0.0527,21.0,23.0
2021-07-16,0.19,183.0,36.0
2021-07-19,0.0312,6.0,2.0
2021-07-20,-0.0067,30.0,1.0
2021-07-21,0.0003,87.0,1.0
2021-07-22,-0.0035,42.0,0.0
2021-07-23,0.0156,39.0,3.0
2021-07-26,-0.0065,2.0,1.0
2021-07-27,0.0066,46.0,1.0
2021-07-28,-0.0149,29.0,0.0
2021-07-29,0.0019,110.0,2.0
2021-07-30,-0.002,110.0,0.0
2021-08-02,0.3988,10.0,6.0
2021-08-03,-0.0244,118.0,1.0
2021-08-04,0.0,34.0,0.0
2021-08-05,0.002,59.0,1.0
2021-08-06,-0.0024,92.0,0.0
2021-08-09,0.0,12.0,0.0
2021-08-10,-0.0021,61.0,0.0
2021-08-11,0.062,69.0,5.0
2021-08-12,-0.0081,24.0,0.0
2021-08-13,-0.0313,52.0,0.0
2021-08-16,-0.16,7.0,0.0
2021-08-17,0.0,72.0,0.0
2021-08-18,0.0,34.0,0.0
2021-08-19,0.0,28.0,0.0
2021-08-20,0.0041,95.0,2.0
2021-08-23,0.0,0.0,0.0
2021-08-24,0.0,0.0,0.0
2021-08-25,0.0136,0.0,3.0
2021-08-26,0.0,1.0,0.0
2021-08-27,0.016,0.0,2.0
2021-08-30,0.0,0.0,0.0
2021-08-31,-0.0615,0.0,0.0
2021-09-01,-0.0009,0.0,0.0
2021-09-02,0.0,0.0,0.0
2021-09-03,0.0,0.0,0.0
2021-09-06,0.0,0.0,0.0
2021-09-07,0.0,0.0,0.0
2021-09-08,-0.0046,0.0,0.0
2021-09-09,0.0018,0.0,1.0
2021-09-10,0.0066,1.0,2.0
2021-09-13,0.0,0.0,0.0
2021-09-14,-0.001,0.0,1.0
2021-09-15,-0.0078,0.0,1.0
2021-09-16,-0.0023,0.0,1.0
2021-09-17,-0.0119,0.0,0.0
2021-09-20,0.0,0.0,0.0
2021-09-21,-0.0539,0.0,0.0
2021-09-22,-0.002,0.0,0.0
2021-09-23,0.0134,1.0,2.0
2021-09-24,0.0051,0.0,3.0
2021-09-27,0.0,0.0,0.0
2021-09-28,0.0037,0.0,3.0
2021-09-29,-0.0332,0.0,2.0
2021-09-30,-0.0445,0.0,0.0
2021-10-01,-0.1572,0.0,0.0
2021-10-04,0.0221,0.0,1.0
2021-10-05,-0.054,0.0,0.0
2021-10-06,-0.0886,0.0,2.0
2021-10-07,-0.0121,0.0,0.0
2021-10-08,0.1028,0.0,3.0
2021-10-11,0.0407,0.0,2.0
2021-10-12,0.0077,0.0,2.0
2021-10-13,-0.2464,0.0,1.0
2021-10-14,0.1211,4.0,30.0
2021-10-15,0.3624,0.0,70.0
2021-10-18,-0.0021,0.0,1.0
2021-10-19,-0.0374,0.0,0.0
2021-10-20,0.046,0.0,3.0
2021-10-21,-0.0347,0.0,1.0
2021-10-22,-0.0055,0.0,0.0
2021-10-25,0.0224,0.0,2.0
2021-10-26,0.0097,0.0,2.0
2021-10-27,-0.0325,0.0,2.0
2021-10-28,-0.0366,0.0,0.0
2021-10-29,-0.0139,2.0,1.0
