Date,news_sentiment_daily_avg,twitter_pos_sentiment_count,news_pos_sentiment_count
2021-01-01,0.0,1.0,0.0
2021-01-04,0.1886,,1.0
2021-01-05,-0.0932,4.0,3.0
2021-01-06,-0.1815,8.0,2.0
2021-01-07,-0.0997,9.0,7.0
2021-01-08,-0.0065,8.0,1.0
2021-01-11,-0.1822,1.0,1.0
2021-01-12,-0.242,9.0,0.0
2021-01-13,-0.2002,10.0,7.0
2021-01-14,-0.3788,9.0,0.0
2021-01-15,-0.1525,30.0,12.0
2021-01-18,-0.6321,1.0,0.0
2021-01-19,-0.8368,2.0,1.0
2021-01-20,-0.1189,10.0,3.0
2021-01-21,-0.0192,2.0,0.0
2021-01-22,-0.0756,3.0,0.0
2021-01-25,0.6448,2.0,2.0
2021-01-26,-0.0304,3.0,0.0
2021-01-27,-0.0004,3.0,0.0
2021-01-28,-0.012,,1.0
2021-01-29,-0.0485,4.0,0.0
2021-02-01,-0.9559,1.0,0.0
2021-02-02,-0.0474,,1.0
2021-02-03,-0.0729,3.0,0.0
2021-02-04,-0.0056,3.0,0.0
2021-02-05,-0.036,,0.0
2021-02-08,0.0,1.0,0.0
2021-02-09,-0.1543,7.0,0.0
2021-02-10,-0.1022,,0.0
2021-02-11,-0.0021,5.0,0.0
2021-02-12,0.0,14.0,0.0
2021-02-15,0.0,,0.0
2021-02-16,-0.0432,3.0,0.0
2021-02-17,-0.0558,6.0,3.0
2021-02-18,0.2754,24.0,26.0
2021-02-19,0.3078,3.0,9.0
2021-02-22,0.0,,0.0
2021-02-23,-0.0029,4.0,1.0
2021-02-24,-0.0168,,1.0
2021-02-25,0.0109,9.0,3.0
2021-02-26,-0.0224,7.0,0.0
2021-03-01,-0.0933,1.0,0.0
2021-03-02,0.0181,1.0,4.0
2021-03-03,0.0321,4.0,3.0
2021-03-04,-0.009,9.0,1.0
2021-03-05,0.002,6.0,1.0
2021-03-08,0.0,1.0,0.0
2021-03-09,0.0111,4.0,6.0
2021-03-10,0.0,1.0,0.0
2021-03-11,0.0313,8.0,3.0
2021-03-12,-0.0016,,0.0
2021-03-15,0.0,3.0,0.0
2021-03-16,0.0,1.0,0.0
2021-03-17,-0.0008,2.0,0.0
2021-03-18,-0.0004,4.0,1.0
2021-03-19,0.0086,7.0,2.0
2021-03-22,0.0,,0.0
2021-03-23,-0.0163,2.0,0.0
2021-03-24,-0.0006,4.0,1.0
2021-03-25,-0.0046,5.0,1.0
2021-03-26,0.0044,6.0,2.0
2021-03-29,0.0,1.0,0.0
2021-03-30,-0.0055,6.0,0.0
2021-03-31,-0.0901,12.0,9.0
2021-04-01,0.0048,6.0,2.0
2021-04-02,0.0,5.0,0.0
2021-04-05,0.0,3.0,0.0
2021-04-06,0.0,5.0,0.0
2021-04-07,0.0,3.0,0.0
2021-04-08,-0.0018,5.0,0.0
2021-04-09,0.0005,,1.0
2021-04-12,0.0314,9.0,1.0
2021-04-13,0.0,1.0,0.0
2021-04-14,0.0165,44.0,14.0
2021-04-15,0.3491,63.0,61.0
2021-04-16,-0.0088,10.0,5.0
2021-04-19,0.0,3.0,0.0
2021-04-20,-0.0005,13.0,0.0
2021-04-21,-0.0015,5.0,0.0
2021-04-22,-0.0015,3.0,0.0
2021-04-23,0.0046,2.0,2.0
2021-04-26,0.0433,2.0,2.0
2021-04-27,0.0251,7.0,2.0
2021-04-28,-0.0003,6.0,0.0
2021-04-29,0.0,13.0,0.0
2021-04-30,0.0028,6.0,1.0
2021-05-03,0.016,3.0,1.0
2021-05-04,-0.1515,6.0,1.0
2021-05-05,0.0021,3.0,1.0
2021-05-06,0.0,2.0,0.0
2021-05-07,-0.0677,6.0,1.0
2021-05-10,0.0,,0.0
2021-05-11,0.0031,,2.0
2021-05-12,-0.0015,4.0,0.0
2021-05-13,0.0037,1.0,3.0
2021-05-14,0.001,4.0,3.0
2021-05-17,0.0,3.0,0.0
2021-05-18,0.0011,2.0,2.0
2021-05-19,-0.0048,2.0,1.0
2021-05-20,-0.0031,7.0,1.0
2021-05-21,-0.006,2.0,0.0
2021-05-24,0.0,,0.0
2021-05-25,0.0008,,1.0
2021-05-26,-0.0037,1.0,0.0
2021-05-27,-0.0004,3.0,0.0
2021-05-28,-0.0016,4.0,0.0
